time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,surveyservice_disk,surveyservice-db_disk,transformation-worker_disk,unicloudauth-db_disk,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701130986.568,0.011588685091931184,0.0009478764575597682,0.00038212984028273807,0.02390226066150931,0.0644883078303374,0.001829258385025973,0.001898038555608397,0.0003050134187353608,0,55772600.77980561,17208199.4631028,1704426.2403285543,14437867.507387979,8576221.581073284,5761365.3101433525,846977.786061063,0,8039118.856285125,0,0,0,2141.950375072129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022017746526060606,0.011962604213333335,0.0023836771006060607,0.056296137073939406,0.37489437217454546,0.024793745454545452,0.021986545454545453,0
1701130991.568,0.02152163805385141,0.0009705863224642442,0.0002041531687889477,0.04849114641828276,0.22123766608397513,0.0018774135908173864,0.0018039178973492688,0.00041383591905868797,0,45998005.79710145,20345005.68171438,1679637.8017573059,29671200.84489603,8064010.850952002,5996196.744734646,790017.1901183848,0,7955960.5797101455,0,0,5518762.955679377,2291.7210627151117,0,0,0,0,0,0,10004016.46090535,0,0,0,0,0,0,0,0.03453494545454545,0.011962604213333335,0.0023836771006060607,0.0693215046739394,0.5002107806690911,0.02136629090909091,0.0222212,0
1701130996.568,0.022120808147281134,0.0009768723380939928,0.0001996561049999812,0.05304794488744442,0.6535732445020062,0.001791256721992243,0.0018501345800122629,0.000452103143088563,0,46410202.42382145,16333626.026666664,1838910.6796496937,25468960.92898616,6299548.591690114,7219133.728455617,433883.56150852446,0,8027656.862924306,0,0,17316768.414470747,2241.3690930859602,0,0,0,0,0,0,11739988.49486378,0,0,0,0,0,0,0,0.06562886823272729,0.009775745454545454,0,0.12362808483636366,0.7434631918933334,0.021377626356363637,0.01978854545454545,0
1701131001.568,0.04889980846794581,0.0009351712988742486,0.00035840704440477894,0.09125478356005604,0.96139282520598,0.0018020717454545442,0.0018401956803375807,0.0003037688257286584,0,34277518.284142494,16200553.660399318,3393758.6175666125,27226588.537799913,6488957.672727273,7841165.531536869,429908.82220525766,0,7411009.703167451,0,0,17552018.25260299,2457.6,0,0,0,0,0,0,13277715.237664104,0,0,0,0,0,0,0,0.07262638115151517,0.010016,0,0.17247064341333337,1.0180512639975758,0.0186852,0.01954010909090909,0
1701131006.568,0.05749982717934471,0.000907023516516117,0.0003334672840950351,0.10037662554293714,1.3668429091121994,0.0017634249461423316,0.0017499382806089874,0.00042321715350221136,0,17738672.395879578,18617017.753853355,3732999.2428770675,42333479.80171248,6514908.825355095,7721719.901540705,416183.99472456775,0,7667651.900315718,0,0,17472919.477242,2318.1801584693467,448.0991886224815,0,0,0,0,0,28005047.8954484,0,0,0,0,0,0,0,0.1046288977478788,0.009814344533333335,0,0.1727587063975758,2.186881357126061,0.016121672727272725,0.01697658181818182,0
1701131011.568,0.08360262509944662,0.0009544244272567777,0.0003609853975716391,0.12616224439539825,1.7339506563515223,0.0017475130662020905,0.0017411340347940445,0.00039564916873010273,0,18665692.711873747,20454946.861855518,4876234.541726043,59574347.66807994,4320780.4878048785,6753367.848388832,388446.2681287585,0,8068362.220058423,0,0,30829573.995558243,2452.9616724738676,489.7471154420996,0,0,0,0,0,31618130.866508815,0,0,0,0,0,0,0,0.10642832489454547,0.009814344533333335,0,0.1769995693309091,2.8304484273171724,0.013679109090909091,0.014534018181818181,0
1701131016.568,0.07916997591548075,0.0008626020005284152,0.0003788027179188619,0.1459427028325595,2.114238729525203,0.001750890709487137,0.0015888085169856177,0.00038805844504021436,0,19199379.11776065,17296236.691904485,5640759.262609815,81527966.64523832,6494524.295883628,6379383.169172433,379879.8235751967,0,0,0,0,43900438.24042612,2386.294536384656,616.9541634334627,0,0,0,0,0,46978776.52677014,0,0,0,0,0,0,0,0.11336733086545457,0.010257173003636367,0,0.17853981283636366,3.398370264972425,0.012130109090909091,0.012985018181818181,0
1701131021.568,0.10529005091721522,0.0009434482677282291,0.000361807194856074,0.16816227975576978,2.723829145952896,0.0016265958431306736,0.0016752075926177177,0.00026102113339883897,0,18435605.306618754,16461497.210007021,7266343.982732805,115171379.34388283,4539787.180504211,5750394.3547292715,383011.8142316906,0,74.33621894339485,0,0,65044123.332673654,2189.318838017222,972.7235717193649,0,0,0,0,0,58553835.01201926,0,0,0,0,0,0,0,0.1511990742618182,0.007216909090909091,0,0.22827369376484852,3.881220432286789,0.01088001818181818,0.011734927272727272,0
1701131026.568,0.11467357861128875,0.0008449640471574369,0.0003668316648194576,0.1807072164445352,2.845610092311873,0.0017148412944410622,0.0015337201354137062,0.0003631597887371778,0,18533289.922254264,16185001.035629282,6907783.5739504965,123205092.34818916,4387929.078799285,4884065.152440754,372983.357108892,0,74.75271015074644,0,0,66992595.152945444,2267.116842862678,1100.971116062386,0,0,0,0,0,64662593.156031586,0,0,0,0,0,0,0,0.1872026358787879,0.0044463818181818176,0,0.27777860657696973,3.9700038402377786,0.011111011001212123,0.011948707922424244,0
1701131031.568,0.1325417944440661,0.0008449640471574369,0.0004014612248160552,0.21913614172771387,3.2570138357142793,0.001648807669906442,0.0015946605001898736,0.000371848592562736,0,18533289.922254264,13353670.61080908,7492362.9958768645,153699429.1590158,4330538.531542353,6131371.055534459,384474.20418281725,0,74.75271015074644,0,0,67761423.13624679,2236.5403516435513,1185.120888261994,0,0,0,0,0,69991095.85870485,0,0,0,0,0,0,0,0.22161640836848487,0.004356861330909092,0,0.28545689808727276,4.035417180885714,0.005871145454545455,0.006726054545454546,0
