Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.695,0.454,0.208
birch,Recall,0.0,1.0,0.5,0.52,0.43,0.186
birch,F-Score,0.0,1.0,0.667,0.562,0.42,0.178
iforest,Precision,0.0,1.0,1.0,0.719,0.447,0.202
iforest,Recall,0.0,1.0,0.5,0.536,0.427,0.184
iforest,F-Score,0.0,1.0,0.667,0.581,0.417,0.175
knn,Precision,0.0,1.0,1.0,0.719,0.447,0.202
knn,Recall,0.0,1.0,0.5,0.536,0.427,0.184
knn,F-Score,0.0,1.0,0.667,0.581,0.417,0.175
lstm,Precision,0.0,1.0,1.0,0.703,0.451,0.205
lstm,Recall,0.0,1.0,0.5,0.524,0.428,0.185
lstm,F-Score,0.0,1.0,0.667,0.567,0.418,0.176
svm,Precision,0.0,1.0,1.0,0.719,0.447,0.202
svm,Recall,0.0,1.0,0.5,0.536,0.427,0.184
svm,F-Score,0.0,1.0,0.667,0.581,0.417,0.175
