Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.654,0.472,0.224
birch,Recall,0.0,1.0,0.5,0.49,0.431,0.187
birch,F-Score,0.0,1.0,0.667,0.531,0.424,0.181
iforest,Precision,0.0,1.0,1.0,0.662,0.469,0.222
iforest,Recall,0.0,1.0,0.5,0.506,0.436,0.191
iforest,F-Score,0.0,1.0,0.667,0.544,0.427,0.184
knn,Precision,0.0,1.0,1.0,0.638,0.476,0.229
knn,Recall,0.0,1.0,0.5,0.486,0.438,0.193
knn,F-Score,0.0,1.0,0.667,0.523,0.431,0.187
lstm,Precision,0.0,1.0,1.0,0.642,0.473,0.226
lstm,Recall,0.0,1.0,0.5,0.486,0.433,0.189
lstm,F-Score,0.0,1.0,0.667,0.524,0.427,0.183
svm,Precision,0.0,1.0,1.0,0.662,0.469,0.222
svm,Recall,0.0,1.0,0.5,0.509,0.438,0.193
svm,F-Score,0.0,1.0,0.667,0.546,0.429,0.185
