Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.546,0.498,0.25
birch,Recall,0.0,1.0,0.333,0.444,0.45,0.204
birch,F-Score,0.0,1.0,0.5,0.474,0.455,0.208
iforest,Precision,0.0,1.0,1.0,0.515,0.5,0.252
iforest,Recall,0.0,1.0,0.333,0.431,0.457,0.21
iforest,F-Score,0.0,1.0,0.5,0.456,0.461,0.215
knn,Precision,0.0,1.0,1.0,0.508,0.5,0.252
knn,Recall,0.0,1.0,0.333,0.427,0.458,0.211
knn,F-Score,0.0,1.0,0.5,0.451,0.463,0.216
lstm,Precision,0.0,1.0,1.0,0.538,0.499,0.25
lstm,Recall,0.0,1.0,0.333,0.441,0.452,0.206
lstm,F-Score,0.0,1.0,0.5,0.47,0.457,0.21
svm,Precision,0.0,1.0,1.0,0.538,0.499,0.25
svm,Recall,0.0,1.0,0.333,0.453,0.46,0.213
svm,F-Score,0.0,1.0,0.5,0.478,0.463,0.216
