Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.84,0.357,0.128
birch,Recall,0.0,1.0,1.0,0.774,0.372,0.139
birch,F-Score,0.0,1.0,1.0,0.791,0.356,0.128
iforest,Precision,0.0,1.0,1.0,0.847,0.354,0.127
iforest,Recall,0.0,1.0,1.0,0.77,0.372,0.139
iforest,F-Score,0.0,1.0,1.0,0.792,0.355,0.127
knn,Precision,0.0,1.0,1.0,0.847,0.354,0.127
knn,Recall,0.0,1.0,1.0,0.77,0.372,0.139
knn,F-Score,0.0,1.0,1.0,0.792,0.355,0.127
lstm,Precision,0.0,1.0,1.0,0.84,0.357,0.128
lstm,Recall,0.0,1.0,1.0,0.77,0.372,0.139
lstm,F-Score,0.0,1.0,1.0,0.788,0.355,0.127
svm,Precision,0.0,1.0,1.0,0.847,0.354,0.127
svm,Recall,0.0,1.0,1.0,0.77,0.372,0.139
svm,F-Score,0.0,1.0,1.0,0.792,0.355,0.127
