Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.665,0.47,0.222
birch,Recall,0.0,1.0,0.333,0.467,0.424,0.181
birch,F-Score,0.0,1.0,0.5,0.516,0.421,0.179
iforest,Precision,0.0,1.0,1.0,0.631,0.483,0.235
iforest,Recall,0.0,1.0,0.45,0.461,0.432,0.188
iforest,F-Score,0.0,1.0,0.619,0.505,0.433,0.189
knn,Precision,0.0,1.0,1.0,0.631,0.483,0.235
knn,Recall,0.0,1.0,0.367,0.459,0.432,0.188
knn,F-Score,0.0,1.0,0.536,0.502,0.432,0.188
lstm,Precision,0.0,1.0,1.0,0.631,0.483,0.235
lstm,Recall,0.0,1.0,0.333,0.459,0.435,0.191
lstm,F-Score,0.0,1.0,0.5,0.502,0.434,0.19
svm,Precision,0.0,1.0,1.0,0.638,0.48,0.233
svm,Recall,0.0,1.0,0.333,0.456,0.431,0.187
svm,F-Score,0.0,1.0,0.5,0.5,0.43,0.186
