Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,1.0,0.885,0.319,0.103
birch,Recall,0.0,1.0,1.0,0.732,0.358,0.129
birch,F-Score,0.0,1.0,1.0,0.778,0.329,0.109
iforest,Precision,0.0,1.0,1.0,0.885,0.319,0.103
iforest,Recall,0.0,1.0,1.0,0.735,0.358,0.129
iforest,F-Score,0.0,1.0,1.0,0.781,0.33,0.11
knn,Precision,0.0,1.0,1.0,0.885,0.319,0.103
knn,Recall,0.0,1.0,1.0,0.735,0.358,0.129
knn,F-Score,0.0,1.0,1.0,0.781,0.33,0.11
lstm,Precision,0.0,1.0,1.0,0.885,0.319,0.103
lstm,Recall,0.0,1.0,1.0,0.728,0.358,0.129
lstm,F-Score,0.0,1.0,1.0,0.776,0.329,0.109
svm,Precision,0.0,1.0,1.0,0.885,0.319,0.103
svm,Recall,0.0,1.0,1.0,0.732,0.358,0.129
svm,F-Score,0.0,1.0,1.0,0.778,0.329,0.109
