Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.275,0.41,0.17
birch,Recall,0.0,1.0,0.0,0.319,0.463,0.217
birch,F-Score,0.0,1.0,0.0,0.29,0.424,0.182
iforest,Precision,0.0,1.0,0.0,0.212,0.369,0.138
iforest,Recall,0.0,1.0,0.0,0.256,0.433,0.19
iforest,F-Score,0.0,1.0,0.0,0.227,0.386,0.151
knn,Precision,0.0,1.0,0.0,0.275,0.41,0.17
knn,Recall,0.0,1.0,0.0,0.319,0.463,0.217
knn,F-Score,0.0,1.0,0.0,0.29,0.424,0.182
lstm,Precision,0.0,1.0,0.0,0.15,0.31,0.097
lstm,Recall,0.0,1.0,0.0,0.194,0.391,0.155
lstm,F-Score,0.0,1.0,0.0,0.165,0.334,0.113
svm,Precision,0.0,1.0,0.0,0.162,0.324,0.106
svm,Recall,0.0,1.0,0.0,0.206,0.401,0.163
svm,F-Score,0.0,1.0,0.0,0.177,0.346,0.121
