Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.406,0.488,0.241
birch,Recall,0.0,1.0,0.0,0.412,0.492,0.245
birch,F-Score,0.0,1.0,0.0,0.408,0.489,0.242
iforest,Precision,0.0,1.0,0.0,0.306,0.458,0.212
iforest,Recall,0.0,1.0,0.0,0.312,0.464,0.218
iforest,F-Score,0.0,1.0,0.0,0.308,0.459,0.213
knn,Precision,0.0,1.0,0.0,0.306,0.458,0.212
knn,Recall,0.0,1.0,0.0,0.312,0.464,0.218
knn,F-Score,0.0,1.0,0.0,0.308,0.459,0.213
lstm,Precision,0.0,1.0,0.0,0.281,0.446,0.202
lstm,Recall,0.0,1.0,0.0,0.288,0.453,0.207
lstm,F-Score,0.0,1.0,0.0,0.283,0.448,0.203
svm,Precision,0.0,1.0,0.0,0.319,0.463,0.217
svm,Recall,0.0,1.0,0.0,0.325,0.468,0.222
svm,F-Score,0.0,1.0,0.0,0.321,0.464,0.218
