Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.412,0.492,0.245
birch,Recall,0.0,1.0,0.0,0.412,0.492,0.245
birch,F-Score,0.0,1.0,0.0,0.412,0.492,0.245
iforest,Precision,0.0,1.0,0.0,0.338,0.473,0.226
iforest,Recall,0.0,1.0,0.0,0.338,0.473,0.226
iforest,F-Score,0.0,1.0,0.0,0.338,0.473,0.226
knn,Precision,0.0,1.0,0.0,0.412,0.492,0.245
knn,Recall,0.0,1.0,0.0,0.412,0.492,0.245
knn,F-Score,0.0,1.0,0.0,0.412,0.492,0.245
lstm,Precision,0.0,1.0,0.0,0.288,0.453,0.207
lstm,Recall,0.0,1.0,0.0,0.288,0.453,0.207
lstm,F-Score,0.0,1.0,0.0,0.288,0.453,0.207
svm,Precision,0.0,1.0,0.0,0.3,0.458,0.213
svm,Recall,0.0,1.0,0.0,0.3,0.458,0.213
svm,F-Score,0.0,1.0,0.0,0.3,0.458,0.213
