Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.15,0.357,0.129
birch,Recall,0.0,1.0,0.0,0.15,0.357,0.129
birch,F-Score,0.0,1.0,0.0,0.15,0.357,0.129
iforest,Precision,0.0,1.0,0.0,0.075,0.263,0.07
iforest,Recall,0.0,1.0,0.0,0.075,0.263,0.07
iforest,F-Score,0.0,1.0,0.0,0.075,0.263,0.07
knn,Precision,0.0,1.0,0.0,0.1,0.3,0.091
knn,Recall,0.0,1.0,0.0,0.1,0.3,0.091
knn,F-Score,0.0,1.0,0.0,0.1,0.3,0.091
lstm,Precision,0.0,1.0,0.0,0.062,0.242,0.059
lstm,Recall,0.0,1.0,0.0,0.062,0.242,0.059
lstm,F-Score,0.0,1.0,0.0,0.062,0.242,0.059
svm,Precision,0.0,1.0,0.0,0.075,0.263,0.07
svm,Recall,0.0,1.0,0.0,0.075,0.263,0.07
svm,F-Score,0.0,1.0,0.0,0.075,0.263,0.07
