Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.35,0.47,0.224
birch,Recall,0.0,1.0,0.0,0.344,0.465,0.219
birch,F-Score,0.0,1.0,0.0,0.342,0.459,0.214
iforest,Precision,0.0,1.0,0.0,0.275,0.439,0.196
iforest,Recall,0.0,1.0,0.0,0.269,0.433,0.19
iforest,F-Score,0.0,1.0,0.0,0.267,0.426,0.184
knn,Precision,0.0,1.0,0.0,0.262,0.433,0.19
knn,Recall,0.0,1.0,0.0,0.256,0.426,0.184
knn,F-Score,0.0,1.0,0.0,0.254,0.419,0.178
lstm,Precision,0.0,1.0,0.0,0.238,0.418,0.177
lstm,Recall,0.0,1.0,0.0,0.231,0.41,0.171
lstm,F-Score,0.0,1.0,0.0,0.229,0.403,0.165
svm,Precision,0.0,1.0,0.0,0.275,0.439,0.196
svm,Recall,0.0,1.0,0.0,0.269,0.433,0.19
svm,F-Score,0.0,1.0,0.0,0.267,0.426,0.184
