Algorithm,Metric,Min,Max,Median,Mean,SD,CV
birch,Precision,0.0,1.0,0.0,0.238,0.426,0.183
birch,Recall,0.0,1.0,0.0,0.238,0.426,0.183
birch,F-Score,0.0,1.0,0.0,0.238,0.426,0.183
iforest,Precision,0.0,1.0,0.0,0.175,0.38,0.146
iforest,Recall,0.0,1.0,0.0,0.175,0.38,0.146
iforest,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
knn,Precision,0.0,1.0,0.0,0.175,0.38,0.146
knn,Recall,0.0,1.0,0.0,0.175,0.38,0.146
knn,F-Score,0.0,1.0,0.0,0.175,0.38,0.146
lstm,Precision,0.0,1.0,0.0,0.125,0.331,0.111
lstm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
lstm,F-Score,0.0,1.0,0.0,0.125,0.331,0.111
svm,Precision,0.0,1.0,0.0,0.125,0.331,0.111
svm,Recall,0.0,1.0,0.0,0.125,0.331,0.111
svm,F-Score,0.0,1.0,0.0,0.125,0.331,0.111
