time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_energy_Anomaly,carts-db_energy_Anomaly,catalogue_energy_Anomaly,catalogue-db_energy_Anomaly,front-end_energy_Anomaly,orders_energy_Anomaly,orders-db_energy_Anomaly,payment_energy_Anomaly,queue-master_energy_Anomaly,rabbitmq_energy_Anomaly,shipping_energy_Anomaly,user_energy_Anomaly,user-db_energy_Anomaly
1701366247.75,4.66518580321041,2.81314176135852,4.26545608728365,2.33227484288152,12.29112401646181,0.22366652402173,0.58262448492854,0.29905529634089,0.4132551747262999,10.04513060629935,0.21954064826018,4.16131954647537,2.1069489851004,34709614.43867454,2387378.6288501485,306968.848758465,8599561.448759401,2696433.083142972,23909116.83011392,3166214.6880217213,1034274.934778246,130895530.19647647,15397543.727211095,13455539.471271956,1569717.8874157793,3417018.6424818253,27090.03873543193,5993.604913738595,19450.948917314607,8748807.207469031,264809.0213568295,0.0,0.0,0.0,52094821.43116074,11110091.357165108,0.0,74.18677099181338,515.9432807888865,0,5549.634179387588,0,0,0.0,0,75.14631148292878,0,0,0,0,0,147.41236593968185,0.5149019090909089,0.3799411818181815,0.299088,0.1132656946121209,0.955269937980303,0.103784909090909,0.1955580909090905,0.1531124545454545,0.2056413636363635,3.081630636363636,0.0627722727272725,0.4732612727272725,0.3207143636363635,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1701366252.75,6.24059108550417,3.31074917151242,7.27139690656008,4.26476778292691,13.45903197028976,0.21845296856411,0.59063835282472,0.27755531546669,0.42589053013557,9.43422278555638,0.21770120801198,4.93287418960695,2.37377743756786,38546631.6342617,2420014.072440256,30137.35651497197,8723188.936702343,2953662.3438524017,21775975.168729924,2533177.108919602,866756.683189112,106415646.33068082,13613013.019747132,13413318.323038124,1997688.1352166908,3435347.6655808906,30056.6023571804,1013491.0224393446,20719.432604043228,13284242.892346168,289997.4182273151,0.0,0.0,0.0,52943108.75331566,9549245.699618302,0.0,75.82798008034507,518.8563155989866,0,7093.093202573872,0,0,0.0,0,10511.419877552516,0,0,0,0,0,222.3669923995657,0.8694725454545454,0.503681545454545,0.599256909090909,0.2812651501954545,1.099125406142424,0.0949752727272724,0.1620634545454545,0.131746909090909,0.196831727272727,2.571865909090909,0.0552632727272724,0.7445572727272726,0.3927009999999994,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1701366257.75,5.7629915986759,3.31074917151242,7.5245642993751,6.0855597259972205,61.33584052532826,0.2179036187362099,0.55503824069344,0.26235937294583,0.41174852948603,9.45012425634824,0.22181992429645,4.591028209442221,2.432476313185,34339781.44853876,2420014.072440256,31231.92970403472,8714643.943289502,20841332.11828821,16049884.455793168,2602980.4361709594,820456.4667450151,121567302.36864698,15629796.52125384,20130146.90877173,1834018.422215424,2784967.706462373,26776.16531799639,1013491.0224393446,21471.951671523868,13266866.671563946,9986730.849638166,0.0,0.0,0.0,48385978.148516014,9402703.07878337,0.0,69.6101424152816,525.4939335068364,0,7093.093202573872,0,0,16973457.16653861,0,10811.322902184542,0,0,0,0,0,75.07056192954805,0.9574044545454544,0.5322190909090905,1.0916044069833335,0.3076134545454544,1.9268583328136368,0.0883670909090904,0.1399359999999995,0.134950656701515,0.1900030909090905,2.122105818181818,0.048434636363636,0.8023486443181815,0.4256,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701366262.75,6.821302608868001,3.63911423817102,15.200498709937852,8.58555403954067,90.06070775703607,0.23586018099558,0.5915851601899901,0.24530081387317,0.62834820089679,8.77530083133661,0.21700188284144,5.32921644930353,2.57006996922739,37042885.89805956,2400199.102879468,370389.86204233504,17622815.860864397,32902519.66593872,22377601.661597803,2529756.423187661,768874.5029960241,132683874.1546604,13615368.04991262,19702850.10649151,1998861.94202416,2781609.7006997108,28854.94477775976,1005701.0562870788,20633.130901814857,17895512.13348694,13472856.823669322,0.0,0.0,0.0,79215402.52866803,9552636.739071082,0.0,75.7718704330614,525.1859178664323,0,8149.327159600637,0,0,24521334.15848259,0,10741.587045425367,0,0,0,0,0,75.02655969520461,0.9753172727272724,0.5440341818181815,1.5545610145984845,0.5838903636363635,7.960844605462119,0.087714,0.133413818181818,0.100837545454545,0.1893643636363635,2.057755454545454,0.047795909090909,0.8032902727272726,0.429910818181818,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701366267.75,7.49028187045466,3.95276223631354,19.48886373347819,10.99968082920365,98.70597116505031,0.22904363247014,0.56025428666262,0.22426664680927,0.60684668242203,8.52145924621027,0.21053632245709,6.04379424069245,2.78665505630341,36828635.25955647,1208486.3900848478,719822.1256563461,25804896.658135016,35932070.27031383,20188280.26500703,2639866.050492399,743557.6496073653,129267835.71454148,15170378.59323902,20270629.44685866,1998872.8476576228,2088865.348641016,28687.994841113454,1001882.2935994668,21284.66413181242,17483597.814445715,14767296.269231528,0.0,0.0,0.0,77175947.0046908,10950788.877445932,0.0,75.75505372764431,525.8408832483586,0,9297.184341842156,0,0,26932896.639625013,0,11218.116704419275,0,0,0,0,0,75.12012617833695,1.0279585418666666,0.5553235454545455,1.588892909090909,0.6005531453166665,7.350404325281818,0.0811644545454545,0.117314636363636,0.092787909090909,0.2019130909090905,1.6210233636363636,0.037457727272727,0.8249951818181815,0.4045794545454545,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701366272.75,8.4103529448925,4.29475220282792,22.93715628593573,13.2623143034089,141.92105316239002,0.22887679491173,0.5769503785221,0.21785453329669,0.62245442227516,8.11742873609047,0.20139850820122,6.101294234679299,3.03018986141907,38197547.76857048,1339756.5106247002,720330.7799066347,25528255.479562715,38945657.27002067,22115637.15013656,2544665.903467632,752190.2354126591,134382923.1685527,13044280.546594655,20172978.282782,1820352.674295508,2103854.5454545454,29756.15919140872,1110710.3371145548,21188.370793605016,21610633.34948929,22328130.315698422,0.0,0.0,0.0,80229774.86599165,9152865.27239117,0.0,68.82761170203827,529.7856614929785,0,10307.07780795654,0,0,33615553.177838646,0,10815.170427268364,0,0,0,0,0,75.68366592756837,1.117287046139394,0.5745712727272725,1.983969114842424,0.8599236934378784,9.10181792944798,0.0715852727272725,0.1069354545454545,0.081708636363636,0.2026721818181815,1.514453636363636,0.035957636363636,0.8314040179712121,0.373169636363636,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701366277.75,7.90845876142654,4.61784812991766,26.78067570101756,14.37797667503942,166.67845628387647,0.22224086467917,0.55616361949644,0.24919666672542,0.49830346469139,7.718153093185729,0.1964235677817,6.57978323130925,3.28849120826238,35918080.16794484,2437888.234217749,713568.5745236278,27690529.587008588,40617814.719683945,21588914.92788375,2556988.626454163,542874.6893232977,106164365.9890453,13058215.987659922,25061046.189573623,2197155.7153273537,1404730.5841415562,27980.43784911656,2024016.1024702648,20876.06329136404,23441080.12539673,34259319.39266219,0.0,0.0,0.0,52815633.56982685,7334222.302876327,0.0,69.45551354009463,530.6877915155105,0,11692.150045745657,0,0,35348038.141446844,0,10867.543648069466,0,0,0,0,0,75.81254164507293,1.1342282727272726,0.5672560909090905,2.065297645978788,0.8899932688454546,10.51116977497538,0.0625,0.1105301818181815,0.083200981454545,0.193586909090909,1.113142,0.029131545454545,0.8414698000090904,0.3775461818181814,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1701366282.75,10.15475530550144,4.64219377898119,29.84170168718648,17.99306987912856,172.6654046088907,0.22028455830832,0.5512540258768099,0.24797097337969,0.50667184532135,7.30120657664552,0.19913016375545,7.71474379823696,3.32806391110363,37503363.23049729,2255815.332543577,796640.6947005293,34054570.2329424,42064069.97333334,21674706.527011737,1840980.8953521524,566508.9684861195,106306549.0686888,13108453.968948172,26703892.867540028,1585947.108526281,1277797.5250441956,29258.74227818576,1871932.306650872,23306.409722635264,25944594.694588628,35474029.22666667,0.0,0.0,0.0,52887568.28388427,7361170.93082586,0.0,74.91129887706207,482.734236888627,0,11853.37620578778,0,0,36675682.98666666,0,10438.551468491589,0,0,0,0,0,68.96203384123243,1.2238122804257574,0.5852721818181815,2.084307363636364,0.90582232374697,13.191952765617271,0.064107187572727,0.0929182727272724,0.054341727272727,0.125730909090909,1.040805636363636,0.030631,0.881728454545454,0.4108240909090905,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1701366287.75,11.23049655638208,5.41171394604228,34.19996480361172,20.51907586012511,219.1094766127717,0.2187413981441799,0.53982725873061,0.2353565772497799,0.47759144088464,7.1211636363636295,0.20103428310141,8.4895310102959,3.5833867569407296,38085402.61278266,2428136.8771489384,1078385.2641083524,43084569.10096014,61632241.70943613,14691848.604413273,1871125.923779162,537690.399755154,96479663.24792036,11789743.141997524,26317064.40969732,1949069.4026217568,712046.8625175693,29710.81751230525,2013909.5126343933,21228.930022573364,26269607.215595,34329862.25519243,0.0,0.0,0.0,47998652.99168142,5959670.737222976,0.0,73.85636235777783,538.0900396872488,0,14232.31275810002,0,0,44503910.10428202,0,10609.47688740762,0,0,0,0,0,76.87000566960697,1.2332379090909091,0.5806087272727269,2.562912159,0.91115457720303,13.69157946392879,0.0406783636363635,0.066811,0.058295661280303,0.113686727272727,1.006692909090909,0.0284947272727269,0.894957636363636,0.381615545454545,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1701366292.75,11.13172124599265,5.86425812092582,39.83512371773813,22.99539428119598,248.775188171051,0.21849432352563,0.5357904676456501,0.24315845735755,0.41361887216681,6.6804816774819695,0.1920883020305,8.91671465914465,4.13464876653753,42339822.05002486,2443334.651724896,1091922.7539882453,43585320.43690927,77345485.78358607,22423965.05641159,1261859.596440473,561567.6661559787,104717674.9954669,12925839.477988891,29418309.607328262,1896257.7570650177,693320.0789415978,27526.221048841955,2027374.4964476672,21457.160588471503,30990545.989481807,34490792.05027734,0.0,0.0,0.0,26045509.62828649,5442729.988675379,0.0,71.76270651926346,523.9383086031723,0,15600.380868673552,0,0,48371415.226516135,0,10724.869081187971,0,0,0,0,0,74.84832980045319,1.232233,0.602657727272727,3.0487088241212126,1.1950649701257574,16.101807650130088,0.0299181818181815,0.0451839999999999,0.035207818181818,0.050203818181818,1.0381090909090904,0.016851909090909,0.8877737805924241,0.3683542727272725,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
