time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts_energy,carts-db_energy,catalogue_energy,catalogue-db_energy,front-end_energy,orders_energy,orders-db_energy,payment_energy,queue-master_energy,rabbitmq_energy,shipping_energy,user_energy,user-db_energy,carts_energy_Anomaly,carts-db_energy_Anomaly,catalogue_energy_Anomaly,catalogue-db_energy_Anomaly,front-end_energy_Anomaly,orders_energy_Anomaly,orders-db_energy_Anomaly,payment_energy_Anomaly,queue-master_energy_Anomaly,rabbitmq_energy_Anomaly,shipping_energy_Anomaly,user_energy_Anomaly,user-db_energy_Anomaly
1701333128.857,7.278836385903356,5.673908355160195,2.5892073950518952,1.384452373911405,10.25096643461793,0.24141396685389,0.624771641443335,0.299753017268925,0.1862989019022549,9.87032064668203,0.2528870759860699,2.11008205542542,1.42147707902639,15226541.178125275,5129012.294080954,1270959.625732861,6353.5696530811865,24742131.454780065,28442739.07950522,3522778.725867277,923079.3690694454,131764189.70949368,9880145.746642452,31224382.698409718,1051228.3909719286,4669189.588837949,9807.952573552377,672199.8567494057,195.47770638077023,3277.367174537253,8987775.671435894,773.859219807111,290329.5019157088,0.0,0.0,6496271.5886852965,0.0,1056.4399448703027,528.3299177577105,0.0,4131.917352629668,0.0,0.0,8634320.691426419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.47570253681579,0.9256002999090908,0.7324505118106059,0.3634200827727272,0.1731404897045452,0.7046494808560605,0.0939407727272725,0.181836409090909,0.1330300909090905,0.0574039545454544,3.1632545454545453,0.0652126818181817,0.3455069250075755,0.1913866818181814,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701333138.857,32.974307334485175,23.821497203185377,7.02023216101889,4.458567393050905,63.33896827825866,1.82817523252898,0.6219220473894,0.3835823922026,0.17925589383806,9.117059898310714,0.24516111273555,4.534404677267265,2.339917777984195,15137649.514305614,6116770.9110737145,1471335.865667408,8837249.39791805,54429086.09848326,25238125.688598804,3164815.7261573626,834711.4594890599,130709416.429538,10165264.380640265,27481876.730516247,1102656.7742584175,4603901.70716906,16614.24306612499,2020301.7884611932,236.92443650966376,4592.006307603538,23269692.97877748,3531778.6016798816,582975.1268212725,5018.430337856571,0.0,6690306.32820446,0.0,1103.4395553096474,650373.9247287184,0.0,14075.382977755682,0.0,0.0,26081132.229716506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52434109415819,2.1096142642954545,1.5221401314545455,0.6496724882499998,0.4069111480681814,1.6364494740530304,0.2168844999999997,0.1568705454545452,0.1076091783636362,0.0526706710227272,2.534880409090909,0.0579883494772724,0.4807163924772725,0.2435717727272725,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701333148.857,59.69750011634677,37.85800994780935,10.240638180463495,6.916857225420351,121.90641090792256,5.567811025957594,0.591966432700845,0.59715245803876,0.162550370835435,8.5521665966903,0.22609285573877,8.151103777446934,3.678252621114455,22453102.63173943,5153269.857561326,1423083.1243288876,21881556.76277628,96133509.56649671,32511909.864828147,2856003.7591446512,659369.4965339077,106671143.60089771,8909935.255415916,23387147.04796065,1513981.0532710191,3517399.1442742846,18685.02921942922,3398250.565101937,228.26089786456453,6776447.759028928,32155822.33992069,7094001.642932729,587148.4775502286,17511.670573367017,0.0,6584341.942296461,0.0,1079.5329873735864,966970.960500768,0.0,24536.093229781567,0.0,0.0,41372109.325645685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.13282552860463,3.892100003825757,2.6229516145,0.9488192351212116,0.5867611146439393,3.952650656045455,0.3680116046590906,0.1230530454545452,0.0834530586590907,0.0352324999999997,2.3285039545454542,0.0500908181818177,0.6485779704166665,0.2798245909090907,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1701333158.857,79.53021651345466,52.45624796626649,13.14039589770628,9.290650498160776,185.00900956416692,8.83268715084008,0.5293565613237601,0.89761196796228,0.15684090458279,7.431820075656789,0.217660421825765,11.29992300900689,5.01299960493736,15091526.320856702,3075002.4657774246,1426479.0464695436,26217491.776613504,128651828.87541471,36386938.01867349,2231218.2052829303,665459.9166070608,77770589.54140882,8910334.185647735,20520934.16482872,1848630.8432538037,2803119.405614365,21562.465953024774,4698330.798735592,228.2005527040824,13533510.763173256,39054394.76067483,7148757.490051692,590522.1546921546,18327.08474155289,0.0,7528727.985455417,0.0,1027.4402145888707,1288268.02991739,0.0,35513.967059290706,0.0,0.0,50249383.87709996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.88128863436313,4.586650449378788,2.6576198705833334,1.0823460706969694,0.583906669681818,8.845448018161363,0.6401243262196967,0.065559727272727,0.0804039065454542,0.0278899339090905,1.5965066363636362,0.0477109090909086,0.8953360253106057,0.3927271818181815,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1701333168.857,103.07785007906163,66.70283533197315,16.31391151649727,11.62822908457372,242.7881348249176,12.591428147526354,0.478844369847615,1.1419984663630602,0.1455493281439649,6.233560904728195,0.199645897226425,14.6976500584781,6.447621246026105,15255995.88144444,2103888.472796601,1447640.388110878,30670592.679779127,171891318.8934921,32201879.29899777,1938672.6874345872,653157.5760236117,90628914.25559306,10016691.645114198,27521614.29578989,1890942.9846597337,2496158.021245345,23421.637125836587,6119127.759467499,230.72917367524892,18069723.92265199,75071439.30854562,7020828.295171127,600684.828913983,17749.432503932163,0.0,8465336.45538087,0.0,1045.8153618088488,1317375.951614824,0.0,46027.23030627126,0.0,0.0,66586771.96556997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.99889798204253,6.363833503121213,3.402379228530304,1.375178685689394,0.7769061485227272,11.407156969819807,0.8317471846363635,0.0509618636363632,0.0656464090909087,0.0211845454545452,1.068485318181818,0.0319540909090907,1.0861671206969694,0.4366842727272724,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1701333178.857,123.6705020918222,79.79142387417062,18.211136898025032,14.24903479342467,300.63052597005577,16.117410652127603,0.4304356346033099,1.38473503166159,0.13508957395074,5.303836532098825,0.155948171047455,17.68415869163792,7.508017978790165,15066269.086762449,2086909.887329793,1601786.549134259,49902993.86868607,221755388.85530865,32770509.12451353,1533995.7115818867,572285.8294260404,77751439.4448573,9953900.174586128,17127236.176182084,2287998.4667923828,1740320.5401681743,23547.03938241289,7395322.139155636,76.05071169685567,25759067.684134312,85236370.76119334,7143857.575013194,574249.026625121,17981.214813825485,0.0,8414828.366516987,0.0,514.7391476069082,1282421.391940558,0.0,55323.53806656452,0.0,0.0,75540959.15070632,0.0,72.19625680476753,0.0,0.0,0.0,0.0,0.0,0.0,6.236444824598484,4.042166510424242,1.462053603893939,0.8678537081666665,14.383912005086174,1.0084554817196971,0.0308075909090907,0.061282818181818,0.009645861272727,0.4123037727272725,0.0116548197954541,1.0857625909090904,0.4465895454545452,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1701333188.857,128.46235381380694,81.66769106926856,17.345030069152536,13.631182678057954,335.46427547319763,19.28458570271518,0.403275630034685,1.566197777067575,0.12670674340736,4.42691901797786,0.1737208858682,19.00700748901355,8.003900130189486,22133686.101636752,62513.15281830909,1219926.4295257854,52367469.89474456,227663389.6285748,39853834.68551408,967139.8625514604,459977.5268676799,64827783.92453645,10090561.138810229,6990690.914261082,2443991.50700592,1021023.5581558384,13118.699730693845,6711981.578808278,0.0,29251768.17372396,89562534.32578905,7110119.925162194,7302.311204358308,15962.9917743337,0.0,8530753.820566144,0.0,0.0,941633.3830572072,0.0,58954.29677920857,0.0,0.0,76585854.88703121,0.0,74.55234285704142,0.0,0.0,0.0,0.0,0.0,176.7582087498289,5.387662136363637,3.4440050454545457,1.310693409090909,0.7629146818181818,17.846760235889395,1.0859048610075754,0.0250947272727269,0.0750943636363634,0.009805147772727,0.293758227272727,0.0152989545454542,1.1011980909090906,0.4119131818181815,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1701333198.857,126.09076421312008,79.56755671701188,16.844634381345873,13.519060410223757,333.432412059067,19.81802558876121,0.375785701151955,1.63429535674517,0.12741199583677,4.28815703229678,0.204189626598315,19.89112089282173,8.285738599984331,26183978.28652018,64348.95660372151,1235475.206340523,56097811.90616348,214886146.75297543,40036270.58697712,1248560.5651674806,562939.8452355885,65108235.68237257,11062338.137862775,13890469.744212097,2490053.402059963,690818.4828352993,9785.393887667062,6738566.188004106,0.0,33411083.41627877,98700246.09866728,3121.265170616184,4774.9612267858265,5935.7895589381405,0.0,9352322.78046864,0.0,0.0,637027.3341982559,0.0,58841.98372698507,0.0,0.0,70865087.36898097,0.0,72.54086107201067,0.0,0.0,0.0,0.0,0.0,218.9598994723611,4.629012727272728,2.960859454545454,1.1304536363636362,0.6371589999999998,18.65921668181818,1.1584567727272723,0.0255633636363635,0.0796481818181814,0.012056227272727,0.2492681363636362,0.0168985302272725,1.1689160909090903,0.4001722272727269,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1701333208.857,127.3515638534286,81.01619473618244,17.197224373164545,13.75378091099308,333.60455665804625,19.73095047977398,0.377321411711545,1.602465298397385,0.1298200818845949,4.348809478527255,0.21062371270979,19.725612023486185,8.216558616478586,31525631.383778635,63888.94876413295,1073491.9325298034,43550768.74202415,229177364.38376525,32080443.033752743,1594319.459663974,888304.4029520837,78694107.29398538,10905743.065592656,14156084.76068304,2518246.356178513,1008935.3424838452,7941.824970626531,6760449.916893582,0.0,26971621.05438913,113102858.91973966,3055.452651267922,2563.213348279087,74.0994663790527,0.0,9219529.31358252,0.0,0.0,929793.9819292866,0.0,59038.87594013086,0.0,0.0,78898966.77735968,0.0,74.279620855911,0.0,0.0,0.0,0.0,0.0,215.6292622264059,5.855945999999999,3.744559909090909,1.0572602727272726,0.7062006363636362,17.780781772727273,1.0616134999999998,0.0263348181818179,0.0787167727272724,0.0128028082272724,0.2532024545454545,0.015859667863636,0.952442818181818,0.3115648636363635,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1701333218.857,127.47936601737246,80.02232981348023,17.23073228750268,13.702701643956756,333.8836777405491,20.09129128160312,0.376664992055355,1.59529612374664,0.1305293640422,4.228621706930705,0.204162065307845,19.74157248107237,8.23710378305146,30150716.289304137,61532.86969281191,1572810.3508499474,47672373.10602887,256663044.73286933,39823128.386825815,1914116.497181676,783668.0726500324,65118838.89278534,11003389.306612616,10520334.492445491,2522931.588166292,1753190.609426099,8798.360272205102,6763252.936134238,0.0,26848341.53420352,127448353.00368598,2953.328587571428,849.594613085895,74.78169983493302,0.0,9302064.88806484,0.0,0.0,1615599.3271572634,0.0,59086.01802073978,0.0,0.0,79555283.25207862,0.0,74.3940781774862,0.0,0.0,0.0,0.0,0.0,224.12877271257224,4.669386772727273,4.108128545454545,1.0610020454545452,0.6998417727272725,18.478278545454543,1.058067727272727,0.0272433636363635,0.083265227272727,0.0108952287499997,0.2445724999999997,0.0161414090909089,0.9380109545454542,0.3088445909090908,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
