time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701239416.168,0.0073390560910999,20.81374839592425,3.45206136512968,0.0154450010028799,0.15202963768792,0.17854141733179,0.17830074507044,0.0407443869566,0,46846723.588564135,7633555.289297723,0,21233494.82806306,13388507.60195152,8905073.911710056,808249.378578925,0,8223424.647875501,1638061.2920032467,0,0,583.6633470416443,0.0,0,0,0,158.31175356549298,0,0,0,0,0,0.013345845490909,1.3911652469454543,0.047973982472727,0.016338877854545,0.094510106181818,0.0972484545454545,0.1154116995272725,0.0077748947999999,0.0026691690981818,0.2782330493890909,0.0095947964945454,0.003267775570909,0.0189020212363636,0.0194496909090909,0.0230823399054545,0.00155497896
1701239421.168,0.0074072012589899,34.97080960684653,8.05631373198039,0.0156193051687999,0.14956834395014,0.18337396672708,0.18023146599683,0.04149698523976,0,47286831.11337062,7233547.705608913,0,12973654.191237347,13484948.51133325,8320712.094136689,823178.7256650026,0,8301046.195560074,1534080.4480667547,0,0,588.0727194415032,0.0,0,0,0,21040.4615913325,0,0,0,0,0,0.013345845490909,1.906630669321212,0.298388654890909,0.016338877854545,0.0807471818181815,0.0962603621454545,0.083822636363636,0.0077748947999999,0.0026691690981818,0.3813261338642424,0.0596777309781818,0.003267775570909,0.0161494363636363,0.0192520724290909,0.0167645272727272,0.00155497896
1701239426.168,0.0073188190626199,38.11300071311139,8.58064135875296,0.01401249954678,0.15071286754545,0.18668490305714,0.17945436751441,0.02858127905836,0,41252620.07426703,7705180.781625531,0,14152248.207208036,11367805.388134489,9122578.737246783,859617.616478666,0,30722.45931016645,1682973.4081486138,0,0,594.8732844383125,0.0,0,0,0,22412.316457712248,0,0,0,0,0,0.013345845490909,3.423093955745455,0.465705271036363,0.016338877854545,0.068026545454545,0.0861751818181815,0.073153545454545,0.0077748947999999,0.0026691690981818,0.684618791149091,0.0931410542072726,0.003267775570909,0.013605309090909,0.0172350363636363,0.014630709090909,0.00155497896
1701239431.168,0.0074811012842799,58.002896412926674,10.08352651766946,0.01405760661998,0.15241326362416,0.18672221301732,0.17973024413027,0.02596176110015,0,30723115.713840567,7235940.425073211,0,14058172.868444186,9024905.95396751,7094769.109167011,778547.8386013538,0,38214.41794820096,1575452.543073247,0,0,737.6724417390051,0.0,0,0,0,21487.792170460467,0,0,0,0,0,0.013345845490909,3.607657186,0.5523138687212125,0.016338877854545,0.061842909090909,0.079991545454545,0.0711930304363635,0.0,0.0026691690981818,0.7215314372,0.1104627737442425,0.003267775570909,0.0123685818181818,0.015998309090909,0.0142386060872727,0.0
1701239436.168,0.00516310299998,77.05207008210343,13.5858259473799,0.01319747911449,0.15203425710147,0.18515067567567,0.17910119802299,0.0425746194006,0,30857232.06067523,6777288.268775499,0,13655324.783436203,11435439.590942292,7070848.178790159,873085.2861469791,0,9062367.954051765,1473168.0518477475,0,0,747.9912344777209,0.0,0,0,0,20219.00972145268,0,0,0,0,0,0.0,5.302786581054546,0.7008043436939391,0.016338877854545,0.056118545454545,0.0620272727272725,0.061079636363636,0.0,0.0,1.0605573162109092,0.1401608687387878,0.003267775570909,0.011223709090909,0.0124054545454545,0.0122159272727272,0.0
1701239441.168,0.00779123739588,95.30890133909746,14.957641040002953,0.01101223046309,0.1569761552825199,0.1938958038678,0.17470625286009,0.03661273831935,0,41148657.84971949,7461707.1872227155,0,7546140.304668304,11293113.580603262,5421796.123080303,749870.1352045183,0,9055350.758760232,1621939.0712806864,0,0,738.9233655650166,0.0,0,0,0,22260.869565217392,0,0,0,0,0,0.0,5.3165618807272725,0.815701580274748,0.0,0.056343767890909,0.062094141272727,0.0580041818181815,0.0,0.0,1.0633123761454546,0.1631403160549496,0.0,0.0112687535781818,0.0124188282545454,0.0116008363636363,0.0
1701239446.168,0.0077631593316599,113.17621167394432,18.52520116929133,0.01576513519937,0.15549867305705,0.19625148175182,0.17754766164958,0.03748644213869,0,41102630.31592852,7955512.440944882,0,6865586.895096391,11421486.715328466,5430746.182191505,769647.0281693296,0,18020791.83943052,1666919.878215223,0,0,747.4452554744526,0.0,0,0,0,28865.51181102362,0,0,0,0,0,0.0,5.323362289684848,0.907144645052323,0.0017684813454544,0.0426859999999994,0.048594727272727,0.046388909090909,0.0,0.0,1.0646724579369695,0.1814289290104646,0.0003536962690909,0.0085371999999999,0.0097189454545454,0.0092777818181818,0.0
1701239451.168,0.0078718821604,131.30859925405542,20.71944287328595,0.01549488059514,0.15509298287268,0.19690584598296,0.17835853444973,0.02583890331434,0,50567245.457500994,7110983.723429201,0,7017307.719022465,11584279.600148097,5401409.000529015,774964.3911557649,0,26582201.062023625,1540511.169586184,0,0,758.2376897445391,0.0,0,0,0,26862.63092968488,0,0,0,0,0,0.0,5.444868472690909,0.9992790256303024,0.0017684813454544,0.0299871818181815,0.035895909090909,0.0355072727272725,0.0,0.0,1.0889736945381818,0.1998558051260605,0.0003536962690909,0.0059974363636363,0.0071791818181818,0.0071014545454545,0.0
1701239456.168,0.00739709719077,147.44692239751072,21.008015992373828,0.01571371091188,0.15730387786598,0.19319320888139,0.17690357694855,0.04004463501321,0,50984344.56029259,7210023.005778768,0,7063327.124820554,9172965.961968273,3634080.8125414,398886.8677663356,0,35686633.84100296,1561598.7567463347,0,0,600.3004433371194,0.0,0,0,0,27236.764213175826,0,0,0,0,0,0.0,5.537620094945456,1.12823479335588,0.0017684813454544,0.0281002727272725,0.0349338987272725,0.0339942727272725,0.0,0.0,1.1075240189890911,0.225646958671176,0.0003536962690909,0.0056200545454545,0.0069867797454545,0.0067988545454545,0.0
1701239461.168,0.00760100267379,162.78494273204285,24.37440102158721,0.01444567369709,0.15618476524152,0.19205997190758,0.17436274481145,0.04016369761166,0,50695614.69151438,14858226.289822642,0,0.0,9012512.938718917,3607721.7187956735,401757.3476768308,0,35484536.56594898,1611114.868954386,0,0,295.0424087446652,0.0,0,0,0,28396.97008601874,0,0,0,0,0,0.0,7.426668823200001,1.325783163486424,0.0017684813454544,0.0168089999999999,0.0112714545454545,0.0206611818181815,0.001987097454545,0.0,1.4853337646400002,0.2651566326972848,0.0003536962690909,0.0033618,0.0022542909090909,0.0041322363636363,0.000397419490909
