time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,surveyservice_energy_Anomaly,surveyservice-db_energy_Anomaly,transformation-consumer_energy_Anomaly,transformation-worker_energy_Anomaly,unicloudauth_energy_Anomaly,unicloudauth-api_energy_Anomaly,unicloudauth-db_energy_Anomaly
1701198014.235,0.0082321271032566,50.608031318981176,1.3765005358744868,0.0127776879265599,0.1496199291724033,0.1824110570791533,0.1801702698434666,0.0391657091045332,0.0,44360908.261169925,22790467.268675227,0.0,11377252.344677558,10768042.104750857,7945645.048462488,662498.1949785935,0.0,29388388.36198705,252544.6852356236,0.0,0.0,1767.0804837950757,1054.7247561854367,0.0,0.0,15651661.091754071,1669.3068434008708,0.0,0.0,0.0,0.0,0.0,0.017351187040909,2.7274634690878785,0.2730446234847851,0.0092515008636363,0.0711497706946966,0.1148051983643937,0.0916455410242421,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198044.235,0.0074561033449966,188.68327767733692,2.713494428801262,0.0132620380205933,0.1524934206470133,0.1747392053022516,0.1738857230921483,0.0377821629388366,0.0,110711176.7147522,13299017.880009184,0.0,13257009.699493404,12663418.126083571,5366011.39074164,822281.0406989767,0.0,72406875.29668798,428212.8526263844,0.0,0.0,1788.337735529052,1725.4372920247597,0.0,0.0,43261677.77699312,3388.682652627261,0.0,0.0,0.0,0.0,0.0,0.0,16.428030553312112,0.3595271080652278,0.0012296226999999,0.0352926943560603,0.0468950316462118,0.0484698318128785,0.0011526186727272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198074.235,0.0067759681786549,253.7267520938253,2.743279403844337,0.0139718343456016,0.1506665899785049,0.1698109703287217,0.1775449333329516,0.037401733890005,0.0,146459893.53043017,19563399.585390966,0.0,15161282.39821928,13471775.944424815,5486269.319292803,578688.7488294487,0.0,60290553.0747858,514748.05622679245,0.0,0.0,1157.3006896796007,1938.6153524498025,0.0,0.0,51748050.23680087,3074.164354407882,0.0,0.0,0.0,0.0,0.0,0.0,27.833719834792976,0.365625886395385,0.0036888680999999,0.0194758945628785,0.0229294985060602,0.0269916545416665,0.0069157120363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198104.235,0.0062706469886499,254.4551368686174,2.6457751183282485,0.0119385221392666,0.1517010124612049,0.172515651233,0.1762212553151883,0.0353609102554366,0.0,146535878.38198367,22613379.04049796,0.0,10637310.95875701,12422333.306503804,6394961.933939946,65535.53621640671,0.0,44157104.12647589,161393.69502231374,0.0,0.0,606.2317227013654,2752.8349431340216,0.0,0.0,46226675.13677361,2373.9618622010958,0.0,0.0,0.0,0.0,0.0,0.0010826718590908,26.742643803030305,0.3599317667034846,0.0024046487704544,0.0179402205280301,0.0215772163856058,0.0247985545984846,0.004610474690909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198134.235,0.0059598280849549,257.1638850512408,2.7024083612535232,0.01318835076484,0.152626279542555,0.167427714692165,0.1734358377850833,0.0349909244703816,0.0,111658737.72419596,21781144.87646625,0.0,8343492.490635592,12381875.33048558,7219814.687996698,405428.6587159119,0.0,33932569.97686151,315.42043916703983,0.0,0.0,237.23512220346603,1838.3363287880904,0.0,0.0,33081010.18073657,2052.740247835471,0.0,0.0,0.0,0.0,0.0,0.0032480155772725,25.28035524242424,0.3422568083229291,0.003361288322727,0.0147241119515148,0.0178760919492421,0.022262665222727,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198164.235,0.0064823521784483,254.6709371732222,2.6955454154159746,0.0146921846339066,0.1553392399631516,0.1720977422577116,0.1778009267540666,0.0347431723870349,0.0,105601455.48935051,23516220.336319763,0.0,4590326.877456189,13508857.774608092,7549956.936453554,275954.1007812192,0.0,40886721.32776231,213.3477310709475,0.0,0.0,2111384.0833437126,947.6790893796124,0.0,0.0,36570595.31302276,1508.9299004022462,0.0,0.0,0.0,0.0,0.0,0.0016240077886362,24.05512618181818,0.3370775097416159,0.002240858881818,0.0124295848143937,0.018912180318939,0.0194965603007573,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198194.235,0.0070361467634749,248.61075211647608,2.8922737877640152,0.0131331304008883,0.14952785644013,0.1950967110268349,0.17770269981565,0.0463696401929849,0.0,175392019.67833146,24864863.3970459,0.0,1172264.0230752884,15411337.205880502,6918744.023817251,22645.95127389517,0.0,42476518.58550823,93728.08726332744,0.0,0.0,1784086.4150563215,692.9613177740084,19875.13241056747,0.0,44016573.60060679,2289.528979778018,0.0,0.0,0.0,0.0,0.0,0.0,22.813579106060605,0.3519691303129206,0.001686272065909,0.0125466205212118,0.026011379658333,0.0174499455287876,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198224.235,0.0077411592498016,252.7982457170372,2.98759201468124,0.0138489778247666,0.1291473719676516,0.2130733612184399,0.1769351501628283,0.0541781863915566,0.0,183759373.66061947,25507720.900709808,0.0,15037438.73321467,11036947.738130933,5982953.3003617935,32361.1987988747,0.0,35750819.68989655,197492.1778680281,0.0,0.0,439.416146938453,311.15698061782456,28343.44274032366,0.0,38289255.656927966,3115.10838351738,0.0,0.0,0.0,0.0,0.0,0.0,24.820906500000003,0.3598089506888964,0.0033725441318179,0.0180192659840906,0.0352218760234845,0.0220934940946965,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198254.235,0.0070619329888699,252.0088206921264,3.0054106076502616,0.0138565029436783,0.1282376806339883,0.1941965511086432,0.17697486748408,0.0370709753429683,0.0,134643979.63903433,19111665.20143736,0.0,26174629.64715959,8372879.27986298,5213560.038287548,5808.959470169207,0.0,23233325.731628258,138906.50628800792,0.0,0.0,985.6191304218528,1480671.4305971314,5017.838912286484,0.0,42184966.30994233,2415.716431091282,0.0,0.0,0.0,0.0,0.0,0.002119129390909,26.085522469696965,0.2942762156195094,0.0022453850272726,0.0172759874393936,0.0282932791628784,0.0246145780734844,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1701198284.235,0.0067172189222599,252.8748199271236,2.9657658088089653,0.0119084719773849,0.131522046822,0.1789349609434883,0.1743664817424216,0.0332034824039316,0.0,118720425.89827847,18123744.101076227,0.0,24809481.186792742,7636079.597073015,5889187.383900519,0.0,0.0,25560042.655188244,67021.61392172333,0.0,0.0,839.5819664826289,1162923.930443416,0.0,0.0,42471903.31670632,2183.693408807727,0.0,0.0,0.0,0.0,0.0,0.0031786940863634,23.06186610606061,0.2708994927926272,0.0033636109499999,0.0192929587734845,0.0214823282984845,0.0208683451712118,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
