time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,geospatialanalysisservice_energy_Anomaly_Score,surveyservice_energy_Anomaly,surveyservice_energy_Anomaly_Score,surveyservice-db_energy_Anomaly,surveyservice-db_energy_Anomaly_Score,transformation-consumer_energy_Anomaly,transformation-consumer_energy_Anomaly_Score,transformation-worker_energy_Anomaly,transformation-worker_energy_Anomaly_Score,unicloudauth_energy_Anomaly,unicloudauth_energy_Anomaly_Score,unicloudauth-api_energy_Anomaly,unicloudauth-api_energy_Anomaly_Score,unicloudauth-db_energy_Anomaly,unicloudauth-db_energy_Anomaly_Score
1701144216.179,0.00792746317811,0.95173906581373,0.50708358419748,0.01460127431313,0.15773561218885,0.17513621970289,0.18047677188802,0.03991531284803,0,33623847.90425787,11856433.369447457,0,32975018.30396929,6419342.383964744,6158082.84151822,0.0,0,19804068.22917627,300258.1643708405,0,0,2256.3081953230503,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.620211740131818,0.0067677573378785,0.01238391370303,0.0812051818181815,0.072286636363636,0.0763631818181815,0.0,0,1.648053793701365e-05,0,14.150374574151456,0,16.451262855396436,0,0.0020448962894192846,0,0.08425316353770995,0,0.0221002289354999,0,0.030270949856827656,0,0.015655649852025676
1701144221.179,0.0076435326436199,7.24386296544005,1.00434258215367,0.01415485874533,0.15872866180752,0.17442322865401,0.18095198934637,0.04354240243122,0,53958010.84520281,11116314.295553824,0,28475451.404047508,7058488.555581594,7776549.318642027,0.0,0,24023390.93341046,283381.34164687974,0,0,1999.8437622060767,0,0,0,6447475.959800449,8612.06068405503,0,0,0,0,0,0.0,1.058294127692424,0.0284046434681815,0.01238391370303,0.066354818181818,0.0617887272727269,0.061512818181818,0.0,0,1.648053793701365e-05,0,10.070723963581827,0,15.067839800438179,0,0.0020448962894192846,0,0.024372577365738834,0,-0.006288785205612157,0,-0.008762783071489366,0,0.015655649852025676
1701144226.179,0.00607692889281,33.10095866446215,1.13591898283536,0.0061154264079499,0.15776923717746,0.17334654019841,0.18115653679496,0.03768100783182,0,73897528.57536511,7287721.72284746,0,27875885.250651985,8565144.828076664,7727721.812281306,0.0,0,34975784.25645265,273988.5332582343,0,0,1966.2198200760945,0,0,0,17785451.272159453,8326.609865851502,0,0,0,0,0,0.0,1.354000424912121,0.0786931581454545,0.01238391370303,0.0679594120984845,0.063820636363636,0.0632462899984845,0.0,0,1.648053793701365e-05,0,8.572839266588218,0,12.024172929671806,0,0.0020448962894192846,0,0.029504996281843887,0,-0.001877051012627362,0,-0.005638013653594953,0,0.015655649852025676
1701144231.179,0.0072076106604999,57.47479864327831,1.2169464093273,0.00618620485845,0.1475812168464499,0.17442901304284,0.18319763998459,0.02556314267861,0,78682099.92421581,7807569.832716895,0,19441497.80240136,10961814.048382394,8565423.915046146,0.0,0,52407540.56302101,293532.6962431707,0,0,1865.3453803555813,0,0,0,24287089.702593297,8920.56399376678,0,0,0,0,0,0.0,9.60220749263182,0.1180890912345954,0.0,0.0570951818181815,0.0545356363636359,0.055690727272727,0.0,0,1.648053793701365e-05,1,121.54973035839262,0,9.81293271845368,0,3.083742996068395e-06,0,0.0010886028988466023,0,-0.017796084461991768,0,-0.016487643162122367,0,0.015655649852025676
1701144236.179,0.00768912461418,87.61234205401715,1.38586452169582,0.01472983802842,0.14627177891248,0.17855537934228,0.18217965842937,0.0382411389629799,0,106673634.33623885,11262560.799871909,0,21514190.004099738,8926130.69013432,8576607.71385911,400440.2382431395,0,60537385.90682107,278148.1969079685,0,0,1897.1746178786475,0,0,0,26651381.93338225,8453.023537155972,0,0,0,0,0,0.0,14.259739322621211,0.145642037192929,0.0033204760181815,0.0599185454545449,0.0564045555272725,0.0551028181818179,0.0,0,1.648053793701365e-05,1,122.18039679430653,0,8.359676136796338,0,0.0007109507362770273,0,0.007043939141595956,0,-0.015464654456366134,0,-0.01703037302658572,0,0.015655649852025676
1701144241.179,0.0072448350589799,110.3938086930799,1.6449481326435498,0.01390118890814,0.13896400759557,0.17371510743021,0.1739854160087,0.03820275703827,0,139698218.86150604,7970064.384037439,0,20876451.61406999,10932709.711400496,8185220.705500618,399127.6541501257,0,75195968.71822366,285805.7510557008,0,0,2008.608946766196,0,0,0,30546395.75514429,8685.739356159625,0,0,0,0,0,0.003239685201515,14.347741418177778,0.183585926160833,0.0033204760181815,0.051598636363636,0.0529552727272725,0.0501111818181815,0.0,0,0.0008793947230856247,1,122.18039702560709,0,6.487210412779461,0,0.0007109507362770273,0,-0.0076254820928340905,0,-0.01942424605167048,0,-0.019884412587629186,0,0.015655649852025676
1701144246.179,0.0072405908845,139.68734181073222,1.91832725528101,0.0153932984052,0.12691822474593,0.1749260092929,0.17778360076734,0.03803679304925,0,129086861.37368366,12280038.353973985,0,14635596.993487967,10883121.838332336,7635360.5249475585,395904.9872654034,0,70534068.07317688,293815.07407365734,0,0,1999.457612409828,0,0,0,32973513.99920929,9237.047128330856,0,0,0,0,0,0.003239685201515,18.95622442270757,0.2049295977338885,0.0033204760181815,0.046576727272727,0.0479333636363634,0.0419069999999995,0.0,0,0.0008793947230856247,1,122.1803975933974,0,5.500823779760566,0,0.0007109507362770273,0,-0.012260409254167826,0,-0.02250991021662685,0,-0.01775714160888242,0,0.015655649852025676
1701144251.179,0.00711501201273,167.54294848032075,2.10502618024959,0.01470514099999,0.13986604367705,0.17434398838983,0.1803008469265,0.02630137245026,0,133618938.7755102,12048870.979040315,0,21255938.13066215,13435956.089755518,7213322.628182326,394245.7099687017,0,71521324.7813411,288208.2327133298,0,0,1829.047743087858,0,0,0,46813219.82507289,9060.777554519143,0,0,0,0,0,0.003239685201515,17.66477496927212,0.235263794497222,0.0033204760181815,0.0337729999999995,0.035129636363636,0.032285545454545,0.0,0,0.0008793947230856247,1,122.1803975933973,0,4.183345514726483,0,0.0007109507362770273,0,-0.009702786736738744,0,-0.01600270084463773,0,-0.004461390245438679,0,0.015655649852025676
1701144256.179,0.00719542884638,195.3249548534765,2.41279530516392,0.0134458477218499,0.13696629887316,0.1660505833431799,0.18070283038153,0.04071849424414,0,168282955.98889813,12663343.976425136,0,20912353.081856724,11862998.22632139,6331981.044063262,422460.07259064034,0,97880639.87312116,293951.9199563034,0,0,1452.9975168499466,0,0,0,54735850.6289875,10165.48426361856,0,0,0,0,0,0.003239685201515,20.863507545912874,0.260986580196194,0.0033204760181815,0.0361161818181815,0.0342439999999995,0.034605818181818,0.0,0,0.0008793947230856247,1,122.1803975933974,0,3.144931172436941,0,0.0007109507362770273,0,-0.011714608592598097,0,-0.014789055189055489,0,-0.008734542647147236,0,0.015655649852025676
1701144261.179,0.00699610204324,218.6173846725457,2.58270153943089,0.00911369355289,0.13975152887286,0.16815286999801,0.17551996729083,0.03909559152809,0,175367969.18077087,15203251.60499293,0,13664606.86128276,10855474.726344831,6260853.304911887,807081.7457695553,0,99158782.27529168,266519.3535752601,0,0,1625.0157791282709,0,0,0,60201874.4225959,9207.159034790457,0,0,0,0,0,0.003239685201515,22.113967622689174,0.274415183038026,0.0033204760181815,0.0351548894454545,0.0402322727272725,0.0340033636363635,0.0,0,0.0008793947230856247,1,122.1803975933974,0,2.6319038210836823,0,0.0007109507362770273,0,-0.010972920546777232,0,-0.02107085147355292,0,-0.007690189315894713,0,0.015655649852025676
