time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,geospatialanalysisservice_energy_Anomaly_Score,surveyservice_energy_Anomaly,surveyservice_energy_Anomaly_Score,surveyservice-db_energy_Anomaly,surveyservice-db_energy_Anomaly_Score,transformation-consumer_energy_Anomaly,transformation-consumer_energy_Anomaly_Score,transformation-worker_energy_Anomaly,transformation-worker_energy_Anomaly_Score,unicloudauth_energy_Anomaly,unicloudauth_energy_Anomaly_Score,unicloudauth-api_energy_Anomaly,unicloudauth-api_energy_Anomaly_Score,unicloudauth-db_energy_Anomaly,unicloudauth-db_energy_Anomaly_Score
1701128818.963,0.0082304173897099,7.552005072696851,2.382485459437,0.01578494504479,0.15600929922027,0.17014514173714,0.18459439917051,0.02918356774145,0,36109123.280820206,17485156.38372786,0,20229350.995264035,12612174.367536567,8941400.953177867,820609.5608588314,0,7818439.181223878,363132.3691385443,0,0,0.0,4321.461054316586,0,0,0.0,17454.02018669989,0,0,0,0,0,0.014039939454545,1.197487480663636,0.2588110953681815,0.005029417554545,0.0984141695863635,0.0560122243772725,0.066690818181818,0.0,1,74.37986470037117,1,77.53624547207784,1,86.06644147306432,1,74.37498378318804,1,74.57418837792923,0,74.30214760573335,1,74.40376965632902,0,
1701128823.963,0.00808504165092,34.55223994716664,3.99387360868364,0.01544877334441,0.15460859536871,0.1730414814117599,0.18335553957882,0.04027120112087,0,45699585.14872983,17976884.70241928,0,20651454.578501582,13079058.070588237,8944236.763073117,400231.4536819695,0,25448441.774625465,511067.4638947658,0,0,0.0,4174.951311406782,0,0,650773.9740898893,26826.89724956305,0,0,0,0,0,0.014039939454545,2.22460295215909,0.397899901342424,0.005029417554545,0.0793010909090905,0.0481201818181815,0.064705034331818,0.0,1,74.37986470037117,1,62.32382243791641,1,79.08062093772583,1,74.37498378318804,1,74.468722269936,0,74.2917383763444,1,74.39737241287676,0,
1701128828.963,0.00808110980579,59.819294835367344,4.59709215650689,0.01541338383838,0.15873084792185,0.16962039350854,0.1842363004223,0.04067421000477,0,42104966.42356848,13478005.335462676,0,13643743.246163825,10397578.055435874,7461167.904470657,403631.95948177774,0,25389861.506245933,508218.2821261999,0,0,0.0,4026.2123197903015,0,0,6109026.211278792,27057.401593379665,0,0,0,0,0,0.014039939454545,3.074515369887878,0.4286225174007574,0.005029417554545,0.074313096463636,0.047334727272727,0.0542672727272725,0.0,1,74.37986470037117,1,49.23852139063125,1,77.69611996102236,1,74.37498378318804,1,74.4465217703816,0,74.29100456997168,1,74.36949836830061,0,
1701128833.963,0.00787715701288,98.85607102818884,5.5804342001461,0.01587379253975,0.15553687637957,0.1684917969539399,0.18055606849661,0.03901972652109,0,60083366.8142708,13593768.298027756,0,13818704.51104504,10638191.912696809,7415195.399804709,388585.9656561374,0,17482946.610505097,512673.19211102993,0,0,0.0,3999.566019312141,0,0,7629660.798502359,27526.07742878013,0,0,0,0,0,0.014039939454545,9.550983952286364,0.541891125140909,0.005029417554545,0.0608102727272725,0.0460356363636359,0.053031333763636,0.0,1,74.37986470037117,0,40.34322930961105,1,73.13426720729342,1,74.37498378318804,1,74.39749027669225,0,74.28991096753538,1,74.3668378543475,0,
1701128838.963,0.00636553459118,128.29268282256314,6.56466885010414,0.0087354727333599,0.1604523454885,0.16814736142643,0.17932703356625,0.02712824638768,0,66756145.017729215,18259090.13861955,0,13594774.244490704,10687991.730808277,7404868.064207428,400277.07154174027,0,17577320.50075982,504534.94218200096,0,0,0.0,4141.6319087084485,0,0,13855233.51906795,27947.9997127056,0,0,0,0,0,0.014039939454545,8.547096996894696,0.573112764493939,0.005029417554545,0.055534909090909,0.0383973636363635,0.0413120909090904,0.0,1,74.37986470037117,0,23.833365167852648,1,72.03413078040143,1,74.37498378318804,1,74.3827273098392,0,74.28650771715095,0,74.34834794647912,0,
1701128843.963,0.00769724730636,163.5382592047266,7.738850615463059,0.01606603294644,0.1595362027711999,0.16735393661842,0.17796811487083,0.03811687890715,0,78730809.28429022,18519263.192395937,0,13526805.228197986,10602404.83605056,7397182.095148818,0.0,0,43514858.74197502,511944.06205615646,0,0,0.0,3987.3807935678105,0,0,24612501.406144407,30131.905750391496,0,0,0,0,0,0.014039939454545,12.627066602260609,0.659396238629722,0.005029417554545,0.049829909090909,0.0359572111772725,0.0410181818181815,0.0,1,74.37986470037117,1,101.97701948219394,1,69.36660774611212,1,74.37498378318804,1,74.36954107473468,0,74.28651094269753,0,74.3480409296904,0,
1701128848.963,0.00749685285879,196.6056826124996,8.58059853044827,0.0156766835221,0.15995145015262,0.1644955358266,0.17881562339661,0.03911183505304,0,105689222.30120108,18576275.162108824,0,13686986.176114494,8321630.968855022,7515362.896723594,0.0,0,45572077.93391292,495544.4037214546,0,0,294.44853800118614,4203.18111852232,0,0,32201681.777194552,30601.635184663093,0,0,0,0,0,0.014039939454545,13.392976833932575,0.669918815341515,0.005029417554545,0.046735920940909,0.026559727272727,0.031526909090909,0.0,1,74.37986470037117,1,104.4292343642014,1,69.07969961344344,1,74.37498378318804,1,74.36359777934638,0,74.29145586868685,0,74.34224872382728,0,
1701128853.963,0.0073614319921499,232.45740705346188,9.925899613998029,0.0152700926935699,0.15819106645229,0.16584199931641,0.1746621120011399,0.0395922238089,0,117580334.69942848,19198144.859983247,0,13530263.09396213,6248151.828599183,5868994.993563153,0.0,0,74045364.15930018,512055.93386985175,0,0,294.734569788987,4247.747103418681,0,0,42328797.503145695,31621.28108954517,0,0,0,0,0,0.0,16.370152864508185,0.77342283921834,0.005029417554545,0.037106,0.0279421818181815,0.0307181818181815,0.0,0,74.37507746289833,1,105.28979503240757,1,66.7175693374277,1,74.37498378318804,0,74.35053743668811,0,74.29023713748231,0,74.34212492935268,0,
1701128858.963,0.00747145809001,263.30305591392005,11.10102850496508,0.01667693023922,0.1603074155929,0.16634297432561,0.18010388005119,0.02580252143583,0,147380744.2334279,15072044.722324386,0,6806058.972562126,8364507.561385442,4508221.32016822,0.0,0,98903140.21683766,517234.8657594704,0,0,296.02327136068806,4568.58657889925,0,0,47104704.17168498,34648.032364840015,0,0,0,0,0,0.0,18.41641585339318,0.8512206595816014,0.005029417554545,0.024121,0.0171411818181815,0.0199171818181815,0.0,0,74.37507746289833,1,105.29025237348866,1,65.50575600509697,1,74.37498378318804,0,74.34596151001796,0,74.30426907174018,0,74.34603773560758,0,
1701128863.963,0.00771157094278,300.46608216419565,12.12278089538601,0.01721608902198,0.1593181343268599,0.16766152482269,0.1839669721414299,0.03828743587891,0,160936205.00928918,10681559.6528095,0,6916297.29482894,8373412.071211462,4507630.430408458,0.0,0,100260076.41808662,514048.935587026,0,0,296.42495295990733,4795.1124037388645,0,0,58383089.17540261,34429.60255824577,0,0,0,0,0,0.0,21.13002244523896,0.8979489295423425,0.005029417554545,0.0143952727272725,0.016055605513636,0.018655190713636,0.0,0,74.37507746289833,1,105.29025266079758,0,65.01581563666107,1,74.37498378318804,1,74.35233906323393,0,74.30625141039346,0,74.34717063282966,0,
