time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,surveyservice_energy_Anomaly,surveyservice-db_energy_Anomaly,transformation-consumer_energy_Anomaly,transformation-worker_energy_Anomaly,unicloudauth_energy_Anomaly,unicloudauth-api_energy_Anomaly,unicloudauth-db_energy_Anomaly
1701236814.749,0.00798325394567,6.77901273884188,2.06003628357471,0.01633720181363,0.1552585037822,0.17735106222094,0.18100008144501,0.04141528217562,0,59986752.616641656,24743163.77684604,0,13861018.395826189,8769926.544721302,3293880.257728227,397615.937177701,0,26224055.243225653,250933.1526813996,0,0,1622.3534495174997,4151.451531166293,0,0,0.0,6599.556914513796,0,0,0,0,0,0.0,1.240924416951515,0.5616201041,0.0137045098590905,0.08272,0.0831794545454545,0.070790909090909,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1701236819.749,0.00760256081945,20.7406658382469,3.952923994744241,0.01621268503213,0.14961068724571,0.17624831613253,0.1834155349869,0.04134470639048,0,78597816.79249096,24327473.847150724,0,14007687.811285645,8815929.893173998,3309453.593249928,395469.2533338133,0,44436118.95446447,254350.4085820224,0,0,1631.5770414629728,4096.595868489962,0,0,9677111.294796202,4902622.556607509,0,0,0,0,0,0.0,2.249152643372728,0.653319003572727,0.0137045098590905,0.078546776,0.0722600909090905,0.059871545454545,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1701236824.749,0.00688846495261,58.2908834526033,4.54067952035855,0.01191483327913,0.14961896104838,0.17508576722957,0.18433162939892,0.04150042085109,0,104873463.75143844,18407460.86422208,0,13916793.097823132,8890058.603377454,3393918.054493575,396919.2977386028,0,68399502.87686996,255532.72007662692,0,0,1495.5727978092195,4048.563062979056,0,0,12145565.01726122,4923002.186760161,0,0,0,0,0,0.0,3.109583673157576,0.7317185268727271,0.0,0.0682873636363635,0.071134636363636,0.0587460909090905,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1701236829.749,0.00587675606402,86.28138898015571,5.43959671090065,0.00938041203338,0.14403392908932,0.1760437424877,0.1800280170937,0.0280490603722099,0,118590767.17307554,12577816.64005286,0,13915174.013921114,8864397.450373339,3281659.748643142,399002.0880617339,0,73540052.04623102,259519.33630673788,0,0,1342.7062465853214,4209.812654393336,0,0,18500480.04652177,5000558.706385478,0,0,0,0,0,0.0,10.68356744473182,0.8021634717136366,0.0,0.06708285885,0.0730348181818179,0.0630059999999994,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236834.749,0.00757716988064,128.86451555254376,6.826010060674729,0.01452073372693,0.14501582518312,0.17372368967779,0.18078060704314,0.04027151710015,0,126723955.54350773,12528214.627727624,0,13852400.303150602,8868072.89692375,3274143.8530126987,787828.1362264694,0,65590776.18144032,258404.76625607663,0,0,1194.3431987170145,4205.566063226154,0,0,22005738.71871329,4979381.994955957,0,0,0,0,0,0.0,9.618074882094696,0.859364597193939,0.0,0.058097545454545,0.0628622727272725,0.0528161818181815,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236839.749,0.0067233151057299,154.7254704559403,7.71699113798244,0.01442491729401,0.14613276065737,0.17355797990867,0.18071418167949,0.03907388173189,0,131891244.3594094,6487123.773765483,0,6872700.669315293,6668288.0,1655464.1871277057,766662.0287017776,0,77453451.0667485,260235.8051276388,0,0,1047.37899543379,4314.397791660613,0,0,25597449.333959065,5014665.562365413,0,0,0,0,0,0.0,12.285624432528788,0.967212155729924,0.0,0.051698727272727,0.0541223636363635,0.0440762727272725,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236844.749,0.00700227010101,192.7410679501697,9.36046356655134,0.01486101326453,0.14812692872409,0.1748729383947,0.17882521447356,0.02799773772164,0,139770210.7893365,11939996.160324562,0,14270112.294396432,8918449.328225525,3296486.950213113,813354.4174614039,0,79307657.8043826,663662.8330284535,0,0,600.6195355316457,4308.841933436111,0,0,31539331.86392229,4935185.554126746,0,0,0,0,0,0.0,16.314421115509464,1.0136473647539397,0.0,0.047103909090909,0.054173545454545,0.0440584294181815,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236849.749,0.00740792070405,223.134577934629,10.26606184824154,0.01465022066433,0.14859314412077,0.17353855077669,0.1806051970765199,0.02698175194213,0,165869256.81978798,12060273.816273158,0,14150449.539255437,8736907.389781807,3346762.053793332,781747.5131708187,0,95078653.28621908,676137.0178679201,0,0,441.3396785489808,4373.570942027651,0,0,43090064.734982334,4983383.017246109,0,0,0,0,0,0.0,18.407429389086968,1.0766853413649828,0.0,0.046904317090909,0.0514404900863635,0.0335782727272725,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236854.749,0.00548323637306,258.06790876506966,11.37804157946014,0.01471462604886,0.14740163699024,0.17233698966503,0.18125410219569,0.03806244628634,0,165665422.59384066,5966263.279445727,0,13781651.924181508,6685609.909843876,1678599.4694960213,393479.3505816358,0,96978352.4408484,723140.8775981524,0,0,300.22722275159424,4602.416740347775,0,0,49641495.13240229,4916397.228637413,0,0,0,0,0,0.0,19.466042152336364,1.155100357086363,0.0,0.0325239999999995,0.039593636363636,0.031559818181818,0.002394247163636,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236859.749,0.00543955910719,292.7204038901189,12.42048956160539,0.00932003927882,0.1473450482205699,0.1673141358659,0.17758889232785,0.03847519983976,0,200724203.1286565,6171398.978637705,0,13735660.32671903,6462677.770296609,1658952.3358700797,398494.6557657642,0,123021790.5708268,917644.8248579444,0,0,290.30086112193914,4399.810654334923,0,0,57602098.436545394,4899924.332877796,0,0,0,0,0,0.0,22.6283070299,1.2050803646244042,0.0,0.022545636363636,0.0296152727272724,0.026313636363636,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236864.749,0.00718575982605,324.6910910853484,13.469099670999398,0.01412285967113,0.14454269050901,0.16998999319765,0.18221031926811,0.0253381612693699,0,210813877.12285903,6205966.884202579,0,14079272.260430994,4470711.745996728,1701415.3846153845,400352.4647133759,0,123585026.7132083,945740.5749420206,0,0,301.2152299009064,4664.973861090366,0,0,66586118.70739662,4899544.433058268,0,0,0,0,0,0.0,26.484992197067427,1.1989250354739895,0.0022468079454545,0.0150579090909089,0.022127545454545,0.018825909090909,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236869.749,0.00688637173119,352.1627397535613,12.78847333891332,0.01384941516769,0.14648431430532,0.16840725084906,0.17905348035078,0.02565176546629,0,242121252.88739607,5848031.485405945,0,7094444.883854156,4442730.745352956,1671660.3676659449,404153.7950138504,0,122729765.02074616,692963.8665788115,0,0,149.58185735675417,4433.713719590503,0,0,71958219.61364397,4847172.831371432,0,0,0,0,0,0.0,25.80627382291364,1.017578369760075,0.0022468079454545,0.012042818181818,0.0190659999999995,0.017920252890909,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236874.749,0.00724195764918,366.653621790879,12.20272918820859,0.01388204040955,0.15231468854783,0.16913673473165,0.17444795584924,0.03737633886713,0,221935358.5337915,5958946.249433107,0,7073208.236637565,6754908.1215173,1654045.1673807274,402423.5471476109,0,104959266.89576171,698381.9319727891,0,0,0.0,4312.831312177765,0,0,71496797.2508591,4012.408163265306,0,0,0,0,0,0.0,26.84278273109,1.0025681975485354,0.0022468079454545,0.0137057183772725,0.0190692727272725,0.016484545454545,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236879.749,0.0075243873742499,368.40911991770616,12.46296380541804,0.01394090115011,0.14789984452758,0.16796849808319,0.17446196084846,0.03590029500609,0,204072352.2474697,6000602.9629359,0,14043813.871817386,6537002.328830927,1656133.922242216,386670.388100832,0,108951764.13967928,703105.6390771422,0,0,0.0,4318.083501463184,0,0,74745606.17878602,5985.788137296093,0,0,0,0,0,0.0,30.147060727272724,1.018649996590656,0.0022468079454545,0.0137057183772725,0.0203174350272725,0.0200734006772725,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236884.749,0.00721652403262,368.7099457533297,12.85436012676357,0.0118044923301999,0.15127355261705,0.1661344275957,0.17773021524249,0.03779833743728,0,210268392.34886825,11745015.254601443,0,13830806.49926145,6610501.875101907,1683276.267898383,405254.7349712107,0,95098633.24625026,689291.4130201245,0,0,0.0,4237.89376443418,0,0,71872576.42910646,5133.567284967414,0,0,0,0,0,0.0,29.028203181818174,1.019422302767604,0.0022468079454545,0.0142950909090905,0.0212580909090905,0.016420545454545,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236889.749,0.0067922014523299,369.5591896279992,12.51730758278021,0.00799380310769,0.14832470192048,0.17026802734954,0.1755236804643,0.02359058377105,0,208003440.3892044,18228939.004041675,0,13976579.448439064,6761041.209605692,1662710.4686815592,71.95685399574863,0,121930083.20538671,713826.9865401016,0,0,0.0,4186.30457001022,0,0,82395214.36415768,6075.123289702992,0,0,0,0,0,0.0021579818590905,29.96147581818182,1.0180042035650814,0.0022468079454545,0.014329636363636,0.018915727272727,0.0163162727272725,0.002394247163636,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236894.749,0.00697250733849,370.8333241338559,12.78288692102512,0.01048414100133,0.14762194237931,0.1672357883969,0.1741048346055899,0.02449422583746,0,219452490.08970293,17727753.162960026,0,14123046.581794098,6665128.160163672,1692079.1218588063,75.19528688770167,0,106173166.17428514,693911.9777962009,0,0,0.0,4184.1719135974445,0,0,83554483.75141,6200.915546263923,0,0,0,0,0,0.0021579818590905,28.86435663636363,0.9251825315668588,0.0022468079454545,0.011988545454545,0.0179614288318179,0.0176365964090905,0.004537726804545,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236899.749,0.00721852011728,371.9141732830576,12.38406472922848,0.01176433968463,0.14969489989325,0.16586386565435,0.17388736408779,0.0374317430247699,0,224177426.85605508,18632090.20771513,0,6930759.437453737,6707118.11313124,4839.194402909306,75.33427746408931,0,106332330.94157273,296716.91394658753,0,0,0.0,4309.9075150911,0,0,87299486.30839069,5925.222551928783,0,0,0,0,0,0.0021579818590905,29.00652354545454,0.9690750990380196,0.0022468079454545,0.0135158083772725,0.0165150909090905,0.0184959999999995,0.004537726804545,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1701236904.749,0.00665645628515,371.8259148904058,12.36733793381907,0.01166597350419,0.14266555372057,0.16356180670567,0.16777606145301,0.03726933909775,0,189291781.29083315,18030970.390840903,0,6966225.044910993,6714434.065731847,4010.467662400086,74.71861945675771,0,80176427.84842741,281147.0408785845,0,0,0.0,4010.467662400086,0,0,78939569.57505935,6174.209525176759,0,0,0,0,0,0.0021579818590905,30.74674245454545,0.994932959887975,0.0022468079454545,0.0141312727272725,0.015681904572727,0.0184239090909089,0.004537726804545,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
