time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,geospatialanalysisservice_energy_Anomaly_Score,surveyservice_energy_Anomaly,surveyservice_energy_Anomaly_Score,surveyservice-db_energy_Anomaly,surveyservice-db_energy_Anomaly_Score,transformation-consumer_energy_Anomaly,transformation-consumer_energy_Anomaly_Score,transformation-worker_energy_Anomaly,transformation-worker_energy_Anomaly_Score,unicloudauth_energy_Anomaly,unicloudauth_energy_Anomaly_Score,unicloudauth-api_energy_Anomaly,unicloudauth-api_energy_Anomaly_Score,unicloudauth-db_energy_Anomaly,unicloudauth-db_energy_Anomaly_Score
1701185209.037,1.425676702163065,1.891782958970575,0.02811190129399,8.693481077088425,61.47220275577198,0.1742477724092599,0.1700845803579199,0.04055514543044,0.0,47698272.58502607,13933038.259070309,4593.296111074538,14134862.50957718,8397111.952767402,6209600.881313281,0.0,0.0,13108791.454546224,0.0,0.0,0.0,2214.245056477538,72.26383387312558,0.0,0.0,2328192.786265554,0.0,0.0,0.0,0.0,0.0,0.0,0.1373354969454542,0.0606574545454542,0.0,0.4433275283454543,4.335048818324999,0.1205503323999997,0.0955881363636362,0.0,1,31.011888086254643,0,0.031400926020410225,0,-0.003032014296337593,1,36.751363118000576,0,18.747429418255397,0,0.2640518655651931,0,0.13585590770819067,0,0.0
1701185219.037,10.01591031805748,51.53668804176153,0.0337198457877098,20.275342088985564,226.5578101180629,0.16244020026,0.160372518639865,0.033321993011,0.0,81798837.2773794,11019714.386763126,852214.6506486728,20686131.5981306,7920009.831529846,7426186.171308212,0.0,0.0,32183584.793778066,0.0,0.0,0.0,2319.99578792635,692846.3777014932,0.0,0.0,14031033.697935233,0.0,0.0,0.0,0.0,0.0,0.0,0.2292842645863632,1.9367345533371216,0.0,0.954263460075,10.122686058461364,0.0838402727272725,0.086750541565909,0.0,0,26.855662260431473,1,84.5901957570827,0,-0.003032014296337593,0,24.2222292285563,1,24.237474529609173,0,0.07904166482626351,0,0.09743991911605576,0,0.0
1701185229.037,17.066780504103725,95.88326666652073,0.0240249770295799,37.544493305657326,377.9595715455569,0.1477003039445349,0.1505525179319649,0.035895077120075,0.0,108666302.11410493,10803895.29984273,3199865.7673904905,27125256.194381528,7490262.084021067,7466127.660148917,402414.9147253674,0.0,45459836.401562735,0.0,0.0,0.0,1972.7192295993264,1410861.299481723,0.0,0.0,22213402.44689525,0.0,0.0,0.0,0.0,0.0,0.0,0.347189991722727,4.05960793674053,0.0,1.4028799680954545,15.97284281010682,0.0621233867068179,0.0523924999999997,0.0,0,21.750431035618462,1,138.8225770837567,0,-0.003032014296337593,0,14.156685499585265,1,23.577593321554367,0,0.014255519047168264,0,0.00037416666566514323,0,0.0
1701185239.037,24.688087538127785,145.05294362380852,0.2766299893114949,52.10062082955493,518.6717217483553,0.13793837359902,0.136594470658905,0.03054476374274,0.0,138987695.44254488,10351704.032987015,4103016.817197544,21014014.91471721,6775883.867242345,9049026.981760057,420104.7130679615,0.0,63203398.69556597,36095.615511282405,0.0,0.0,1693.5391524474603,1559084.7367478583,0.0,0.0,36028334.21984102,0.0,0.0,0.0,0.0,0.0,0.0,0.686798167356818,5.977025806745946,0.002259983672727,1.8477308672090909,21.04749999619773,0.0398967727272724,0.0394052761749997,0.0,0,9.063583434304192,1,141.21822940378254,0,0.0001900931668217254,0,5.5995791861463005,1,21.873278871935376,0,-0.017608435040443737,0,-0.014630554498722859,0,0.0
1701185249.037,30.459129375420176,194.1976629803926,0.523242006759,63.48926299618253,667.0438582830323,0.1312902605693799,0.1331326671113,0.0347455868996749,0.0,161889734.93106654,7040638.067900185,5809041.979102653,25357678.70653777,6546158.752745841,8799510.028967667,408929.0838212104,0.0,85403026.16907707,70196.3707064229,0.0,0.0,1860.19954171716,1510991.4987776272,0.0,0.0,47657895.97986533,0.0,0.0,0.0,0.0,0.0,0.0,0.9193778556613634,7.679826100627274,0.002259983672727,2.284337925947727,24.984956497873483,0.0237223636363635,0.0237089999999997,0.0,0,2.7180451023329226,1,141.23834465765114,0,0.0001900931668217254,0,-0.6982920401246417,0,1.435679958808521,0,-0.018878768514213107,0,-0.016876059489305817,0,0.0
1701185259.037,36.15913783773319,253.1620102743045,0.5215345729814149,74.3146312634646,764.0667273010474,0.1237297424592499,0.1207271988032999,0.023989193163165,0.0,204702342.1843032,4370954.589771126,7311789.093981553,27095704.702188995,5686464.595373651,8471175.026762752,418981.6315515613,0.0,112201898.4714234,69992.76235819279,0.0,0.0,2074.966985098567,1451581.9159205433,0.0,0.0,62174174.32969734,0.0,0.0,0.0,0.0,0.0,0.0,1.1072043934999998,9.156998776434977,0.002259983672727,2.1451619005340907,27.79863571902803,0.0078277727272725,0.007231227272727,0.0,0,-0.6746576069944439,1,141.23840623448865,0,0.0001900931668217254,0,1.0289020649134244,0,-0.0028800904015966466,0,-0.0021392197868976837,0,-0.0005228344716954325,0,0.0
1701185269.037,38.568540042517874,274.7582694889174,0.53927366614186,75.57847076256961,810.1905986350644,0.12130593678472,0.11605216696813,0.03042580433288,0.0,202295222.68709925,4567214.451016989,7982601.60426748,35100403.14300279,4538595.040121822,7766477.068886169,423630.6535690621,0.0,110308452.83084229,73135.50144333,0.0,0.0,2161.901368963206,1468045.0486018746,0.0,0.0,66197824.296714544,0.0,0.0,0.0,0.0,0.0,0.0,1.0823275454545451,10.270786623916514,0.002259983672727,2.1034225909090907,27.760183045454543,0.0079491613704545,0.0073703655204542,0.0,0,-0.32142767109154136,1,141.23840635957797,0,0.0001900931668217254,0,1.6018422324619337,0,-0.002345219733811632,0,-0.002334618091907714,0,-0.0007411393590643911,0,0.0
1701185279.037,39.2099605538854,267.2885590321916,0.50298737862065,76.10895426564733,812.7118488729523,0.127273231878335,0.1134337115831899,0.034888430427695,0.0,174165485.2072291,4205244.541053256,7478274.851220626,40303734.256829634,6358136.275094085,5715937.569740914,430071.5276880104,0.0,87133941.15760383,67339.22207950466,0.0,0.0,2091.487414499516,752571.7887651565,38449.21059307976,0.0,70337663.93942007,0.0,0.0,0.0,0.0,0.0,0.0,1.2852291818181816,8.834859036449998,0.002259983672727,1.6443867727272723,26.44494431818182,0.0063045733727269,0.006874070090909,0.0,0,-2.303014211899196,1,141.2384058274918,0,0.0001900931668217254,0,9.293824641140503,0,-0.19830445882356074,0,0.0004010345720928399,0,4.379125115860916e-05,0,0.0
1701185289.037,39.17116978618289,274.5704520842572,0.257874417162005,76.71661654339702,808.3900657421259,0.1235942410154099,0.1130465124020299,0.04248983216901,0.0,158815038.65025192,2085510.0366643788,8654853.756731372,41295340.26050246,5529723.144137027,4311668.89140666,398199.1412849791,0.0,65830289.95731952,33395.59022952906,76.47698773086478,0.0,1814.238904814736,1619696.448415753,71681.80649628553,0.0,64331781.86473517,0.0,0.0,0.0,0.0,0.0,0.0,1.1806205909090908,9.24984040008636,0.0011299918363635,1.659905318181818,28.44763572727273,0.0068770716340907,0.0074592519090907,0.0,0,-1.5394156259023646,1,141.2384062780683,0,0.000998505247224557,0,8.997935746122494,0,0.0007131110952443009,0,-0.0005729269419987304,0,-0.0008798858041814128,0,0.0
1701185299.037,37.55781828892722,266.9155884290848,0.02306061959773,76.43860037360645,783.234127715343,0.1267945646045349,0.112062680983075,0.035942869547955,0.0,152279365.28389394,0.0,8910508.023107275,39542264.474367335,6619555.102167672,3196919.463404536,397404.7277225582,0.0,42543160.25217296,0.0,78.77635102714304,0.0,2115184.262395366,1509239.6512453572,71538.80016263117,0.0,56209469.61842057,0.0,0.0,0.0,0.0,0.0,0.0,1.2948841363636363,7.510219310288635,0.0,1.6594585454545454,26.68927531818182,0.0064530454545452,0.0064704090909087,0.0,0,-2.3452909023462922,1,141.23828914518302,0,-0.003032014296337593,0,9.006424376933097,0,-0.11865328818404919,0,0.0001462254400337315,0,0.0006950298486003703,0,0.0
