time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_energy_Anomaly,surveyservice_energy_Anomaly,surveyservice-db_energy_Anomaly,transformation-consumer_energy_Anomaly,transformation-worker_energy_Anomaly,unicloudauth_energy_Anomaly,unicloudauth-api_energy_Anomaly,unicloudauth-db_energy_Anomaly
1701252654.169,0.0074269145880399,24.537292933466464,5.530499707084847,0.0129377595135033,41.64884326091626,0.16505795270918,0.186885337700705,0.0360587897809083,0.0,55501012.16118664,14962854.546973212,0.0,28042134.77961368,12614677.9576947,6423953.427679122,610133.581935746,0.0,19951202.287631538,1136266.53237736,0.0,12748293.188564451,0.0,2581.207776797331,0.0,0.0,0.0,14517.580070811511,0.0,7622139.229506376,0.0,0.0,0.0,0.0017491815878786,2.264732334286869,0.424121544188657,0.0134937842651512,4.591353735106608,0.0914629545454542,0.0975974080151511,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1701252684.169,0.0068929477309249,70.92994448800393,12.0064512305163,0.0127418400354583,162.71746697876458,0.1613304043005133,0.1839283267097316,0.0325265466450449,0.0,62005504.83090771,14320468.032462947,0.0,87903151.36449781,12702331.520801404,3836640.3660192094,403886.9841169783,0.0,19582516.12752956,904825.2917121918,0.0,27065416.011609714,24.889861149090024,3159.431731198374,0.0,0.0,0.0,16860.55809798968,0.0,26826043.365481373,0.0,0.0,0.0,0.002623772381818,5.375369065674495,0.9344817352315224,0.0020173083295453,13.271035995979725,0.0424508843696967,0.0464572983515148,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252714.169,0.0075962746186233,91.48901692760856,12.654399415360231,0.0123488451120933,220.5196338552595,0.1522716760296399,0.1847402597628633,0.0341241228952666,0.0,67521647.86255114,11025747.749025444,0.0,128152085.6518634,7741370.857373445,3124048.3224187926,458382.6417448427,0.0,22070458.332545877,2154.446162309186,0.0,8639414.668705741,1765963.9273627084,3887.903423027484,0.0,0.0,0.0,8823.045855394414,0.0,27962309.888230816,0.0,0.0,0.0,0.0004372953969696,5.263804727272727,1.1088239487917704,0.0024207699954543,16.61285700683457,0.0166187637325754,0.0150201642666663,0.0018437524431816,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252744.169,0.0076625758867333,94.86059821030496,12.894262592697302,0.0133602504182716,216.91996358050773,0.1474810456190983,0.1746571669287633,0.035638265150845,0.0,58162691.11358097,25947921.759382527,0.0,142157410.61538512,7943403.210924685,2605614.6973545207,447267.27803625376,0.0,35842533.58652162,1156.5242746840684,0.0,0.0,2161081.0344945937,3758.926133572777,0.0,0.0,0.0,6367.296057214364,0.0,37776865.06781823,0.0,0.0,0.0,0.0,6.1474226666666665,1.0882747989766857,0.0,14.028372858359091,0.0172951911787875,0.0150605606060603,0.002212502931818,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252774.169,0.0067726127313816,98.67255824034162,12.764716832981463,0.0124329315962199,219.4339815401221,0.1518018978142866,0.1714838140832033,0.033784250930765,0.0,51542442.92254607,35686388.14528169,0.0,147169612.7435811,9856955.790191436,3172309.9000436044,573220.541981578,0.0,37575948.8403003,91.91214286968096,0.0,0.0,354547.232016394,3788.632790128768,0.0,0.0,0.0,8833.043649026067,0.0,47011767.9460128,0.0,0.0,0.0,0.0,6.724160696969695,1.052249499142917,0.0018485858333333,13.70243548091818,0.0145308418606059,0.0157332282871209,0.0003824624446969,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252804.169,0.0069979707600283,101.86297513781682,12.798708813054724,0.0131555705348466,223.178176489132,0.1569390557673766,0.1726774582665916,0.0348031458787,0.0,45300703.48990282,34311696.00552036,0.0,143625122.1667634,10544086.208006809,1880413.0581063249,401471.7736544479,0.0,24440387.56120278,300171.09821244894,0.0,0.0,0.0,3521.2865145867604,0.0,0.0,0.0,10741.182732787996,0.0,39460494.36854434,0.0,0.0,0.0,0.0023112825545449,6.737647484848484,0.987503431582479,0.002218303,15.11067972151894,0.0142767702492421,0.0158418877999998,0.0022947746681814,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252834.169,0.0072300355249416,101.6788487983832,13.166475212677875,0.0142952791239283,222.42345312399172,0.15185613326617,0.1758350572212117,0.0337683890809599,0.0,46709394.39902719,21287532.36016776,0.0,132427700.78116477,9936177.003416022,2321641.1114885374,72257.56012850376,0.0,23949576.60972626,622161.2404704943,0.0,0.0,0.0,2944.29016157472,0.0,0.0,0.0,13751.071852084771,0.0,46176594.34890562,0.0,0.0,0.0,0.001926068795454,6.768679893939393,0.936766392256179,0.0,16.737356944915152,0.016707825522727,0.0160495339575754,0.0015298497787876,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252864.169,0.0075193920849849,100.13438138846324,12.222413400399091,0.0126091677110449,218.43522507072717,0.1574394342373066,0.1785007694857749,0.0354246899913766,0.0,43830304.19090799,18884494.95443569,0.0,124000482.24665922,9100822.316751484,3798522.014370473,395558.2793551875,0.0,18247171.66664773,260862.11013414632,0.0,0.0,164.77544781862284,3260.275057095745,0.0,0.0,0.0,10490.253238274092,0.0,35630100.03686087,0.0,0.0,0.0,0.0018284343143937,6.243993757575757,0.9256656813509876,0.0022337401045449,17.39385583735303,0.0183473931469694,0.0189014520151512,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252894.169,0.0078465053886683,96.55728479854584,12.2051328187204,0.0116776019444349,223.99109583494268,0.1686181060919267,0.1852696284387433,0.0333079064486899,0.0,34663245.20128448,22035510.53028745,0.0,138577649.10386908,11240122.925605906,5628047.201777046,136197.77620723555,0.0,14868075.52348359,200.91286748500195,0.0,0.0,1007457.5888339876,3847.417072222541,0.0,0.0,0.0,10314.448341884488,0.0,21986867.31134766,0.0,0.0,0.0,0.0021941211772724,6.207644863636364,0.9225242790770548,0.0018614500871208,16.82425569837197,0.0173527743106058,0.0156417169916663,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1701252924.169,0.0075352403342999,100.8376804389854,12.744575367276752,0.0100207675267916,221.24116932163,0.1725542440617916,0.1841285958094666,0.0342641165723966,0.0,39900549.678175084,20927667.265518785,0.0,133499101.5220428,12214589.983602608,4344276.175262743,74.95787612235564,0.0,17963281.19481867,54734.67121629019,0.0,0.0,2067492.946253623,3812.7318562409714,0.0,0.0,0.0,15015.699072678071,0.0,33419939.28706934,0.0,0.0,0.0,0.0,6.834728803030303,0.8911817635539645,0.0,13.95120369229015,0.0180604462704543,0.0117814077992421,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
