time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,geospatialanalysisservice_energy,surveyservice_energy,surveyservice-db_energy,transformation-consumer_energy,transformation-worker_energy,unicloudauth_energy,unicloudauth-api_energy,unicloudauth-db_energy,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701201258.313,0.00509994412263,0.06879239175821,0.02381979512438,0.00509415291732,0.0774467531521,0.08526797898373,0.0854675545594799,0.02964443569794,0,20464756.648815468,744873.4696791234,0.0,9435711.09977407,6729774.578954944,3811124.9908149024,0.0,0,2231700.9712262866,0,0.0,74.63012899934408,4274.650928458327,3912.70482768756,0,0,0,0,0,0.0,0,0,0,0.0,0.0225404545454545,0.0,0.0107570961651514,0.0532533353893935,0.0452224545454545,0.0517126043742419,0.0,0.0,0.0045080909090909,0.0,0.0021514192330303,0.0106506670778787,0.0090444909090909,0.0103425208748484,0.0
1701201263.313,0.00507567577814,0.06826267316297,0.02327529884601,0.00505248503551,19.34598037503892,0.08676398235174,0.08560708349177,0.03105072363622,0,20494371.66854525,719959.981370638,0.0,33073974.92657068,5204455.369556754,3760247.704926938,0.0,0,2235352.9433152745,0,0.0,17359730.63973064,4404.0561333259175,3856.664312745576,0,0,0,0,0,6190508.775700266,0,0,0,0.0,0.020863820401515,0.0,0.0107570961651514,0.0462754545454545,0.041858657634848,0.0517126043742419,0.0,0.0,0.004172764080303,0.0,0.0021514192330303,0.0092550909090909,0.0083717315269696,0.0103425208748484,0.0
1701201268.313,0.00487220472881,0.04501359003192,0.02458010488545,0.00528030555135,40.28257110751783,0.08595159916264,0.08677841057651,0.02967623428508,0,20446421.358096343,768023.5532247678,0.0,44933975.42997543,3412724.419768818,3826070.816991659,0.0,0,2229710.9692396983,0,0.0,17511524.786818903,4324.528988804952,4072.6951334033033,0,0,0,0,0,17090332.408267092,0,0,0,0.0,0.015626727272727,0.0,0.0107570961651514,0.042833331984848,0.045580562251515,0.044933545454545,0.0,0.0,0.0031253454545454,0.0,0.0021514192330303,0.0085666663969696,0.009116112450303,0.008986709090909,0.0
1701201273.313,0.00462833665519,0.04453538355095,0.0134367939567399,0.0051808767600999,60.97229827229395,0.08720566877231,0.08437008701245,0.02001115211374,0,20529148.121847745,755803.340458679,0.0,65973910.33564878,3428520.36986176,3714787.8289767546,0.0,0,2238290.489976512,0,0.0,23985074.95122974,4499.862675089261,3951.901945719952,0,0,0,0,0,17260806.361610968,0,0,0,0.0,0.014651,0.0,0.0107570961651514,7.355761504675758,0.0373329999999995,0.0451160709787875,0.0,0.0,0.0029302,0.0,0.0021514192330303,1.4711523009351517,0.0074665999999999,0.0090232141957575,0.0
1701201278.313,0.00494713201536,0.04314087474707,0.02485988387163,0.00583317953639,88.28211432001702,0.08750164014554,0.08483441476514,0.0302454855849099,0,20929163.16111905,378128.8231352879,0.0,79794098.68474346,1700864.3892901756,3750495.5120579647,0.0,0,2282162.511370598,0,0.0,39259373.1985844,4449.030576223321,3986.590245485022,0,0,0,0,0,16979769.80524645,0,0,0,0.0,0.013561209783333,0.0071812706878785,0.0,6.064296254713637,0.038146682360606,0.0371911818181815,0.0,0.0,0.0027122419566666,0.0014362541375757,0.0,1.2128592509427274,0.0076293364721212,0.0074382363636363,0.0
1701201283.313,0.00405184042994,0.04594848639673,0.02482061073298,0.00318069279429,107.13539638107356,0.08708539495488,0.0835737695888499,0.02995365738982,0,17152630.622411184,748803.1007195534,0.0,96622377.0405105,1729807.6965568038,4617661.063928077,0.0,0,2243483.60491214,0,0.0,37938869.654126845,4374.295709814031,3929.924309726023,0,0,0,0,0,18507826.273948453,0,0,0,0.0,0.017113389962121,0.0071812706878785,0.0,9.730931506346968,0.038146682360606,0.034424777743939,0.0,0.0,0.0034226779924242,0.0014362541375757,0.0,1.9461863012693936,0.0076293364721212,0.0068849555487878,0.0
1701201288.313,0.00480431576174,0.04686890178262,0.02535149771686,0.00580799702637,126.78880499452691,0.0887267368421,0.08469887826641,0.02932745914657,0,20580742.751838267,768721.5252832273,0.0,107704139.1112338,1732800.886426593,3791904.72548484,0.0,0,2243170.3979418683,0,0.0,39208629.31272426,4689.787626962142,4176.927979604844,0,0,0,0,0,28913232.128070664,0,0,0,0.0034488477,0.020562237662121,0.0071812706878785,0.0,14.192902760451137,0.041595530060606,0.034424777743939,0.0,0.00068976954,0.0041124475324242,0.0014362541375757,0.0,2.838580552090227,0.0083191060121212,0.0068849555487878,0.0
1701201293.313,0.0048380110204299,0.04667974869718,0.02500934019253,0.00587825339677,153.76989547363277,0.08690494368952,0.08467337667067,0.02138310820619,0,17071513.373159263,759750.355023122,0.0,128829409.3338803,1656476.4271488748,3792070.50511672,0.0,0,2232633.486463421,0,0.0,57525330.09899224,4475.792664657467,4176.69980698496,0,0,0,0,0,31477486.69589464,0,0,0,0.0034488477,0.020562237662121,0.0071812706878785,0.0,14.156145960987274,0.032854818181818,0.0290047272727269,0.0,0.00068976954,0.0041124475324242,0.0014362541375757,0.0,2.831229192197455,0.0065709636363636,0.0058009454545454,0.0
1701201298.313,0.00464939233123,0.04580356257247,0.02436196550283,0.00596403502331,175.77327338955243,0.08894289788012,0.08505324789454,0.0310013667800999,0,16768134.724823834,736382.2901409942,0.0,135772725.37503645,1686061.049535493,4761843.720248993,0.0,0,2193521.077513157,0,0.0,67461648.22366276,4554.539258940421,4199.487367264738,0,0,0,0,0,44577265.51044625,0,0,0,0.0034488477,0.011584636363636,0.0071812706878785,0.0,15.255112004722982,0.034079606874242,0.0268472589757575,0.0,0.00068976954,0.0023169272727272,0.0014362541375757,0.0,3.0510224009445963,0.0068159213748484,0.0053694517951515,0.0
1701201303.313,0.00475599083026,0.04690335492109,0.0140198930800699,0.00567942770241,198.63011471520724,0.08943098977323,0.08484397291523,0.0304676818524999,0,13723001.076347718,782763.7796753309,0.0,150649234.85758194,3336609.9777678964,4710095.955389796,0.0,0,2243291.361853508,0,0.0,79700188.49857566,4516.70964873277,4152.804432052721,0,0,0,0,0,46864286.21216816,0,0,0,0.0034488477,0.0107229324954545,0.0071812706878785,0.0,18.81518836165195,0.029122545454545,0.0213089999999999,0.0,0.00068976954,0.0021445864990909,0.0014362541375757,0.0,3.7630376723303898,0.005824509090909,0.0042618,0.0
