time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701370579.798,0.036723300903629234,0.023860462817179528,0.028567139551594876,0.013699492819106103,0.06895519178663877,0.0024409627401427818,0.005959982354214778,0.0029357832735410275,0.0018478793767952668,0.09551967372715596,0.0037910057620546174,0.03666355926802937,0.017403608492056123,20316.360947279187,8589136.977774523,642538.6605346364,1175.0488587667867,6812605.094130676,36789031.8617205,3145829.099307159,823695.6629844068,130362575.71901247,8961311.499841651,26644454.525499377,2080876.9718285338,1443551.7234971663,15292.678967588334,1424.7739006261213,8830.123598735268,4320801.534792821,111736.58176448874,0,0,72.74535573473521,0,7549813.3720821915,6580587.985658886,377692.934498729,380.56304004459724,0,4799.23840210904,0,0,0,0,0,0,0,0,0,0,76.11260800891945,0,0,0,0,0,0,0,0.09608642778515152,0.05759912727272727,0.10020961818181819,0.04927325775939394,0.18787165667515152,0.019131454545454545,0.047223272727272725,0.026629053586969695,0.013039972878181816,0.7896100181818182,0.01836921818181818,0.1044968909090909,0.06540916363636363
1701370584.798,0.05516553758161047,0.03074513070458919,0.05648185035308817,0.03400502639391168,0.13972077436593947,0.0935070351359332,0.005994021105038151,0.002476434639107406,0.0018274130629180364,0.09374626333521516,0.0024923321057793413,0.04638026790004393,0.02278068414216993,7336161.818861078,5782890.8301782245,988226.8777967592,16581.205807740054,6714338.844304635,42375899.36921318,3142727.0595450695,833439.6840167365,128243244.41105987,8762565.169091802,20217959.694283545,2112250.276194651,1421053.5789415918,15083.738058387149,1664.2718625911903,9007.764932442926,4335727.388855904,196640.7978694883,9962667.453613192,0,73.80797768479778,0,7381766.130647774,0,380401.8588338448,374.63186200084147,0,6959.68233447225,0,0,0,2402982.1086723967,0,0,0,0,0,0,74.92637240016829,0,0,0,0,0,0,0,0.1271302302281818,0.07368672727272726,0.10437063932666665,0.058234699647272715,0.3425443952457575,0.018158054545454546,0.043776199999999994,0.023872454545454544,0.012715654545454544,0.7320901636363636,0.017220181818181815,0.12486957628333331,0.07056138181818182
1701370589.798,0.056658771840634455,0.031060373175855728,0.09975322274732204,0.05205622394947793,0.1953542701543411,0.3239885349540171,0.005770999466067674,0.0028225544754022194,0.001819862215374683,0.08787483950662008,0.0024755775020378346,0.0487156669283286,0.022846774308046006,14847944.618712816,5767245.283018868,951661.1356157671,18826.554062891202,6971800.717875089,42522732.129117355,3207706.30040137,1030612.1080232599,102770569.16103834,8715471.337233523,26385273.797663257,2196651.794516047,1428609.4712643677,15285.235262303946,1660.3773584905662,8603.23461457677,4502760.7107490515,208034.4580043072,20118243.94533397,0,73.06196710784488,0,7342175.146257087,0,396005.9878053233,376.64367816091954,0,7245.283018867925,0,0,0,9487993.061840031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12971672491030303,0.07451218181818181,0.11403506301939392,0.059405512210606054,0.47267650428515146,0.0159428,0.04157696363636363,0.021194454545454544,0.009458818181818183,0.6570288545454545,0.016641363636363635,0.1274809122581818,0.06824609090909091
1701370594.798,0.060632699112312255,0.03238054001252139,0.13532893747900357,0.07482744551293832,0.24776634063730116,0.5836162256219027,0.0057083986557866714,0.002777667506612321,0.0018105146937457573,0.0825987836596343,0.0023930708030388743,0.05091972509194993,0.023669573607708095,14951251.36602102,5761536.716505856,970461.6581501847,8710596.146081852,10718419.371611081,35677446.948511265,3173277.1848020107,826578.5974694403,102917640.10190533,11134513.474967122,26407774.155530974,1759054.3728371353,1431083.436193143,15391.507978288888,1659.2767179789353,8690.70141627031,8845074.839420078,3455267.919483027,20723988.66772678,0,73.20037172063765,0,9379854.414788198,0,34360.29931331872,377.2959230670032,0,7617.588568903294,0,0,0,9366025.441240948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13840258852757575,0.07719190909090909,0.20318153924666665,0.06018256708060605,0.4870686015530303,0.30669551032454545,0.033842363636363636,0.020394197600606057,0.008921416194242424,0.5337820545454546,0.01407210909090909,0.13165270904363638,0.060417
1701370599.798,0.06849725723589545,0.03637014009474169,0.16238767908865856,0.09658677215651928,0.295234814116358,0.7825289213348583,0.005551954059053975,0.0028365726721903683,0.0017880917593114964,0.07906619472345937,0.0023013093834370973,0.05648455878572867,0.025231922587216765,14985880.187014498,2901049.1099515194,1311753.1752676487,8663482.5521974,7301756.848440636,41555225.39591749,2530284.387695879,844107.6030222286,104374030.67741407,10841145.041747065,20063230.66468309,2210266.6401172997,1412865.9463785514,15424.548381815204,1667.4438399763148,8755.722607193116,13193961.162213461,3470581.2146635056,27623656.525935724,0,74.75271015074642,0,9134730.744955186,0,34329.2000796481,372.51264142020443,0,8943.562414418415,0,0,0,18107366.87314196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1400682305460606,0.07538430909090908,0.26746657501,0.10619836144636362,0.6058469096654544,0.9729502872680303,0.02985309090909091,0.014792945454545453,0.007037436363636363,0.42960163636363635,0.012077472727272727,0.13315285090030302,0.05546996363636363
1701370604.798,0.0776155761722684,0.03925369125944936,0.19367014306671185,0.11507647434895606,0.3499733263431655,1.0121154166931066,0.0055928602291694315,0.0025869325257332097,0.0018032995140173328,0.07432949498672159,0.0023704498189482718,0.06108285225958057,0.027840755635756952,15070947.950017381,2782195.5356826005,1648746.802153962,8637649.444817998,10607130.038568484,49542036.99210511,2611398.7585094613,626070.0520974168,78015705.21887353,13024352.067638611,19679380.280675206,1787224.295010846,704518.8342189738,15512.02912603597,2834.451187054189,8793.316278154463,17516248.82330492,6580345.788859989,37366415.34929729,0,73.83772285616426,0,10971505.212002963,0,34281.41720896601,371.42494423185036,0,9956.918272472409,0,0,0,23220655.185053844,76.8148828835587,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14466757178727271,0.08316623636363636,0.2832332595760606,0.11262926487575757,0.7263836624678787,0.8614138966595959,0.025327454545454545,0.013913011749090907,0.007474290909090909,0.41792419999999997,0.01204489090909091,0.13267398181818182,0.05359867272727272
1701370609.798,0.08399053403947085,0.04264483303480858,0.23667002320185648,0.1381598860206941,0.400347238820223,1.2430392406157107,0.0052732359308144145,0.0023347593398589475,0.0017927705527930045,0.07213380014443378,0.0024620207145811435,0.06504071905538969,0.02927647970297034,22634624.053950045,2898248.065737236,1690347.3701518169,17043930.73219803,10670470.397463154,59187898.873518504,1892940.749873087,616753.9393508731,78077927.91550215,11128538.626768386,19642652.18564005,1812600.7223923288,712256.3989732307,15537.612930418369,3176.659588219001,8979.666404808448,17314848.889846947,6626277.395409174,45565576.486992255,0,145.52948073404275,0,9374594.47448337,73.65184399331092,34771.05296932583,375.5042170883755,0,11269.578062967408,0,0,0,24568972.06527477,74.26209297265936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1583261571363636,0.08364425454545454,0.36312273788666666,0.16099221408090908,0.7479007514669697,0.958823735355909,0.01900632727272727,0.0112264,0.005221581818181818,0.3177332363636363,0.010747272727272727,0.1356362181969697,0.04986516363636363
1701370614.798,0.08897978415383818,0.04460794600616855,0.2581371062580419,0.15800984908167973,0.4594132194196267,1.4572187067622115,0.005262220080894595,0.002416267493291382,0.0017871208762696288,0.06720374496447129,0.002393893765411678,0.0712012954091079,0.03043142231935772,29508244.95062636,2813658.9957040236,1363081.5738441742,17514397.711121365,14221528.001743302,77581422.63840738,1910851.955562876,429195.00323864166,79736266.29105197,11025950.97589189,20102072.356556624,1827807.774898186,693068.0463871543,15195.111023495047,3066.578726893528,8908.059517552603,22239748.9616982,9879997.094501344,44383239.42957218,0,151.60544091792357,0,9288443.163248444,75.37448014427147,35182.228804146616,365.38804638715425,0,12412.342465997612,0,0,0,27244782.430708747,74.96476875491864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1636511351760606,0.08494078181818182,0.44162118153606056,0.15915871061272724,0.7550206849375757,1.457817371813091,0.019365,0.010822163636363635,0.005503,0.2984875454545454,0.011512254545454546,0.13643210007999998,0.04436327272727273
1701370619.798,0.100505884833388,0.04818054933569616,0.2836302677392013,0.17470876933780047,0.524100426142439,1.7295214464321524,0.005008181174712873,0.0022179911994960736,0.0017327126706718037,0.06290845556429407,0.001988450199782048,0.07766243127066602,0.03341327458024916,29722136.972453874,2798776.1204605843,1328563.4160986121,26039419.563903995,13969164.61110715,72032444.07972719,1947521.9721729385,415091.8023935931,78322410.04915348,8585156.257820042,19837554.377043225,1371485.0477816942,369.74183065535294,15305.101267193759,4135.907883082374,8680.111609508,26469184.233170394,9704602.837385044,45290539.45328884,0,147.43093674075408,0,7231732.313302114,74.3915728296404,34528.977871443625,369.74183065535294,0,13858.919397697075,0,0,0,27319536.505021553,76.49640489308058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16121452865999994,0.08182856363636364,0.5036585524187879,0.20125463899272727,0.7598721020166668,2.0353322275227272,0.01634869090909091,0.0078058545454545445,0.0035130363636363634,0.21453252727272726,0.006023418181818181,0.14950267272727272,0.045235763636363634
1701370624.798,0.10639837387549925,0.05177310305315948,0.34146537264716537,0.19616516181771382,0.5830321805364266,1.9339963475290118,0.004943716648595029,0.0022037024723867865,0.0017096510645273559,0.05926734207504533,0.002034979238320441,0.07981501069489905,0.03512436884871728,29745980.996423278,2851856.075643293,1103221.9705764803,26169248.786229223,17628759.40558173,76886514.87654099,1914046.128682484,421704.3376490381,78352905.96827364,8894162.758825054,13046388.076812841,1809089.980946903,373.9614717429015,15316.160265905559,4212.92720776643,9354.623831909103,26589123.43681036,13030075.24465386,44893483.821987644,0,74.90307951137444,0,7493175.093528911,73.37345944396675,34161.55588309307,373.9614717429015,0,15077.844743585118,0,0,0,32651394.509005465,75.27612886626358,0,0,0,0,0,74.7922943485803,0,0,0,0,0,0,0,0.17564487256577632,0.09123204902085569,0.513276444318478,0.20504345074822258,0.7605104975474418,2.495933572691472,0.010528501554630252,0.006128152444678801,0.004295343382366311,0.1242377038747568,0.004345618851937378,0.15249773356304283,0.0507175845955234
