Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701304971,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701304972,100,,Aggregated,0.000000,0.000000,150,170,180,180,190,190,200,200,200,200,200,200,0,150.0,151.26938994508237,66.58267788589,200.8178662508726,4331.0
1701304973,200,,Aggregated,0.000000,0.000000,170,190,200,200,270,290,300,300,400,400,400,468,0,170.0,168.67091888402643,26.976303197443485,396.21506724506617,4741.542735042735
1701304974,300,,Aggregated,0.000000,0.000000,180,220,250,260,280,300,370,390,420,420,420,804,0,180.0,188.29161353149817,25.561261922121048,420.50996981561184,4958.9067164179105
1701304975,400,,Aggregated,200.000000,0.000000,150,180,200,230,270,290,350,370,400,420,420,1258,0,150.0,153.48957920823074,7.163805887103081,420.50996981561184,5052.484896661367
1701304976,500,,Aggregated,268.000000,0.000000,150,180,200,220,260,280,310,370,400,420,420,1744,0,150.0,151.5068795527716,7.163805887103081,420.50996981561184,4978.298165137615
1701304977,600,,Aggregated,314.500000,0.000000,140,160,190,200,260,280,310,350,400,420,420,2272,0,140.0,144.06283223767056,3.819946199655533,420.50996981561184,4830.287852112676
1701304978,700,,Aggregated,342.000000,0.000000,150,190,230,250,290,310,350,370,400,450,450,2768,0,150.0,165.1942856442264,3.819946199655533,450.4066361114383,4759.180997109826
1701304979,800,,Aggregated,367.833333,0.000000,150,180,220,240,280,310,350,370,400,450,450,3391,0,150.0,161.44761628963204,3.819946199655533,450.4066361114383,4581.302860513123
1701304980,900,,Aggregated,365.142857,0.000000,160,200,230,250,290,310,360,390,510,530,530,3959,0,160.0,170.69866779573445,3.819946199655533,532.6653122901917,4527.170497600404
1701304981,1000,,Aggregated,407.500000,0.000000,170,220,250,270,320,400,460,520,700,750,750,4526,2,170.0,186.2783403338727,3.819946199655533,754.1254041716456,4488.777065841803
1701304982,1000,,Aggregated,422.111111,0.000000,170,220,260,270,330,400,460,510,700,750,750,5151,11,170.0,192.39464531148366,3.819946199655533,754.1254041716456,4274.716365754222
1701304983,1000,,Aggregated,440.400000,0.200000,180,220,250,270,320,390,460,500,700,750,750,5830,27,180.0,192.03923751438742,3.819946199655533,754.1254041716456,4145.969468267582
1701304984,1000,,Aggregated,482.400000,0.700000,170,210,240,260,310,390,450,500,690,750,750,6425,49,170.0,182.95107162778595,3.819946199655533,754.1254041716456,4036.9715175097276
1701304985,1000,,Aggregated,512.100000,2.200000,160,200,230,250,300,370,450,490,640,750,750,7065,76,160.0,178.58906913237607,3.819946199655533,754.1254041716456,3904.008634111819
1701304986,1000,,Aggregated,540.600000,3.500000,150,190,220,240,300,370,440,490,640,750,750,7630,103,150.0,172.690903316197,3.819946199655533,754.1254041716456,3812.3098296199214
1701304987,1000,,Aggregated,547.400000,6.600000,160,190,220,240,290,360,440,480,640,750,750,8211,141,160.0,172.7962686324447,3.819946199655533,754.1254041716456,3744.320058458166
1701304988,1000,,Aggregated,564.200000,8.800000,150,190,220,230,290,350,430,470,640,750,750,8872,184,150.0,167.21060144371958,3.819946199655533,754.1254041716456,3720.9862488728586
1701304989,1000,,Aggregated,565.200000,11.400000,150,190,220,240,290,350,430,470,640,750,750,9396,231,150.0,169.21638802858368,3.819946199655533,754.1254041716456,3693.4008088548317
1701304990,1000,,Aggregated,600.500000,16.200000,160,200,230,250,300,350,420,460,640,700,750,10069,280,160.0,175.2471175961946,3.819946199655533,754.1254041716456,3743.8184526765317
1701304991,1000,,Aggregated,586.400000,20.500000,160,210,240,260,310,370,420,460,640,700,750,10634,337,160.0,180.8864331994439,3.819946199655533,754.1254041716456,3736.139270265187
1701304992,1000,,Aggregated,586.500000,24.600000,170,220,250,270,320,370,420,460,640,700,750,11305,400,170.0,187.82769681515947,3.819946199655533,754.1254041716456,3745.621052631579
1701304993,1000,,Aggregated,585.300000,29.200000,180,230,270,280,350,410,490,530,640,700,750,11763,453,180.0,198.24822407783034,3.819946199655533,754.1254041716456,3762.0674147751424
1701304994,1000,,Aggregated,580.400000,35.000000,190,240,280,310,390,460,500,530,630,700,750,12450,517,190.0,210.05986691014954,3.819946199655533,754.1254041716456,3817.574939759036
1701304995,1000,,Aggregated,578.800000,38.900000,190,260,300,330,410,470,530,550,620,700,750,13105,581,190.0,220.8307547591419,3.819946199655533,754.1254041716456,3868.9733689431514
1701304996,1000,,Aggregated,576.800000,44.200000,200,270,310,330,410,470,530,550,620,700,750,13670,636,200.0,225.4651829338038,3.819946199655533,754.1254041716456,3893.505413313826
1701304997,1000,,Aggregated,581.600000,45.800000,210,280,330,360,430,490,540,560,630,700,750,14340,716,210.0,235.5481009572521,3.819946199655533,754.1254041716456,3897.766039051604
1701304998,1000,,Aggregated,590.000000,50.600000,220,290,330,370,440,490,550,580,640,700,750,14837,751,220.0,241.22831031328343,3.819946199655533,754.1254041716456,3901.0837770438766
1701304999,1000,,Aggregated,586.700000,52.700000,230,310,360,380,450,510,570,600,660,700,750,15578,825,230.0,251.64736054707612,3.819946199655533,754.1254041716456,3927.4231608678906
1701305000,1000,,Aggregated,589.300000,56.300000,240,310,360,390,460,520,570,610,660,730,750,16078,859,240.0,256.4782491844694,3.819946199655533,754.1254041716456,3942.5327155118794
1701305002,1000,,Aggregated,595.200000,58.100000,250,320,360,390,470,530,580,610,690,780,880,16845,918,250.0,261.6249216887431,3.819946199655533,882.7378712594509,3951.273256159098
1701305003,1000,,Aggregated,582.100000,56.500000,250,320,370,390,470,530,580,610,680,780,880,17357,969,250.0,263.7920128801314,3.819946199655533,882.7378712594509,3933.7908048625914
1701305004,1000,,Aggregated,601.100000,56.100000,260,320,370,390,460,520,570,610,660,780,880,18070,1032,260.0,265.89310150428594,3.819946199655533,882.7378712594509,3947.831654676259
1701305005,1000,,Aggregated,595.600000,55.700000,260,330,370,400,470,520,570,610,660,780,880,18578,1074,260.0,268.9109288017873,3.819946199655533,882.7378712594509,3922.088868554204
1701305006,1000,,Aggregated,604.200000,55.100000,260,330,370,390,470,520,570,600,660,780,880,19304,1128,260.0,269.5779965646639,3.819946199655533,882.7378712594509,3922.568897637795
1701305007,1000,,Aggregated,599.600000,54.700000,270,320,360,390,460,520,570,600,660,780,880,19812,1175,270.0,269.5227235439727,3.819946199655533,882.7378712594509,3900.575863113265
1701305008,1000,,Aggregated,594.900000,52.600000,260,320,360,390,460,510,570,600,660,770,880,20518,1218,260.0,268.7722416612781,3.819946199655533,882.7378712594509,3901.5820742762453
1701305009,1000,,Aggregated,600.300000,52.100000,270,330,360,390,460,510,570,600,660,770,880,21021,1261,270.0,270.5787716730777,3.819946199655533,882.7378712594509,3898.023643023643
1701305010,1000,,Aggregated,595.300000,48.700000,270,330,360,390,450,510,560,600,660,770,880,21781,1310,270.0,271.05264994137286,3.819946199655533,882.7378712594509,3893.968963775768
1701305011,1000,,Aggregated,597.200000,50.300000,270,330,360,390,450,510,560,600,660,770,880,22249,1344,270.0,272.77103929653885,3.819946199655533,882.7378712594509,3881.0073261719626
1701305012,1000,,Aggregated,595.900000,47.300000,270,330,360,380,450,510,560,600,660,770,880,22889,1399,270.0,271.9098063933424,3.819946199655533,882.7378712594509,3879.4585608807724
