Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1225,0,7,10.602218775572826,2.2042402997612953,58.96029435098171,8649.0,3.9581366063404855,0.0,7,9,11,12,23,41,51,52,58,59,59
GET,/catalogue,7007,0,10,11.927728537207997,3.7545012310147285,89.73361924290657,2795.0,22.640541388267575,0.0,10,12,13,15,18,22,29,34,56,90,90
GET,/category.html,7007,0,7,8.719550126019678,2.129713073372841,69.73893754184246,11518.0,22.640541388267575,0.0,7,9,10,12,16,21,26,32,46,70,70
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,783,0,7,8.763904006507053,2.5522802025079727,39.597286842763424,10364.0,2.5299762961343673,0.0,7,9,10,11,16,21,26,31,40,40,40
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,757,0,7,8.911355591749421,2.5540413334965706,60.62684673815966,10364.0,2.4459668661222427,0.0,7,9,11,12,16,21,25,31,61,61,61
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,759,0,7,9.167695094061935,2.0748134702444077,38.73918578028679,10364.0,2.4524291299693295,0.0,7,9,11,12,17,22,26,31,39,39,39
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,782,0,7,9.186395701221036,2.5039324536919594,63.54024261236191,10364.0,2.526745164210824,0.0,7,9,10,12,17,22,28,31,64,64,64
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,755,0,7,8.821607339165068,2.578429877758026,86.58607956022024,10364.0,2.4395046022751563,0.0,7,9,10,12,16,19,26,30,87,87,87
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,799,0,7,8.790299864031272,2.3506367579102516,45.29579263180494,10364.0,2.5816744069110595,0.0,7,9,10,11,16,20,27,31,45,45,45
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,805,0,7,8.697878548539943,2.2587254643440247,45.30834220349789,10364.0,2.601061198452319,0.0,7,9,10,11,16,20,25,27,45,45,45
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,776,0,7,9.129183070455706,2.353292889893055,87.86264900118113,10364.0,2.5073583726695645,0.0,7,9,10,12,17,22,29,34,88,88,88
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,752,0,7,8.501821413061561,2.4092234671115875,43.18610858172178,10364.0,2.4298112065045263,0.0,7,9,10,11,15,20,26,30,43,43,43
GET,/login,1222,0,61,62.348087185631016,8.826087228953838,124.92088880389929,13.0,3.9484432105698555,0.0,61,63,65,67,75,92,110,110,120,120,120
,Aggregated,23429,0,9,12.623919428838299,2.0748134702444077,124.92088880389929,7815.888599598788,75.70218983669488,0.0,9,11,13,14,22,52,63,68,110,110,120
