Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701264481,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701264482,10,,Aggregated,0.000000,0.000000,62,71,72,72,74,75,75,75,75,75,75,20,0,39,52.857876382768154,25.42128600180149,75.02742391079664,4331.0
1701264483,20,,Aggregated,0.000000,0.000000,50,69,72,74,93,94,100,100,100,100,100,46,0,50,52.58119165006539,10.385331697762012,102.5400748476386,4699.54347826087
1701264484,30,,Aggregated,0.000000,0.000000,41,63,72,75,94,98,110,110,110,110,110,83,0,41,48.82117918501776,10.385331697762012,106.99471924453974,5152.614457831325
1701264485,40,,Aggregated,20.000000,0.000000,37,51,66,74,96,100,110,110,110,110,110,133,0,37,45.306317781315265,10.385331697762012,109.21181738376617,5625.766917293233
1701264486,50,,Aggregated,23.000000,0.000000,35,51,66,75,97,110,110,110,110,110,110,174,0,35,45.36697716484296,5.324875004589558,114.07279595732689,5790.724137931034
1701264487,60,,Aggregated,33.250000,0.000000,34,43,57,70,93,100,110,110,110,110,110,247,0,34,42.32500830612443,5.100310780107975,114.07279595732689,6082.461538461538
1701264488,70,,Aggregated,34.800000,0.000000,29,41,54,69,94,100,110,110,110,110,110,303,0,29,39.442657849600806,2.5138789787888527,114.07279595732689,6200.320132013201
1701264489,80,,Aggregated,38.000000,0.000000,26,38,50,63,92,100,110,110,110,110,110,377,0,26,37.087940551656786,2.5138789787888527,114.07279595732689,6408.270557029177
1701264490,90,,Aggregated,42.428571,0.000000,25,38,50,57,92,100,110,110,110,110,110,452,0,25,36.20899812755199,2.5138789787888527,114.07279595732689,6513.845132743363
1701264491,100,,Aggregated,45.625000,0.000000,23,35,46,52,90,98,100,110,110,110,110,541,0,23,34.1918756238524,2.5138789787888527,114.07279595732689,6592.18853974122
1701264492,100,,Aggregated,48.222222,0.000000,25,36,44,50,86,96,100,110,110,110,110,625,0,25,33.99039155095816,2.5138789787888527,114.07279595732689,6791.2
1701264493,100,,Aggregated,52.500000,0.000000,23,33,41,49,78,96,100,110,110,110,110,686,0,23,32.29480906615017,2.5138789787888527,114.07279595732689,6921.871720116618
1701264494,100,,Aggregated,54.800000,0.000000,24,32,39,45,75,96,100,110,110,110,110,760,0,24,31.577593847913178,2.5138789787888527,114.07279595732689,7071.328947368421
1701264495,100,,Aggregated,61.200000,0.000000,22,31,37,42,71,94,100,110,110,110,110,836,0,22,29.778371470352038,2.5138789787888527,114.07279595732689,7178.826555023923
1701264496,100,,Aggregated,62.000000,0.000000,22,30,37,40,66,93,100,110,110,110,110,910,0,22,29.4883808571395,2.5138789787888527,114.07279595732689,7254.554945054945
1701264497,100,,Aggregated,64.900000,0.000000,22,29,35,39,61,92,100,110,110,110,110,977,0,22,28.628976680071474,2.5138789787888527,114.07279595732689,7297.857727737974
1701264498,100,,Aggregated,66.600000,0.000000,22,30,37,40,55,90,100,100,110,110,110,1068,0,22,28.771527377497893,2.5138789787888527,114.07279595732689,7380.345505617977
1701264499,100,,Aggregated,69.100000,0.000000,21,29,36,39,54,90,100,100,110,110,110,1135,0,21,28.031817598818158,2.5138789787888527,114.07279595732689,7411.540969162996
1701264500,100,,Aggregated,69.000000,0.000000,21,28,34,38,52,88,99,100,110,110,110,1206,0,21,27.512240212775186,2.5138789787888527,114.07279595732689,7427.048922056385
1701264501,100,,Aggregated,70.700000,0.000000,21,28,34,38,51,85,98,100,110,110,110,1301,0,21,27.239950226303435,2.5138789787888527,114.07279595732689,7476.208301306687
1701264502,100,,Aggregated,71.000000,0.000000,21,27,33,37,51,83,98,100,110,110,110,1364,0,21,26.875203009694815,2.5138789787888527,114.07279595732689,7515.527126099707
1701264503,100,,Aggregated,68.500000,0.000000,21,27,32,37,51,78,98,100,110,110,110,1433,0,21,26.16604567366988,2.3498451337218285,114.07279595732689,7542.900209351012
1701264504,100,,Aggregated,73.300000,0.000000,21,27,31,36,50,78,97,100,110,110,110,1519,0,21,26.07186655486352,2.3498451337218285,114.07279595732689,7540.934167215273
1701264505,100,,Aggregated,70.900000,0.000000,20,26,31,35,50,76,97,100,110,110,110,1597,0,20,25.508441375049486,2.3498451337218285,114.07279595732689,7544.634314339386
1701264506,100,,Aggregated,73.100000,0.000000,20,26,30,35,50,75,96,100,110,110,110,1678,0,20,25.11482004518038,2.3498451337218285,114.07279595732689,7548.290822407628
1701264507,100,,Aggregated,73.700000,0.000000,19,25,30,34,49,73,96,100,110,110,110,1745,0,19,24.68883271481212,2.3498451337218285,114.07279595732689,7587.428653295129
1701264508,100,,Aggregated,75.800000,0.000000,19,25,29,33,48,72,96,100,110,110,110,1835,0,19,23.97682556034921,2.2648992016911507,114.07279595732689,7586.270844686648
1701264509,100,,Aggregated,76.100000,0.000000,18,24,29,32,48,71,96,100,110,110,110,1907,0,18,23.502707168827147,2.2648992016911507,114.07279595732689,7598.9590980597795
1701264510,100,,Aggregated,75.800000,0.000000,18,24,28,32,47,71,95,100,110,110,110,1986,0,18,23.26023731941558,2.2648992016911507,114.07279595732689,7594.972306143001
1701264511,100,,Aggregated,76.300000,0.000000,17,24,28,32,47,69,95,100,110,110,110,2062,0,17,22.95089552899828,2.2648992016911507,114.07279595732689,7602.441319107663
1701264512,100,,Aggregated,76.300000,0.000000,17,23,28,31,47,69,94,100,110,110,110,2133,0,17,22.64614195894298,2.2648992016911507,114.07279595732689,7596.9071729957805
1701264513,100,,Aggregated,77.600000,0.000000,16,23,27,31,45,68,94,100,110,110,110,2215,0,16,22.179057094653224,2.2648992016911507,114.07279595732689,7616.046952595937
1701264514,100,,Aggregated,76.100000,0.000000,16,23,27,30,45,68,93,100,110,110,110,2288,0,16,22.110893079682118,2.2648992016911507,114.07279595732689,7621.278846153846
1701264515,100,,Aggregated,76.600000,0.000000,16,22,27,30,44,66,92,100,110,110,110,2363,0,16,21.90342295947995,2.2648992016911507,114.07279595732689,7632.640710960643
1701264516,100,,Aggregated,78.100000,0.000000,16,22,26,30,44,66,92,99,110,110,110,2436,0,16,21.668269186952017,2.2648992016911507,114.07279595732689,7639.3772577996715
1701264517,100,,Aggregated,76.900000,0.000000,16,22,26,29,43,65,92,99,110,110,110,2522,0,15,21.402667577893226,2.2648992016911507,114.07279595732689,7646.712529738303
1701264518,100,,Aggregated,76.500000,0.000000,15,21,25,29,42,65,91,99,110,110,110,2589,0,15,21.08056805473916,2.2648992016911507,114.07279595732689,7646.356894553882
1701264519,100,,Aggregated,75.600000,0.000000,15,21,25,29,42,64,90,98,110,110,110,2663,0,15,20.943793390188233,2.2648992016911507,114.07279595732689,7659.816748028539
1701264520,100,,Aggregated,77.700000,0.000000,15,21,25,28,42,63,90,98,110,110,110,2746,0,15,20.642959760014953,2.1892739459872246,114.07279595732689,7666.130007283321
1701264521,100,,Aggregated,75.400000,0.000000,15,21,25,28,42,63,90,98,110,110,110,2829,0,15,20.470092781533324,2.1892739459872246,114.07279595732689,7658.467302933899
1701264522,100,,Aggregated,75.600000,0.000000,15,21,25,28,41,63,89,98,110,110,110,2892,0,15,20.383000961230504,2.1892739459872246,114.07279595732689,7662.478907330567
1701264523,100,,Aggregated,76.000000,0.000000,14,20,24,28,41,62,88,97,110,110,110,2972,0,14,20.11928429875979,2.1892739459872246,114.07279595732689,7681.493270524899
1701264524,100,,Aggregated,76.700000,0.000000,14,20,24,27,41,62,88,97,110,110,110,3052,0,14,19.997473167460583,2.1892739459872246,114.07279595732689,7674.4390563564875
1701264525,100,,Aggregated,75.900000,0.000000,14,20,24,27,41,62,88,97,110,110,110,3132,0,14,19.972087488905796,2.1892739459872246,114.07279595732689,7678.570881226054
1701264526,100,,Aggregated,75.700000,0.000000,14,19,24,27,40,62,88,97,110,110,110,3191,0,14,19.84300375812454,2.1892739459872246,114.07279595732689,7678.682858038233
1701264527,100,,Aggregated,76.400000,0.000000,14,19,24,27,40,62,86,97,110,110,110,3288,0,14,19.660519730863943,2.1892739459872246,114.07279595732689,7679.304744525547
1701264528,100,,Aggregated,76.900000,0.000000,13,19,23,26,40,61,86,96,110,110,110,3355,0,13,19.39188736239684,2.1892739459872246,114.07279595732689,7685.572280178838
1701264529,100,,Aggregated,75.500000,0.000000,13,19,23,26,39,61,86,96,110,110,110,3428,0,13,19.094219137050533,2.1892739459872246,114.07279595732689,7692.083430571762
1701264530,100,,Aggregated,76.600000,0.000000,13,19,23,26,39,61,84,96,110,110,110,3512,0,13,19.035344350189906,2.1892739459872246,114.07279595732689,7693.5822892938495
1701264531,100,,Aggregated,76.600000,0.000000,13,18,23,26,39,61,84,96,110,110,110,3594,0,13,18.86613634567859,2.1892739459872246,114.07279595732689,7702.959933222037
1701264532,100,,Aggregated,76.500000,0.000000,13,18,22,25,38,61,83,96,110,110,110,3653,0,13,18.730072204157192,2.1892739459872246,114.07279595732689,7712.99124007665
1701264533,100,,Aggregated,76.600000,0.000000,13,18,22,25,38,61,81,96,110,110,110,3730,0,13,18.653584979025112,2.1892739459872246,114.07279595732689,7708.751742627346
1701264534,100,,Aggregated,76.500000,0.000000,13,18,22,25,38,61,79,96,110,110,110,3805,0,13,18.57820729138856,2.1892739459872246,114.07279595732689,7706.457030223391
1701264535,100,,Aggregated,76.100000,0.000000,12,18,22,25,38,61,78,96,110,110,110,3883,0,12,18.401701431198585,2.1892739459872246,114.07279595732689,7707.564511975277
1701264536,100,,Aggregated,75.800000,0.000000,12,17,22,25,38,61,78,96,110,110,110,3951,0,12,18.30843617369769,2.1892739459872246,114.07279595732689,7714.8967350037965
1701264537,100,,Aggregated,75.300000,0.000000,12,17,21,25,38,61,78,95,110,110,110,4026,0,12,18.180039073759296,2.1892739459872246,114.07279595732689,7718.607550919026
1701264538,100,,Aggregated,75.100000,0.000000,12,17,21,24,38,60,78,95,110,110,110,4098,0,12,18.052551113369045,2.1892739459872246,114.07279595732689,7717.490727183992
1701264539,100,,Aggregated,76.000000,0.000000,12,17,21,24,37,60,77,95,110,110,110,4179,0,12,17.805348964754362,2.1892739459872246,114.07279595732689,7724.453218473319
1701264540,100,,Aggregated,73.800000,0.000000,12,17,21,24,37,60,77,95,110,110,110,4247,0,12,17.72561260922947,2.1892739459872246,114.07279595732689,7726.652460560395
1701264541,100,,Aggregated,74.300000,0.000000,12,16,21,24,37,60,77,94,110,110,110,4332,0,12,17.642403167645796,2.1892739459872246,114.07279595732689,7724.844413665744
1701264543,100,,Aggregated,75.100000,0.000000,11,16,21,24,37,60,76,94,110,110,110,4404,0,11,17.547930607514676,2.1892739459872246,114.07279595732689,7727.8996366939145
1701264544,100,,Aggregated,73.500000,0.000000,11,16,20,24,37,60,75,94,110,110,110,4479,0,11,17.430344886984656,2.1892739459872246,114.07279595732689,7724.367939272159
1701264545,100,,Aggregated,73.800000,0.000000,11,16,20,23,37,59,74,94,110,110,110,4562,0,11,17.374060868993173,2.1892739459872246,114.07279595732689,7725.085050416484
1701264546,100,,Aggregated,75.100000,0.000000,11,16,20,23,36,59,74,93,110,110,110,4640,0,11,17.30206668485309,2.1892739459872246,114.07279595732689,7729.846336206897
1701264547,100,,Aggregated,74.900000,0.000000,11,16,20,23,36,59,74,93,110,110,110,4713,0,11,17.258727411825884,2.1892739459872246,114.07279595732689,7728.225546361129
1701264548,100,,Aggregated,75.700000,0.000000,11,16,20,23,36,59,74,93,110,110,110,4792,0,11,17.21780246647638,2.1892739459872246,114.07279595732689,7727.820534223706
1701264549,100,,Aggregated,75.700000,0.000000,11,16,20,23,37,60,73,92,110,110,110,4866,0,11,17.344255578745138,2.1892739459872246,114.07279595732689,7726.3518290176735
1701264550,100,,Aggregated,76.200000,0.000000,11,16,20,23,36,60,73,92,110,110,110,4932,0,11,17.279416768730822,2.1892739459872246,114.07279595732689,7733.498377939984
1701264551,100,,Aggregated,76.600000,0.000000,11,16,20,23,36,60,72,92,110,110,110,5003,0,11,17.2187664195919,2.1892739459872246,114.07279595732689,7732.973016190286
1701264552,100,,Aggregated,76.800000,0.000000,11,16,20,23,36,60,72,92,110,110,110,5084,0,11,17.16212629352313,2.1892739459872246,114.07279595732689,7735.265145554681
1701264553,100,,Aggregated,75.300000,0.000000,11,16,19,23,36,60,72,92,110,110,110,5168,0,11,17.130575907069197,2.1892739459872246,114.07279595732689,7734.340557275542
1701264554,100,,Aggregated,75.600000,0.000000,11,15,19,22,36,60,72,91,110,110,110,5242,0,11,16.98962530264761,2.1892739459872246,114.07279595732689,7734.108927890118
1701264555,100,,Aggregated,75.200000,0.000000,11,15,19,22,35,59,71,90,110,110,110,5319,0,11,16.9713290908671,2.1892739459872246,114.07279595732689,7736.14231998496
1701264556,100,,Aggregated,76.400000,0.000000,11,15,19,22,35,59,71,90,110,110,110,5397,0,11,16.903873593234973,2.1892739459872246,114.07279595732689,7737.698721511951
1701264557,100,,Aggregated,75.700000,0.000000,11,15,19,22,35,59,71,90,110,110,110,5483,0,11,16.803234368875234,2.1892739459872246,114.07279595732689,7739.948568302025
1701264558,100,,Aggregated,75.700000,0.000000,11,15,19,22,35,59,70,90,110,110,110,5554,0,11,16.67819935529968,2.1892739459872246,114.07279595732689,7742.582823190493
1701264559,100,,Aggregated,76.900000,0.000000,11,15,19,22,35,59,70,90,110,110,110,5622,0,11,16.576884570523266,2.1892739459872246,114.07279595732689,7744.160796869442
1701264560,100,,Aggregated,76.900000,0.000000,11,15,19,22,34,59,70,90,110,110,110,5711,0,11,16.420952522563937,2.1892739459872246,114.07279595732689,7744.684293468745
1701264561,100,,Aggregated,75.200000,0.000000,11,15,18,22,34,59,70,90,110,110,110,5780,0,11,16.341159024975138,2.1892739459872246,114.07279595732689,7751.668166089966
1701264562,100,,Aggregated,77.900000,0.000000,10,15,18,21,34,59,70,89,110,110,110,5863,0,10,16.277439000363614,2.1892739459872246,114.07279595732689,7752.100289953948
1701264563,100,,Aggregated,77.500000,0.000000,10,15,18,21,33,58,70,89,110,110,110,5932,0,10,16.208084903039484,2.1892739459872246,114.07279595732689,7756.0898516520565
1701264564,100,,Aggregated,77.000000,0.000000,10,15,18,21,33,58,69,88,110,110,110,6010,0,10,16.135701542091052,2.1892739459872246,114.07279595732689,7752.959068219634
1701264565,100,,Aggregated,75.800000,0.000000,10,15,18,21,33,58,69,88,110,110,110,6097,0,10,16.169227887606727,2.1892739459872246,114.07279595732689,7751.913564047893
1701264566,100,,Aggregated,75.600000,0.000000,10,14,18,21,33,58,69,88,110,110,110,6164,0,10,16.070679603126397,2.1892739459872246,114.07279595732689,7758.29639844257
1701264567,100,,Aggregated,74.500000,0.000000,10,14,18,21,32,58,69,88,110,110,110,6232,0,10,16.023314273730875,2.1892739459872246,114.07279595732689,7766.819159178433
1701264568,100,,Aggregated,75.300000,0.000000,10,14,18,21,32,58,69,88,110,110,110,6322,0,10,15.996710494678021,2.1892739459872246,114.07279595732689,7762.959981018665
1701264569,100,,Aggregated,73.300000,0.000000,10,14,18,21,32,58,69,88,110,110,110,6397,0,10,15.98235080972237,2.1892739459872246,114.07279595732689,7760.912146318587
1701264570,100,,Aggregated,74.100000,0.000000,10,14,18,21,32,58,69,87,110,110,110,6469,0,10,15.936538244372018,2.1892739459872246,114.07279595732689,7753.14654506106
1701264571,100,,Aggregated,75.900000,0.000000,10,14,18,21,32,58,69,86,110,110,110,6548,0,10,15.886044108110298,1.9878223538398743,114.07279595732689,7751.113927916921
1701264572,100,,Aggregated,74.000000,0.000000,10,14,18,21,32,58,69,86,110,110,110,6628,0,10,15.794333571727755,1.9878223538398743,114.07279595732689,7755.131563065782
1701264573,100,,Aggregated,75.100000,0.000000,10,14,17,21,32,58,69,86,110,110,110,6688,0,10,15.76305974988405,1.9878223538398743,114.07279595732689,7750.446471291866
1701264574,100,,Aggregated,75.100000,0.000000,10,14,17,20,32,58,69,86,110,110,110,6767,0,10,15.713657138810538,1.9878223538398743,114.07279595732689,7749.120437416876
1701264575,100,,Aggregated,74.000000,0.000000,10,14,17,20,32,58,69,86,110,110,110,6849,0,10,15.666059896068157,1.9878223538398743,114.07279595732689,7755.965542414951
1701264576,100,,Aggregated,75.100000,0.000000,10,14,17,20,32,58,69,85,110,110,110,6910,0,10,15.636672031581833,1.9878223538398743,114.07279595732689,7752.837771345876
1701264577,100,,Aggregated,74.800000,0.000000,10,14,17,20,32,58,69,85,110,110,110,6996,0,10,15.640264321219766,1.9878223538398743,114.07279595732689,7754.92409948542
1701264578,100,,Aggregated,75.400000,0.000000,10,14,17,20,31,58,68,84,110,110,110,7074,0,10,15.567302861315975,1.9878223538398743,114.07279595732689,7759.246536612949
