Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6032,0,7,16.864836599958185,1.8070479854941368,193.76212265342474,8649.0,19.52777731087428,0.0,7,10,13,15,42,91,120,140,170,190,190
GET,/catalogue,34744,0,10,14.65818135891493,3.0659595504403114,217.39880181849003,2795.0,112.47896135427985,0.0,10,13,16,18,27,40,65,88,150,210,220
GET,/category.html,34744,0,7,12.480321539881794,1.7797742038965225,219.48139742016792,11518.0,112.47896135427985,0.0,7,11,14,16,25,41,68,86,140,190,220
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3811,0,7,12.747819538366775,1.9765226170420647,184.2956356704235,10364.0,12.33759272741079,0.0,7,11,14,16,25,42,71,92,150,180,180
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3828,0,7,12.225937669758093,1.957584172487259,192.26531125605106,10364.0,12.392627908824062,0.0,7,11,14,16,24,39,62,80,140,190,190
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3736,0,7,12.505255247928936,1.896856352686882,185.90396456420422,10364.0,12.09479045646988,0.0,7,11,14,16,24,38,63,87,180,190,190
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3853,0,7,11.986074930740012,1.9379965960979462,184.15658734738827,10364.0,12.473561999137699,0.0,7,11,13,16,24,36,62,78,150,180,180
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3791,0,8,12.543961284886057,1.9800188019871712,186.94065138697624,10364.0,12.27284545515988,0.0,8,11,14,16,25,39,65,82,170,190,190
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3869,0,7,11.771682026401512,2.000034786760807,187.4589053913951,10364.0,12.525359816938428,0.0,7,10,13,15,24,34,57,77,130,190,190
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3853,0,8,12.12189079603374,1.9846493378281593,180.22572435438633,10364.0,12.473561999137699,0.0,8,11,13,16,24,38,60,79,130,180,180
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3878,0,7,12.053600376997338,1.98444165289402,178.07748168706894,10364.0,12.554496089451336,0.0,7,11,13,16,24,37,61,82,140,180,180
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3884,0,8,12.455006821338092,1.8561379984021187,191.35362189263105,10364.0,12.573920271126608,0.0,8,11,14,16,24,37,64,96,180,190,190
GET,/login,6032,0,60,67.05872462512752,8.96233320236206,241.40092823654413,13.0,19.52777731087428,0.0,60,63,66,69,92,130,150,170,210,240,240
,Aggregated,116055,0,9,16.13317327977946,1.7797742038965225,241.40092823654413,7816.372823230365,375.7122340539646,0.0,9,12,16,19,40,60,82,110,170,210,240
