time,geospatialanalysisservice_cpu,surveyservice_cpu,surveyservice-db_cpu,transformation-consumer_cpu,transformation-worker_cpu,unicloudauth_cpu,unicloudauth-api_cpu,unicloudauth-db_cpu,geospatialanalysisservice_memory,surveyservice_memory,surveyservice-db_memory,transformation-consumer_memory,transformation-worker_memory,unicloudauth_memory,unicloudauth-api_memory,unicloudauth-db_memory,geospatialanalysisservice_memory_rss,surveyservice_memory_rss,surveyservice-db_memory_rss,transformation-consumer_memory_rss,transformation-worker_memory_rss,unicloudauth_memory_rss,unicloudauth-api_memory_rss,unicloudauth-db_memory_rss,geospatialanalysisservice_memory_cache,surveyservice_memory_cache,surveyservice-db_memory_cache,transformation-consumer_memory_cache,transformation-worker_memory_cache,unicloudauth_memory_cache,unicloudauth-api_memory_cache,unicloudauth-db_memory_cache,surveyservice_disk,surveyservice-db_disk,transformation-worker_disk,unicloudauth-db_disk,geospatialanalysisservice_power,surveyservice_power,surveyservice-db_power,transformation-consumer_power,transformation-worker_power,unicloudauth_power,unicloudauth-api_power,unicloudauth-db_power
1701191932.87,0.018811373761698884,0.0011080116841253708,0.002987303431118115,0.07665418500209757,0.6970704055499608,0.001821006414979066,0.001951401202242219,0.000403699441094279,0,71022362.61079775,30745695.7634551,4707.101293300013,20573417.92441173,8032947.04497673,6341957.2208290305,403334.60803059273,0,7625053.109662296,0,0,0,4416.093151964925,4229.532379406992,0,0,0,1466.2347192640188,0,0,0,0,0,0,0,0,0,0.029357338754545454,0.01508061818181818,0.02621995249151515,0.0984123420012121,0.8269129080490909,0.013848472727272727,0.01602190909090909,0.003254619616969697
1701191937.87,0.05132304864551004,0.22982444556119996,0.0032028239614454385,0.16143716793781118,1.3577301314000412,0.001804572360133385,0.0019008249927578227,0.0003906279419397568,0,84139373.16292775,30548313.558116376,9762.393663831035,28642493.284448296,10350329.455353836,6225650.057937427,392643.6024555689,0,25031144.019233897,0,0,0,4401.037421267136,4152.954808806489,0,0,5094325.493953253,1456.8217385118794,0,0,0,0,0,0,0,0,0,0.04289692298666666,0.01384752630181818,0.02685380061393939,0.18398320753090908,0.967878491981818,0.01165229090909091,0.01513442197090909,0.003254619616969697
1701191942.87,0.08855185067998371,0.4697056783587507,0.0033756067483984974,0.22652320738501838,2.1114672724258576,0.0017291054898326314,0.0018688122655149053,0.00041812426320453116,0,82269141.61220044,31616424.121935055,16556.42547612978,21492720.72204826,8127689.472823421,5038422.576453579,422586.89370882616,0,42135480.61002179,0,149.15698627143948,0,4168.274909593124,4272.835416628539,0,0,12055164.56063907,0,0,0,0,0,0,0,0,0,0,0.045164291513939386,0.011769436363636364,0.024453274975757573,0.26280363897272724,1.0171894596496969,0.010534127272727272,0.013170927272727272,0
1701191947.87,0.12575117217057327,0.6983453920031557,0.003149621202084069,0.297959164561436,2.8413862594625416,0.00166188058767214,0.0017847343015041214,0.0002794092639715309,0,87471462.42847149,25625502.37229871,1654172.895544601,28657439.596264713,8228272.479564033,4919990.985996101,419732.83333652205,0,42209806.446983695,0,228.59268905218124,0,4072.170262905958,4322.143329815964,0,0,17354618.228094783,0,0,0,0,0,0,0,0,0,0,0.08775031738909089,0.5470540642660605,0.022761997210909088,0.26724843924606057,1.2686244075969697,0.008002145454545454,0.010408218181818182,0
1701191952.87,0.16214795511821126,0.9797945752442986,0.003221404841692778,0.37824337886984977,3.588104433481947,0.0015646448968413358,0.0017284348574147929,0.00039911146694971073,0,112131064.0429678,20967313.666245494,3194267.8270939263,21000394.649791457,6124181.851378493,6294767.946699857,401549.52053290384,0,42581574.23090844,0,370.56471311994505,0,4187.986123790397,4273.382875132701,0,0,23886902.320550125,0,0,0,0,0,0,0,0,0,0,0.08922421545030301,0.38679871069606053,0.02034472727272727,0.34975282282121206,1.8397330517236359,0.007852672727272726,0.010493945454545454,0
1701191957.87,0.19873304432581249,1.2258216976053296,0.003149804795345466,0.44278632905601417,4.266218884099391,0.0015105786120262088,0.0016619504451690908,0.0004048147746602612,0,109904293.84227584,15916484.203894828,3288027.969947184,27819566.051555045,6069636.462368316,5041398.160700546,410158.92479952145,0,65108257.83219302,0,457.0408390984155,0,4151.902400173768,4277.140658776976,0,0,32193161.741582047,0,0,0,0,0,0,0,0,0,0,0.08931440752000001,0.7074369617947475,0.014954145454545454,0.4312359472830303,2.2341314356478783,0.007210585853939393,0.007726363636363636,0
1701191962.87,0.23532886891412852,1.4475242343596304,0.0030627130920229846,0.5118716973679462,5.158536641029382,0.00144172113956443,0.001637828805386225,0.00038850542904674164,0,114222497.28147282,20755957.151402004,4773687.836227751,35494358.678801365,4004596.6249709204,3757169.75707397,392506.16245997534,0,69368602.63905127,0,517.601184243781,0,4104.722535387699,4322.9551451187335,0,0,47413087.83311991,0,0,0,0,0,0,0,0,0,0,0.12911801458242422,0.7769034741019697,0.01181684405151515,0.4329370496612121,2.8350327975830307,0.004909927272727273,0.00731830909090909,0
1701191967.87,0.27726926372850663,1.7247608465073185,0.0029842073495602787,0.5828718023099797,5.766744200508814,0.0013661162433485096,0.0015733022814032162,0.00027096406199080236,0,143944630.16616175,20891946.721161913,6379056.570931245,28324104.234054152,4087461.5173624447,2496001.157889024,397260.2382590433,0,70080820.6618475,0,742.6747896721787,0,4044.544407263152,4298.084055506306,0,0,52700939.06180875,0,0,0,0,0,0,0,0,0,0,0.1302670083,0.9928324345072729,0.00991584405151515,0.511346797070909,3.3441155269654548,0.0022549636363636363,0.004663781818181818,0
1701191972.87,0.305518867256001,1.9648623660313185,0.0029221041387783677,0.6394081076582574,6.630466587737221,0.00132317901155445,0.0014936584624346916,0.00037020190967382185,0,144449819.75719613,15749691.966332313,6342483.60744233,35542367.29927007,4093149.878229661,3765671.4059456405,764574.2960691386,0,69056324.15212528,0,810.7388347068774,0,4050.1730420611234,4473.976443174163,0,0,61499496.46174498,0,0,0,0,0,0,0,0,0,0,0.17254901546606058,1.292828526229091,0.008072354637575756,0.5145850554393939,3.747980944350303,0.0016445272727272726,0.003031090909090909,0
1701191977.87,0.3363082153178094,2.2165747209829854,0.002657109185978709,0.7116255557870327,7.354300247025267,0.0012477262820973906,0.0014269617556422437,0.0003814305605786617,0,177656691.96392113,20854615.945197493,7968950.127715077,42446545.82447726,4019400.704883838,3682963.50130925,793498.1555153708,0,94396779.54811414,0,1409.8295320736943,0,3829.964755808099,4523.628849819199,0,0,63395482.713811636,0,0,0,0,0,0,0,0,0,0,0.17413161565878787,1.3688767065976626,0.003163546986666667,0.595109444130303,4.060352206964243,0.0017219546224242423,0.0018271454545454545,0
1701191982.87,0.382630297533249,2.4279053025055206,0.002713975240287998,0.7635045379797538,7.810445970789232,0.0011730293332842603,0.001373896672568984,0.0003862865787688186,0,173761818.6553185,15687861.126338486,8009363.921054549,42122720.7125985,2059193.3162805247,2546703.2610299545,804658.6103827041,0,95681839.449625,0,1491.5155487582842,0,4070.2968292817573,4684.078500811569,0,0,65031966.373303644,0,0,0,0,0,0,0,0,0,0,0.2168040331727273,1.3763736487899245,0.0027291288048484847,0.6561059272727272,3.962573818181818,0.0014408727272727272,0.0013927272727272727,0
1701191987.87,0.4006915117052554,2.7136760590997757,0.0026506392937980915,0.7693925506786436,8.07354191707513,0.001148611370502606,0.0013022327189787732,0.0002509958041454321,0,196597530.98286733,10364938.198279765,7887368.583364709,49652273.09997996,2048862.4736793921,2539601.3685023724,395135.54591129284,0,94705388.33899285,0,1468.8110734584834,0,4049.876407580335,4671.1547658463,0,0,74384098.33154637,0,0,0,0,0,0,0,0,0,0,0.20838845454545454,1.3700624309519864,0.0026114939284848484,0.6303947272727273,4.120819072727273,0.0013959090909090907,0.001278848606060606,0
1701191992.87,0.4055322894622723,2.7618474654902956,0.005586262293288637,0.7606743307481919,8.108940232593358,0.0011379719189605197,0.0012685329974169584,0.00037948802655191673,0,187822903.24925494,14689574.707823582,7910673.624356714,48544620.296465226,4325.160181837706,2510992.3964055735,423487.02313644515,0,77686444.42829107,72514.74100680073,1547.7741389858568,0,3812.0055839925544,4470.4769527412955,0,0,80569373.5431853,0,0,0,0,0,0,0,0,0,0,0.1944958,1.668759740099394,0.0025405130448484846,0.5385785454545454,4.503326781818181,0.0013993454545454544,0.001399581818181818,0
1701191997.87,0.40561524241168734,2.7559959331183506,0.005521225365435783,0.7584943903306597,8.08698997680793,0.001154916843802685,0.001224264427480915,0.00035471931493815415,0,209188901.90934265,18542936.836281214,7974644.840477659,48506356.72712386,6604.998900535072,2479670.947462955,393988.9772543669,0,53244119.516105525,70984.95422013602,1486.6973975536278,0,4053.0675071465216,4193.480017961383,0,0,76382101.73444104,0,0,0,0,0,0,0,0,0,0,0.23791474545454544,1.7407311999999997,0.0022535763593939393,0.5416773272727272,4.7976354363636355,0.001284925641212121,0.0011663272727272726,0
