Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1701122742,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1701122743,100,,Aggregated,0.000000,0.000000,200,210,210,210,220,220,230,230,230,230,230,100,0,200.0,200.85107843391597,158.47905166447163,226.75319574773312,38.0
1701122744,200,,Aggregated,0.000000,0.000000,110,200,200,200,210,210,220,220,230,230,230,232,0,110.0,136.67098572076267,21.429844200611115,226.75319574773312,46.827586206896555
1701122745,300,,Aggregated,0.000000,0.000000,130,190,200,210,220,280,300,300,310,310,310,410,0,130.0,150.735462997563,21.429844200611115,305.6243658065796,55.09024390243903
1701122746,400,,Aggregated,116.000000,0.000000,120,200,210,280,320,370,390,390,390,390,390,649,0,120.0,164.59747942706974,21.429844200611115,394.45843268185854,62.323574730354395
1701122747,500,,Aggregated,136.666667,0.000000,110,140,190,210,300,350,390,390,390,390,390,936,0,110.0,133.5560580602107,8.167656138539314,394.45843268185854,67.37606837606837
1701122748,600,,Aggregated,137.750000,0.000000,110,150,180,200,300,350,380,390,390,390,390,1274,0,110.0,137.29216279081848,8.167656138539314,394.45843268185854,71.22998430141287
1701122749,700,,Aggregated,175.000000,0.000000,110,140,170,190,280,320,380,390,390,390,390,1645,0,110.0,133.75752845320477,8.167656138539314,394.45843268185854,73.92462006079028
1701122750,800,,Aggregated,180.666667,0.000000,99,120,150,160,230,310,360,390,390,390,390,2093,0,99,113.99001998375661,4.809916019439697,394.45843268185854,76.48447204968944
1701122751,900,,Aggregated,206.428571,0.000000,110,150,190,210,300,360,490,620,680,690,690,2589,0,110.0,142.74303519478886,4.809916019439697,685.6868732720613,78.49285438393203
1701122752,1000,,Aggregated,239.500000,0.000000,100,130,170,200,280,350,460,620,680,690,690,3112,0,100.0,126.63341378003052,2.9288148507475853,685.6868732720613,80.0138174807198
1701122753,1000,,Aggregated,243.888889,0.000000,91,120,150,180,270,330,410,610,680,690,690,3615,0,91,115.82321290565683,2.8204666450619698,685.6868732720613,82.617704011065
1701122754,1000,,Aggregated,283.300000,0.000000,80,110,140,170,250,310,390,610,680,690,690,4094,0,80,106.34478292112664,2.8204666450619698,685.6868732720613,84.17757694186615
1701122755,1000,,Aggregated,320.500000,0.000000,64,100,130,150,230,300,390,610,680,690,690,4612,0,64,98.07265689899435,2.8204666450619698,685.6868732720613,85.51257588898525
1701122756,1000,,Aggregated,354.200000,0.000000,54,98,120,140,220,300,390,490,680,690,690,5087,0,54,92.41516790084552,2.6761814951896667,685.6868732720613,86.44446628661294
1701122757,1000,,Aggregated,386.800000,0.000000,46,91,110,130,210,290,380,490,680,690,690,5522,0,46,87.02187094893421,2.447132021188736,685.6868732720613,87.04509235784136
1701122758,1000,,Aggregated,419.800000,0.000000,41,86,110,130,210,280,370,460,680,690,690,6072,0,41,82.3639581151422,2.281692810356617,685.6868732720613,87.63735177865613
1701122759,1000,,Aggregated,433.700000,0.000000,38,75,100,120,200,280,360,460,680,690,690,6549,0,38,77.74658041388584,2.281692810356617,685.6868732720613,87.97282027790503
1701122760,1000,,Aggregated,462.700000,0.000000,36,66,100,120,190,270,360,430,680,690,690,7031,0,36,73.94553729468224,2.281692810356617,685.6868732720613,88.2356706016214
1701122761,1000,,Aggregated,476.200000,0.000000,36,68,98,110,190,270,360,410,680,690,690,7525,0,36,73.42151045588857,2.281692810356617,685.6868732720613,88.51880398671096
1701122762,1000,,Aggregated,473.500000,0.000000,35,63,94,110,180,260,350,390,680,690,690,8034,0,35,70.80067089673726,2.281692810356617,685.6868732720613,88.66654219566841
1701122763,1000,,Aggregated,495.400000,0.000000,34,58,90,110,170,250,340,390,680,690,690,8529,0,34,68.54186244728257,2.05988809466362,685.6868732720613,88.76456794465939
1701122764,1000,,Aggregated,478.900000,0.000000,33,55,88,110,170,240,330,390,680,690,690,9015,0,33,66.68679504972974,2.05988809466362,685.6868732720613,88.8369384359401
1701122765,1000,,Aggregated,483.000000,0.000000,31,52,84,100,170,240,320,390,680,690,690,9521,0,31,64.52783305595486,2.05988809466362,685.6868732720613,88.94517382627875
1701122766,1000,,Aggregated,482.600000,0.000000,29,49,80,100,160,230,320,390,680,690,690,10010,0,29,62.55516948664075,2.05988809466362,685.6868732720613,89.14475524475525
1701122767,1000,,Aggregated,483.900000,0.000000,28,46,76,97,160,220,310,390,680,690,690,10509,0,28,60.62979071395476,2.05988809466362,685.6868732720613,89.20201731848891
1701122768,1000,,Aggregated,483.900000,0.000000,27,44,72,93,150,220,310,380,680,690,690,11026,0,27,58.66170444088413,2.05988809466362,685.6868732720613,89.28686740431706
1701122769,1000,,Aggregated,489.000000,0.000000,26,42,69,91,150,210,310,380,680,690,690,11473,0,26,57.23624840090752,2.05988809466362,685.6868732720613,89.28963653795869
1701122770,1000,,Aggregated,490.800000,0.000000,25,42,67,89,150,210,300,370,680,690,690,12017,0,25,55.89277583289186,2.05988809466362,685.6868732720613,89.42664558542066
1701122771,1000,,Aggregated,492.400000,0.000000,24,40,63,86,140,210,300,370,680,690,690,12502,0,24,54.14516726312669,2.05988809466362,685.6868732720613,89.51991681330988
1701122772,1000,,Aggregated,497.500000,0.000000,23,39,61,84,140,210,300,360,680,690,690,13004,0,23,53.15164926567011,2.05988809466362,685.6868732720613,89.51168871116579
1701122773,1000,,Aggregated,496.800000,0.000000,22,38,58,81,140,200,300,360,680,690,690,13519,0,22,51.709401986146105,2.05988809466362,685.6868732720613,89.6263037206894
1701122774,1000,,Aggregated,498.900000,0.000000,21,37,56,78,130,200,290,360,670,690,690,14029,0,21,50.65672448658686,2.05988809466362,685.6868732720613,89.77289899493906
1701122775,1000,,Aggregated,498.900000,0.000000,20,36,54,75,130,200,290,360,670,690,690,14526,0,20,49.39516476412811,2.05988809466362,685.6868732720613,89.8603882693102
1701122776,1000,,Aggregated,502.400000,0.000000,20,35,52,73,130,200,290,360,670,690,690,15027,0,20,48.41032026759145,2.05988809466362,685.6868732720613,89.90410594263659
1701122777,1000,,Aggregated,501.500000,0.000000,19,34,49,70,130,190,280,360,670,690,690,15540,0,19,47.369375119364534,1.8262099474668503,685.6868732720613,90.0043758043758
1701122778,1000,,Aggregated,502.200000,0.000000,19,33,48,68,130,190,280,350,670,690,690,16035,0,19,46.6267324291172,1.8262099474668503,685.6868732720613,90.11125662613034
1701122779,1000,,Aggregated,502.400000,0.000000,18,32,46,66,130,190,280,350,670,690,690,16545,0,18,45.89778460189588,1.8262099474668503,685.6868732720613,90.23281958295557
1701122780,1000,,Aggregated,499.800000,0.000000,18,31,45,64,120,190,280,340,670,690,690,17024,0,18,45.01746117849213,1.8262099474668503,685.6868732720613,90.27472979323308
1701122781,1000,,Aggregated,497.300000,0.000000,17,30,44,61,120,180,280,340,670,690,690,17523,0,17,44.0867383689741,1.8262099474668503,685.6868732720613,90.25971580208868
1701122782,1000,,Aggregated,500.700000,0.000000,17,29,43,59,120,180,270,330,670,690,690,18025,0,17,43.21168294721561,1.8262099474668503,685.6868732720613,90.30640776699029
1701122783,1000,,Aggregated,499.000000,0.000000,16,28,42,58,120,180,270,330,670,690,690,18508,0,16,42.56322676462234,1.8262099474668503,685.6868732720613,90.31737626972121
1701122784,1000,,Aggregated,500.900000,0.000000,16,27,41,56,120,180,270,320,660,690,690,19003,0,16,41.761619235161874,1.8262099474668503,685.6868732720613,90.33905172867442
1701122785,1000,,Aggregated,500.200000,0.000000,16,27,40,54,110,170,270,320,660,690,690,19506,0,16,41.18654051414402,1.8262099474668503,685.6868732720613,90.35409617553573
1701122786,1000,,Aggregated,497.800000,0.000000,15,26,39,53,110,170,270,320,660,690,690,19980,0,15,40.581135003379096,1.8262099474668503,685.6868732720613,90.36256256256256
1701122787,1000,,Aggregated,498.400000,0.000000,15,26,39,52,110,170,260,320,660,680,690,20508,0,15,40.11961513467573,1.8262099474668503,685.6868732720613,90.37000195045836
1701122788,1000,,Aggregated,499.000000,0.000000,15,26,38,51,110,170,260,320,660,680,690,20982,0,15,39.597308636341964,1.8262099474668503,685.6868732720613,90.42031264893718
1701122789,1000,,Aggregated,496.100000,0.000000,15,26,38,50,110,170,260,320,620,680,690,21491,0,15,39.570568804413554,1.8262099474668503,685.6868732720613,90.42822576892652
1701122790,1000,,Aggregated,498.600000,0.000000,15,25,37,49,110,170,260,320,620,680,690,21996,0,15,39.1085001805658,1.8262099474668503,685.6868732720613,90.47967812329514
1701122791,1000,,Aggregated,496.500000,0.000000,14,25,37,48,110,170,250,310,620,680,690,22451,0,14,38.60824102178514,1.8262099474668503,685.6868732720613,90.55240301100174
1701122792,1000,,Aggregated,496.800000,0.000000,14,24,36,47,110,160,250,310,620,680,690,22951,0,14,38.173881828447975,1.8262099474668503,685.6868732720613,90.6128708988715
1701122793,1000,,Aggregated,498.100000,0.000000,14,24,36,46,110,160,250,310,620,680,690,23454,0,14,37.680372957015045,1.8262099474668503,685.6868732720613,90.65869361302975
1701122794,1000,,Aggregated,493.900000,0.000000,14,24,35,45,110,160,250,310,620,680,690,23976,0,14,37.3975260975321,1.8262099474668503,685.6868732720613,90.65060894227561
