time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701369713.341,0.030529598104502984,0.021007878111404386,0.007571580122169665,0.004081076128231212,0.027665191332816932,0.002256852245149239,0.006079050010194812,0.0029255343412527015,0.0018909506217466613,0.09920354353623818,0.0029158011485232835,0.0077528161546799885,0.009186281730821654,22098593.096515946,10793300.335211467,963452.221146497,4187.527384255878,6139689.506916836,22145543.74441221,1939315.4275334112,815165.9265658748,103817327.93522267,8650432.551266804,26038220.5735483,2632941.9588001445,2827667.859543316,3382.025093787582,4308.965123742956,0,0,2877198.870280091,0,0,0,0,7285320.647277183,0,1332.2732200939645,0,0,949.432993367092,0,0,0,0,75.92355743387273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05652850909090908,0.06870012727272727,0.05219047272727272,0.010890090909090908,0.09526175655515151,0.018712763636363632,0.04946545454545454,0.030276109090909088,0.012734836363636363,0.6446234909090909,0.014243181818181818,0.04248638125333333,0.05964265454545454
1701369718.341,0.0729914184822488,0.05574889928017982,0.015199701826174094,0.008613795000820426,0.05337522500734416,0.003056446100552121,0.006036073969043874,0.0026905570872214402,0.0018955262143545777,0.097901626867319,0.002890609456682378,0.009564045167625128,0.01025560989963175,29389216.13347894,11088391.230287379,1269625.330569652,8632897.445714599,3215287.791978845,15173185.432075648,2545817.84917121,909336.006786458,128126707.16299656,8835456.913680183,26316545.26444821,2133177.7247860846,2807958.98620839,3373.064322669579,6902.064215982563,0,0,2962409.2845600112,1610.635708267016,0,0,0,7441086.761351093,0,1292.7479309861128,0,0,1875.5609282561313,0,0,0,0,74.93870979545538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14345692727272727,0.12642069090909092,0.06212543636363636,0.02246086274,0.11433816363636364,0.01959159753636364,0.04811829090909091,0.03114993220787879,0.011617581818181818,0.5898781454545454,0.014246381818181816,0.04236501818181818,0.05872303636363636
1701369723.341,0.11199803376868694,0.08523551915805119,0.020002288452865124,0.012876235762718092,0.08301518331861168,0.006530096678899598,0.006029033141366941,0.003311763088643946,0.0018918284650527176,0.09592933523346624,0.002866441003970699,0.0142496994510688,0.0119865887614968,29822876.96862909,11280956.98984819,1286597.0197951957,8774476.1199007,3249110.4732464855,22297571.816513762,2522298.670723315,652755.0100292596,103313087.23335373,8579927.306517038,26590651.269534808,2214323.6876545004,2101412.624417286,3422.571797060907,1184585.9364813264,0,0,2994071.391771546,1578.2752293577983,0,0,0,7227158.914243848,0,0,0,0,3051.8766880879207,0,0,0,0,74.17870984099387,0,0,0,0,0,73.72342914739285,0,0,0,0,0,0,0,0.20365981818181816,0.1670460181818182,0.06243778644181819,0.022608562345454546,0.12289997480181819,0.02151550909090909,0.04738429090909091,0.027776745454545452,0.01204110909090909,0.6046662545454545,0.01466990909090909,0.0417664,0.06439372727272727
1701369728.341,0.15309525262431417,0.1106187940632133,0.02458512736951708,0.017189574415700504,0.11146934350365549,0.013867434408601274,0.005823775476194746,0.003765476703616174,0.0018989391355853271,0.09732816433604523,0.0028578366762177987,0.02035321532626012,0.014190975020056912,37272320.51142348,10881966.4708102,1219316.3507311165,8456248.63514719,3195651.9994266876,22152141.4251868,2493329.080581289,644731.0921315646,77324148.9033277,8721629.52201075,19857971.34670487,2234850.493833947,2130974.5459849755,3421.8880534670006,1143653.423894489,0,0,2944385.265873585,1642.2817568798976,0,0,0,7345559.78497748,0,0,0,0,4195.137728424344,0,0,0,0,73.3958105613991,0,0,0,0,0,74.68455984246225,0,0,0,0,0,0,0,0.3668308181818182,0.27990812727272724,0.0842536909090909,0.037373254545454544,0.1278978990048485,0.031090181818181815,0.047016363636363634,0.027056981818181815,0.009955181818181818,0.5077669272727272,0.012583981818181817,0.05493930909090909,0.06806636363636363
1701369733.341,0.19102377295673742,0.13588667907798263,0.028028277756474988,0.02102070608284798,0.13831525260360633,0.01924331862223292,0.005900134433878263,0.004032703317682266,0.002231624218677138,0.09536094439359695,0.0028671030381681646,0.02483138221273306,0.016341122864760523,37134289.90174969,8033484.836174158,1546333.879457594,17082560.38664767,3206885.8722976367,29236629.12509247,2477921.715282972,811408.5616497257,80381258.25170258,8971232.306629062,19466467.369468987,2689604.3879184998,2147302.675370047,3409.1953607034948,1125161.0350613794,0,0,2959031.2432665373,1625.8953863919312,0,0,0,7555913.853970152,0,0,0,0,5281.427183608584,0,0,0,0,72.94226591160024,0,0,0,0,0,75.31488461892066,0,0,0,0,0,0,0,0.5140533818181818,0.38124514545454546,0.09939903636363637,0.037768109090909094,0.2367529090909091,0.03466152727272727,0.04121292727272727,0.02413532727272727,0.0099128,0.4967048727309091,0.012489745454545455,0.07825750909090909,0.0705118
1701369738.341,0.23049337226641178,0.1628643926324278,0.03418652568421078,0.025219148888768226,0.17458770663135736,0.02648945906962625,0.005882381185782229,0.004451803527780841,0.0024994530873371276,0.09676837562861275,0.0028378159120686446,0.03322443678261158,0.019533980799884037,30310490.70810342,8154479.949807296,1249711.1578947369,17159664.837254796,3264199.6662555323,29079314.68757288,2525888.9736049087,1071555.7987669185,78076691.95498124,10740995.25744045,19926556.99519581,2130025.747479329,1412470.0768004637,5215.715946629265,1147114.9592184278,0,0,3017987.9561779005,1690.1024380617498,0,0,0,9046503.140827173,0,0,0,0,6241.104239490903,0,0,0,0,0,0,0,0,0,0,74.19214606578757,0,0,0,0,0,0,0,0.6441801818181818,0.4762252545454545,0.11339601818181817,0.05023738466545455,0.34094223068121216,0.03413661818181818,0.03908138181818181,0.024171709090909092,0.008459181818181819,0.38811754545818183,0.0110566,0.08493376123272728,0.06373732727272727
1701369743.341,0.2747081907710034,0.19810217913750605,0.040766484070297655,0.02878969985127521,0.19697372689121453,0.03046901507969915,0.006179406979529405,0.004802977970555433,0.0025437311601886905,0.09545708345009546,0.0028673845879859457,0.03968465856383457,0.02197186316853846,29568469.944568425,8194505.514275948,1294539.3744434144,26084577.639865596,3257565.500524583,29667234.375857837,2561462.237208188,1057284.331017602,105012924.2019818,10919039.359475935,19501062.49220851,2198163.29399045,2106575.5660683974,5086.458858253545,2290187.431408884,0,0,3017875.185412973,1724.063466500741,0,73.7194485439689,0,9198279.610590484,0,0,0,0,7516.542827843045,0,0,0,0,0,0,0,0,0,0,73.95904806615867,0,0,0,0,0,0,0,0.6541659818181819,0.4852516727272727,0.1184300398860606,0.05255610672303031,0.4400671306636364,0.03434436553515152,0.034302545454545454,0.022611981818181817,0.008717872727272726,0.41531756364,0.011496927272727274,0.09263554545454546,0.073226
1701369748.341,0.30950033502881047,0.22743250523361042,0.04452663449884272,0.0323888153164558,0.22873060249854812,0.0364562227755517,0.005982782421108934,0.00553243348160852,0.002542222625683112,0.097111492132108,0.0028091859399917924,0.04525831104826197,0.024208386549749963,30834125.865725704,8252082.5787758045,951721.6911959575,25692067.414104883,263292.9145361578,29795091.91811533,1860616.5804956323,840537.2206441931,78215536.52027088,10850606.858631168,20303250.52850202,2666716.102545388,2113674.324226393,5304.604065391617,2305613.3285041647,0,0,252322.37643048452,1806.4610974309971,0,73.17291030244564,0,9138062.798437275,0,0,0,0,8678.594712060847,0,0,0,0,0,0,0,0,0,0,74.20827596202622,0,0,0,0,0,0,0,0.6691167818181818,0.4826068363636364,0.10810152727272727,0.05014663636363636,0.44842672727272725,0.05311556363636364,0.028919581818181817,0.02472718933030303,0.009295072727272728,0.40825700000363635,0.012138818181818181,0.09374952727272727,0.0674608909090909
1701369753.341,0.3529348180612847,0.253046707133096,0.050063155532881945,0.036088277022138404,0.2578271035618307,0.043164507232904235,0.006037262010009846,0.005465340758318461,0.002539589604637747,0.09378492525330813,0.0028997172758850336,0.05428109022377104,0.02744772511752985,30257404.832056567,8301853.548328323,1280210.7901048937,34258067.4287368,250809.7331743178,30161599.94050054,2536937.273956088,612558.9177766616,77560662.53780787,8858753.778860528,13138264.816514587,2678402.3477622885,2136300.729873598,5204.478491455509,2319611.405666393,0,222.25437708001738,3214739.1730005876,2132.4606745751366,0,70.9472918434864,0,7460309.543583781,0,0,0,0,9701.740001821992,0,0,0,0,0,0,0,0,0,0,74.92637240016829,0,0,0,0,0,0,0,0.8197186,0.5895957272727272,0.12759087272727274,0.05206982662666667,0.4646491272727273,0.0714597090909091,0.023584199999999996,0.018678872727272727,0.007750327272727273,0.30668198182181816,0.009892945454545454,0.09263567272727273,0.06199790909090909
1701369758.341,0.3875204255296101,0.28430628223524534,0.0568165504064315,0.04156941688266322,0.2898518876071245,0.04721824204533182,0.005847518653719789,0.005781295531961155,0.0025665355717347793,0.08974110996772709,0.002833543705441864,0.05945096326908681,0.02947083223786029,29658416.254646506,8321212.771783778,1590982.2599374722,34817920.03529477,3543894.46678433,36519800.79997117,2534917.719208586,636011.0160892883,79604968.29033929,6641071.977869987,13175731.576572511,2601278.8485517832,2832588.7515248614,5099.859251506731,2329120.0321302735,0,225.886505266641,6326929.674848524,7170915.066123743,0,74.21365415277576,0,5592465.763024435,0,0,0,0,10842.506891578583,0,0,0,0,0,0,0,0,0,0,74.57713526209419,0,0,0,0,0,0,0,0.8296895454545454,0.590424509090909,0.12979614880060608,0.053421349803636366,0.5836527378054546,0.07717221818181819,0.024885199999999996,0.02085134231939394,0.007707890909090909,0.3075594545490909,0.011278818181818182,0.09719254545454546,0.05997283636363636
