time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders_disk,orders-db_disk,rabbitmq_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1701358240.682,0.018615030104303924,0.01358259974373049,0.016728866063173302,0.0058568462459251515,0.05874378515280559,0.0023815492488095677,0.0059752761925868396,0.0030666044340296184,0.0018931551548145643,0.09874019380934984,0.003770295999852783,0.017860357937492476,0.011925528928492881,15885757.959921818,5781110.745011899,1044906.0092449923,8750.041435701001,14517432.914215818,36158210.33364143,2587620.219033372,974902.4403639492,51040571.336473204,8908276.406135865,27888870.243615218,1623942.0571161553,3564926.0045378027,5761.32108214749,749.7711879919459,0,4498275.611867185,8040664.688000288,0,0,0,0,7517760.701241782,0,377275.74989665893,899.3632437971163,0,1799.45085118067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057031846975757576,0.042446727272727275,0.06661856185,0.028474196209090908,0.23589014709545453,0.017349127272727274,0.035919072727272724,0.025858581818181816,0.009077436363636364,0.49200967272727275,0.024084472727272724,0.06507241156818182,0.042723509090909086
1701358245.682,0.03284675785146699,0.01864126707145853,0.035353609205918686,0.017838060267197968,0.11461325440977248,0.10507906241005777,0.0060008952191953875,0.0029329414842576068,0.001892244505695131,0.09763335716610011,0.003743860189925057,0.027490872977637377,0.01622898006198899,15895039.298437929,5758433.929580803,959118.258758116,8806037.201062888,14554284.653288579,68913903.56134439,3156942.30561068,773399.6704868466,78036635.5140187,8818736.278834334,28109897.766896658,2030181.059897893,4235871.744213446,9952.827258609665,1419.0325109859052,0,4507852.376734573,8120554.738270369,17652532.580380727,0,0,0,7442197.12199002,0,377363.91745164304,890.9028293850031,0,3584.9242382801813,0,0,0,14319651.731963446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08057809344205666,0.05408039707646995,0.07903714410385078,0.037978637140467626,0.24221968337969532,0.017534926002690812,0.036058906948838225,0.023887604087124106,0.009359150576342679,0.5001311770481074,0.030435220537435005,0.07531780662521363,0.05052908985127814
1701358250.682,0.03356394018591636,0.01887241566734727,0.05135025793022433,0.030136748043732373,0.15417589860367362,0.31458135615446114,0.005887092964466292,0.002783977401426184,0.001855003091444602,0.09283300235131149,0.007147275011658309,0.027142020873411176,0.0163017805592445,16046834.335460547,4403485.130870615,978656.0871034889,8731183.852566916,11827414.845897844,73123554.89515035,3115167.984048993,928429.5302013423,78203577.00257926,8888490.968412226,20399408.257703483,2030657.485482102,3543602.234067713,10198.82695783688,1444.6630777798405,0,8932329.384232853,5553173.7809289545,17998769.962294992,0,0,0,7502601.607640851,8301.610646769737,377411.4093597742,894.2092528244218,0,3725.710042695378,0,0,0,17387273.918440785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834627104409091,0.050315545454545446,0.07557236325454544,0.0377950394,0.3336260909090909,0.016323527272727272,0.03126456363636363,0.021946981818181815,0.007418618181818181,0.421992,0.03333963636363636,0.07531481026363637,0.04482261818181818
1701358255.682,0.035383667545423644,0.01981997916742057,0.07296262748893803,0.04305025360109508,0.19100441327201279,0.583770862132786,0.005766917162680314,0.002419388729999994,0.0018209134839503283,0.09078237374083238,0.007529059057766747,0.02987354296299327,0.01718938256899307,15497457.499109367,4287918.984411732,1018833.5272746086,17423722.20903697,15096561.833844356,96320920.90508246,2560355.2309658565,778192.2133333334,78462076.01813275,6601813.417908566,27565349.382693604,2085114.316590982,3585856.9508625288,9849.661560384751,1407.356504756049,0,8919895.280693745,8509486.348372025,17583420.22463755,0,0,0,5572886.526228534,6813434.623706748,387532.57923948445,904.9100649888617,0,3999.8553293066657,0,0,0,24408376.762437023,0,0,0,0,0,0,75.40917208240514,0,0,0,0,0,0,0,0.08801334246969696,0.04978330909090909,0.11724381878787878,0.06926214970151516,0.32380134728787874,1.641005027189394,0.02651201818181818,0.021529381818181818,0.005996290909090909,0.4179684181818182,0.033374,0.07380600179545455,0.03950349090909091
1701358260.682,0.041648688356227405,0.021595663264747763,0.08505484949400068,0.05412030707768765,0.2284298307515894,0.868207193848799,0.005659295889318041,0.003006507415657068,0.0017976417993130689,0.08750078901482126,0.008009085328444606,0.032117292274716644,0.017908311884867096,16044296.708767401,5770280.101509867,987793.4884710136,26163384.418481335,12150887.598521942,115007400.46838407,3173102.1052058963,768672.2080367976,78944549.54389335,8861870.386515548,27517390.884504385,2019942.1988032511,2824904.388174947,10195.630128146031,1420.8460372811421,0,13399678.350063076,5823586.435371425,17729873.536299765,0,0,0,7481955.245568149,6801562.158531938,374957.5779226579,890.9028293850031,0,4561.663593376298,0,0,0,24380375.4117096,0,0,0,0,0,0,74.24190244875025,0,0,0,0,0,0,0,0.0888524538560606,0.048604472727272724,0.15721161818181817,0.09673695172727273,0.29127887272727276,0.9989205694583333,0.026094436363636363,0.020565941981818183,0.005846454545454545,0.33574774545454544,0.03372567272727272,0.07863932032424242,0.03904774545454545
1701358265.682,0.04515970879557593,0.023478050149524386,0.09955521527300334,0.062344896517900615,0.2806183745404243,1.1512378452048257,0.0054738356383374365,0.0027295805106634092,0.001779306771968078,0.0851424738184572,0.007986994484514216,0.03497698820947234,0.01913832527341868,15722524.04871174,5726456.692342547,1340681.5500958862,25997059.706101395,9248839.867496632,117600040.0088255,3901311.324262027,588586.5249797063,77617340.88598403,9015167.070217917,34947581.856080875,1643927.805692104,2807812.7601304483,10138.980233440538,1484.7304032623472,0,17749184.531269867,5827380.437552328,17817238.508494522,0,0,0,7610491.10030867,6912221.947575216,380779.62596818374,885.6056647627972,0,5196.556411418215,0,0,0,33317572.909945816,0,0,0,0,0,0,73.80047206356643,0,0,0,0,0,0,0,0.0908820572061016,0.047877368095705614,0.15157696790298533,0.12389235770517437,0.39698710500254547,0.9035641000031457,0.02137942256645213,0.015565124904548925,0.006069594101123597,0.2452145921966474,0.0319859277844442,0.0767896218337515,0.03488336787753173
1701358270.682,0.053552615261176245,0.026346581022514075,0.11190526632753202,0.0739478289769275,0.3177580461474043,1.3968185304190994,0.005245396491033057,0.0026739255891393412,0.0017415058316754112,0.08241130563385239,0.007873806055602417,0.03949002669081042,0.020630800600046267,15692877.084798327,4357538.032100488,1648196.76929942,25519556.68081161,9261595.23592723,129639671.86047377,3241907.8108789087,583718.9695550351,78032437.1840035,8592407.018532872,33999439.16578423,2052783.9203259393,2766467.006337766,10634.932655379456,1504.3890255995889,0,21777536.49752166,5839099.342572527,20262641.329812948,0,0,0,5444785.004580367,6725388.373386937,380117.7003168854,872.5878322001101,0,6167.995004958314,0,0,0,41872485.90369516,0,0,0,0,0,0,72.71565268334251,0,0,0,0,0,0,0,0.09469052283636363,0.04588592727272727,0.1874453728090909,0.12404966264545454,0.484255094990909,1.673556733848106,0.01744,0.01441989090909091,0.005208363636363636,0.18103434545454547,0.027640290909090908,0.07715638181818182,0.03447592727272727
1701358275.682,0.05966206734376517,0.02882028375869272,0.12608944692848126,0.08408191022639944,0.34815445381592003,1.6199688705448816,0.005229387404892054,0.002148531879999989,0.0017138551719182256,0.07876227517600247,0.00726924931561854,0.04156022560753109,0.02183108503725994,23891571.85469851,4321177.849783377,1665406.5934065934,26175463.955232065,9496065.50933508,172960178.35142267,3173100.219724346,582198.6133333333,76800257.53601839,8776763.571544321,34572007.15406796,2070792.0893235055,2860779.5602217247,10793.741421905022,2460.5526631958355,0,22336690.53801982,6059477.235506059,47146579.05544147,0,0,0,5561043.302904266,6838676.935430886,382981.82879661385,902.1695238794464,0,6859.722576182328,0,0,0,42169040.28442358,74.37941491583287,0,0,0,0,0,75.18079365662054,0,0,0,0,0,0,0,0.11071235126818181,0.054000454545454546,0.22058856105757574,0.12383119378636363,0.5031984892590909,1.6246845939909091,0.016918781818181818,0.01377460079090909,0.004867018181818182,0.1672277818181818,0.025650363636363634,0.0818871962090909,0.038682472727272724
1701358280.682,0.06529382163027375,0.030938450370020253,0.14137003088265304,0.0950038760538243,0.3936573700883735,1.94250252750299,0.00497006259927799,0.002482217001913971,0.0016889396313448408,0.07519564578137818,0.007281827138502248,0.04552239627521023,0.02361502007012677,32018785.92321419,4324420.3138353005,1716624.7841185539,34745929.67825343,9553893.076248907,213330476.21118242,3152071.624548736,573404.4996569282,78252936.24498911,6657612.3782652235,27830519.998530872,2444314.721359171,2137612.622813105,11001.232546588422,2457.7340582213574,0,22240819.82556128,6107578.147823547,71251209.04446137,0,0,0,3753020.1146809873,6881376.280897639,377004.72333471023,897.6222652397825,0,7596.632543593287,0,0,0,41063651.733661875,73.9350180505415,0,0,0,0,0,74.80185543664854,0,0,0,0,0,0,0,0.12448214590000001,0.059677527272727265,0.21827716075454545,0.15238156684090906,0.6031116867999999,1.5909234929340905,0.016412145454545453,0.008441109090909091,0.004533,0.17179983636363635,0.022979890909090906,0.08345843097272726,0.042473
1701358285.682,0.07019170168408645,0.03288433328460699,0.15499791786370665,0.10581364996793387,0.4255347189332945,2.1965681968890047,0.005032172000870899,0.002451096081161714,0.0016703349627518634,0.07179363195207748,0.0062749094915131596,0.047578766539200346,0.024197893432511393,24125057.281087272,2909890.366905423,1657154.7260041756,34967493.83417316,6620093.4095959775,242235189.7989275,3168090.572610494,381252.36450440355,77112358.8809322,6698507.217703526,27482136.660380095,2445863.7367372224,2154221.641227699,11194.150016619273,2619.5000730887296,0,26857226.20247366,9019884.731684214,72222126.49673106,0,0,0,3775376.273173592,6795271.724938343,376869.35602592415,904.9767090751754,0,8232.714515421721,0,0,0,50366993.41268885,74.31598809783003,0,0,0,0,0,75.41472575626462,0,0,0,0,0,0,0,0.12556900685757574,0.055806072727272726,0.25772244943636363,0.1536357347363636,0.6176965379818182,2.319065807827922,0.011559654545454545,0.008063369459090908,0.002632345454545454,0.1642455456090909,0.01706,0.07969725454545455,0.03904494545454545
