Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1225,0,6,10.217681422221418,2.236388623714447,58.544520288705826,8649.0,3.9590283193732216,0.0,6,8,10,12,20,39,49,52,57,59,59
GET,/catalogue,6995,0,10,11.998332595403404,4.234210588037968,68.29200591892004,2795.0,22.606859668584235,0.0,10,12,13,14,19,23,28,37,60,68,68
GET,/category.html,6995,0,7,8.59163293749456,2.181076444685459,64.58528526127338,11518.0,22.606859668584235,0.0,7,8,10,11,16,21,27,31,50,65,65
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,741,0,7,8.44170159048196,2.3610787466168404,53.77896223217249,10364.0,2.3948081507392307,0.0,7,8,10,11,15,21,26,32,54,54,54
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,796,0,7,8.718614073367275,2.545214258134365,56.63634184747934,10364.0,2.572560442629457,0.0,7,9,10,12,15,20,27,32,57,57,57
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,837,0,7,8.85064649232079,2.4532796815037727,53.06363012641668,10364.0,2.705066696583989,0.0,7,8,10,11,16,21,27,32,53,53,53
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,793,0,7,8.789034593206788,2.727596089243889,59.64603926986456,10364.0,2.562864863071808,0.0,7,8,10,11,16,21,28,33,60,60,60
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,756,0,7,9.21822643084895,2.3713503032922745,41.56843665987253,10364.0,2.443286048527474,0.0,7,9,11,12,17,22,28,33,42,42,42
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,761,0,7,8.825569757494131,2.379082143306732,51.25525128096342,10364.0,2.459445347790222,0.0,7,9,10,12,16,20,28,37,51,51,51
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,762,0,7,9.055200255331718,2.477586269378662,57.70432855933905,10364.0,2.4626772076427716,0.0,7,9,10,12,16,20,25,32,58,58,58
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,742,0,7,8.663863494660896,2.621515654027462,40.84928706288338,10364.0,2.3980400105917803,0.0,7,8,10,11,16,21,26,30,41,41,41
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,756,0,7,8.49562308075961,2.449587918817997,59.177424758672714,10364.0,2.443286048527474,0.0,7,8,10,11,15,19,26,32,59,59,59
GET,/login,1223,0,61,62.044632694975625,10.303804650902748,114.83616754412651,13.0,3.952564599668123,0.0,61,63,65,66,72,93,100,110,110,110,110
,Aggregated,23382,0,9,12.549552894622398,2.181076444685459,114.83616754412651,7813.616243264049,75.56734707231402,0.0,9,11,12,14,22,54,62,66,100,110,110
