Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1222,0,8,11.084120065193325,3.1147506088018417,57.03001841902733,8649.0,3.959453288952273,0.0,8,10,11,13,20,38,48,52,57,57,57
GET,/catalogue,6968,0,11,12.968645551392699,4.968060180544853,66.31162762641907,2795.0,22.577308115727856,0.0,11,13,14,15,18,22,29,35,61,66,66
GET,/category.html,6968,0,8,9.417644653113262,2.8478046879172325,68.41896288096905,11518.0,22.577308115727856,0.0,8,9,11,12,16,20,27,33,53,68,68
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,773,0,8,9.619028314726396,3.7370193749666214,45.16805615276098,10364.0,2.5046296173159632,0.0,8,10,11,12,16,20,27,32,45,45,45
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,751,0,8,9.553818739008173,3.258480690419674,34.75969284772873,10364.0,2.433346497547592,0.0,8,10,11,12,16,19,25,29,35,35,35
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,741,0,8,9.51684547736537,2.667320892214775,40.33374320715666,10364.0,2.400945079471059,0.0,8,10,11,12,16,19,24,28,40,40,40
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,763,0,8,9.796991623293604,2.963380888104439,47.83912841230631,10364.0,2.4722281992394306,0.0,8,10,11,12,17,21,28,34,48,48,48
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,844,0,8,9.440563250580247,3.707841970026493,46.05404380708933,10364.0,2.734679685659344,0.0,8,10,11,12,16,19,26,30,46,46,46
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,705,0,8,9.5225814465724,2.8209947049617767,39.99569918960333,10364.0,2.2842999743955423,0.0,8,10,11,12,16,20,25,28,40,40,40
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,767,0,8,9.827920544110578,3.878982737660408,53.82798798382282,10364.0,2.485188766470044,0.0,8,10,11,12,17,21,26,32,54,54,54
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,774,0,8,9.921738034407836,3.2264385372400284,59.17337443679571,10364.0,2.5078697591236163,0.0,8,10,11,13,16,21,28,32,59,59,59
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,803,0,8,9.421684150613038,3.2457737252116203,60.96634268760681,10364.0,2.6018338715455607,0.0,8,9,11,12,15,19,23,29,61,61,61
GET,/login,1222,0,64,64.45277371686166,15.536223538219929,148.9716675132513,13.0,3.959453288952273,0.0,64,66,67,69,74,91,99,100,120,150,150
,Aggregated,23301,0,10,13.51425158518854,2.667320892214775,148.9716675132513,7812.848890605554,75.49854426012841,0.0,10,12,13,15,21,57,65,69,99,110,150
