Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6039,0,7,17.166401512518657,1.6972478479146957,169.17568165808916,8649.0,19.53896084157922,0.0,7,10,13,16,43,94,120,130,170,170,170
GET,/catalogue,34733,0,10,14.538738615093335,3.1982818618416786,228.13077084720135,2795.0,112.3773351400184,0.0,10,13,16,18,26,38,63,85,140,220,230
GET,/category.html,34733,0,8,12.56723381376532,1.7867852002382278,282.7636366710067,11518.0,112.3773351400184,0.0,8,11,14,16,25,39,67,85,180,260,280
GET,/detail.html?id=03fef6ac-1896-4ce8-bd69-b798f85c6e0b,3821,0,8,12.577623955162524,1.6354070976376534,162.94136550277472,10364.0,12.362703986698827,0.0,8,11,14,16,25,37,63,81,150,160,160
GET,/detail.html?id=3395a43e-2d88-40de-b95f-e00e1502085b,3881,0,8,12.04635976643115,1.7417892813682556,178.6971166729927,10364.0,12.556831764558531,0.0,8,11,14,16,24,36,56,76,140,180,180
GET,/detail.html?id=510a0d7e-8e83-4193-b483-e27e09ddc34d,3814,0,8,12.396458181341124,1.8194420263171196,188.15373163670301,10364.0,12.340055745948527,0.0,8,11,14,16,24,36,63,77,140,190,190
GET,/detail.html?id=808a2de1-1aaa-4c25-a9b9-6612e8f29a38,3754,0,8,12.582545830348689,2.027650363743305,189.79248870164156,10364.0,12.145927968088824,0.0,8,11,14,17,25,37,62,84,160,190,190
GET,/detail.html?id=819e1fbf-8b7e-4f6d-811f-693534916a8b,3880,0,8,11.930188802358954,2.0123152062296867,179.54460997134447,10364.0,12.553596301594203,0.0,8,11,13,15,23,34,61,80,160,180,180
GET,/detail.html?id=837ab141-399e-4c1f-9abc-bace40296bac,3915,0,8,12.25947900288673,1.9157687202095985,190.76679460704327,10364.0,12.666837505345697,0.0,8,11,14,16,24,35,60,84,150,190,190
GET,/detail.html?id=a0a4f044-b040-410d-8ead-4de0446aec7e,3769,0,8,12.17909707223493,1.8961140885949135,254.05169650912285,10364.0,12.19445991255375,0.0,8,11,14,16,24,34,58,80,160,250,250
GET,/detail.html?id=d3588630-ad8e-49df-bbd7-3167f7efb246,3821,0,8,12.085359727584061,1.9707512110471725,191.8496945872903,10364.0,12.362703986698827,0.0,8,11,14,16,23,33,55,83,160,190,190
GET,/detail.html?id=zzz4f044-b040-410d-8ead-4de0446aec7e,3839,0,8,12.479524534243211,1.959855668246746,195.8725294098258,10364.0,12.420942320056737,0.0,8,11,14,16,24,37,64,84,160,200,200
GET,/login,6039,0,60,68.14692677360316,10.10326761752367,344.38072983175516,13.0,19.53896084157922,0.0,60,63,67,69,96,120,160,190,330,340,340
,Aggregated,116038,0,9,16.204002014419093,1.6354070976376534,344.38072983175516,7815.879823850807,375.4366514547392,0.0,9,13,16,19,38,60,82,100,190,320,340
