group,value
RAG,0.5
RAG,0.5
RAG,0.5
RAG,0.5
RAG,0.5
RAG,0.3333333333333333
RAG,0.3333333333333333
RAG,0.3333333333333333
RAG,0.3333333333333333
RAG,0.3333333333333333
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
SP,0.125
S,0.125
S,0.0
S,0.125
S,0.125
S,0.125
S,0.125
S,0.125
S,0.125
S,0.125
S,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
S5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
SP5,0.125
