accuracy,failures,budget
0.9879596941175156,1,50
0.9776322027520838,2,50
0.9760343568981436,2,50
1.0,0,50
0.9780035058480346,2,50
0.9715958950040252,2,50
0.986932336184182,1,50
1.0,0,50
0.9899374393223068,1,50
1.0,0,50
1.0,0,50
0.993092890978274,1,50
1.0,0,50
1.0,0,50
0.987973860946141,1,50
1.0,0,50
0.9844091903217088,1,50
0.990618439747534,1,50
1.0,0,50
0.9755474971595404,2,50
0.988815456536658,1,50
0.9870578591952492,1,50
0.9909033748317836,1,50
1.0,0,50
0.9863987777398412,1,50
0.988304713384977,1,50
1.0,0,50
0.9866463293973452,1,50
1.0,0,50
1.0,0,50
0.988961129024851,2,100
0.992981159137842,1,100
0.9921013618057328,2,100
0.9854354711493072,2,100
0.984799751520066,3,100
0.9917668997310214,1,100
0.9858638829472216,3,100
0.987680744591658,2,100
1.0,3,100
0.98193686166973,4,100
0.9868052478788464,2,100
0.9879032256743436,2,100
0.9909087008205798,2,100
0.9854227386748814,2,100
0.9738843898174528,4,100
0.9909455876572668,2,100
0.976505295520191,4,100
0.9787732409525928,3,100
0.9938659262999784,1,100
0.9928086039534316,1,100
0.9958918608724856,1,100
0.9970639332744212,1,100
1.0,0,100
0.9936976702738766,1,100
1.0,2,100
0.9848988026820704,3,100
0.9887305851569728,2,100
0.996134008735296,1,100
0.992303023195616,1,100
1.0,1,100
1.0,6,200
1.0,4,200
1.0,4,200
1.0,6,200
1.0,3,200
1.0,4,200
1.0,3,200
1.0,5,200
1.0,6,200
1.0,4,200
1.0,6,200
1.0,5,200
1.0,2,200
1.0,2,200
1.0,1,200
1.0,2,200
1.0,4,200
0.9832133355756996,5,200
1.0,7,200
1.0,5,200
1.0,4,200
1.0,5,200
1.0,1,200
1.0,3,200
1.0,3,200
1.0,5,200
1.0,5,200
1.0,4,200
1.0,1,200
1.0,2,200
1.0,9,400
1.0,6,400
1.0,8,400
1.0,5,400
1.0,7,400
1.0,7,400
1.0,9,400
1.0,8,400
1.0,6,400
1.0,9,400
1.0,9,400
1.0,7,400
1.0,10,400
1.0,6,400
1.0,6,400
1.0,8,400
1.0,5,400
1.0,4,400
1.0,8,400
1.0,9,400
1.0,7,400
1.0,6,400
1.0,9,400
1.0,9,400
1.0,8,400
1.0,11,400
1.0,6,400
1.0,7,400
1.0,5,400
1.0,5,400
1.0,10,800
1.0,11,800
1.0,12,800
1.0,11,800
1.0,11,800
1.0,11,800
1.0,9,800
1.0,10,800
1.0,11,800
1.0,11,800
1.0,10,800
1.0,9,800
1.0,11,800
1.0,10,800
1.0,9,800
1.0,12,800
1.0,11,800
1.0,13,800
1.0,12,800
1.0,7,800
1.0,10,800
1.0,12,800
1.0,12,800
1.0,11,800
1.0,12,800
1.0,11,800
1.0,11,800
1.0,11,800
1.0,12,800
1.0,10,800
